"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","95.6% ","suppressed","suppressed","suppressed","91.5% ","97.8% ","suppressed","96.0% ","2.12% ","suppressed","suppressed","suppressed","6.65% ","1.57% ","suppressed","2.07% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","75.2% ","suppressed","suppressed","suppressed","84.4% ","72.7% ","100% ","74.7% ","7.23% ","suppressed","suppressed","suppressed","8.20% ","9.40% ","0% ","7.43% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","71.3% ","11.1%*","suppressed","47.5% ","63.0% ","90.1% ","30.2% ","80.9% ","4.38% ","10.28%*","suppressed","10.23% ","8.27% ","3.93% ","6.97% ","4.15% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0% ","5.2%*","94.8% ",,,,,,"0% ","2.19%*","2.19% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.4% ","83.5% ","83.9% ","100% ","100% ","99.2% ","88.4% ","99.5% ","0.94% ","7.05% ","8.76% ","0% ","0% ","0.79% ","4.25% ","0.52% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","63.2% ","7.4%*","suppressed","50.0% ","57.5% ","81.2% ","21.1% ","73.1% ","5.11% ","5.25%*","suppressed","10.31% ","8.40% ","5.39% ","5.92% ","4.97% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","63.8% ","7.4%*","suppressed","53.9% ","57.5% ","81.2% ","21.1% ","73.8% ","5.07% ","5.25%*","suppressed","10.18% ","8.40% ","5.39% ","5.92% ","4.89% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","76.2% ","43.2% ","52.2% ","70.1% ","93.8% ","89.5% ","49.5% ","90.1% ","3.17% ","6.46% ","9.81% ","7.35% ","3.53% ","3.97% ","4.85% ","2.88% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","85.7% ","53.5% ","75.4% ","85.0% ","97.4% ","95.3% ","67.6% ","95.1% ","2.25% ","6.23% ","7.72% ","4.77% ","1.81% ","3.01% ","4.15% ","2.16% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.0% ","88.4% ","87.6% ","96.0% ","94.2% ","99.9% ","88.8% ","98.7% ","1.03% ","6.03% ","7.54% ","4.01% ","2.84% ","0.08% ","4.51% ","0.65% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","23.0% ","18.5% ","12.5%*","21.1% ","17.4%*","29.5% ","14.7% ","27.3% ","4.09% ","4.29% ","5.62%*","6.23% ","5.49%*","7.75% ","2.72% ","5.63% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","16.5% ","12.6% ","4.1%*","13.5%*","10.6%*","23.9%*","7.6% ","21.2% ","4.30% ","3.20% ","2.42%*","5.57%*","4.51%*","8.35%*","1.60% ","6.00% "
"II.B.3","Number of full-time employees","591,895 ","75,368 ","56,335 ","100,233 ","92,488 ","267,470 ","186,296 ","405,599 ","59,634 ","7,631 ","10,235 ","14,539 ","10,803 ","57,496 ","14,683 ","58,613 "
"II.B.3.a","Percent of number of full-time employees","591,895 ","12.7% ","9.5% ","16.9% ","15.6% ","45.2% ","31.5% ","68.5% ","59,634 ","1.73% ","1.90% ","2.74% ","2.32% ","5.57% ","3.63% ","3.63% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","82.5% ","35.7% ","72.6% ","67.5% ","99.0% ","97.8% ","50.8% ","97.1% ","2.67% ","7.41% ","8.27% ","8.62% ","0.84% ","1.67% ","5.52% ","1.36% "
