"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","58.3% ","suppressed","suppressed","35.7%*","59.4% ","72.2% ","31.2% ","63.6% ","5.16% ","suppressed","suppressed","13.03%*","7.82% ","10.66% ","8.48% ","6.05% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","91.1% ","suppressed","suppressed","94.7% ","93.4% ","94.1% ","suppressed","94.4% ","2.24% ","suppressed","suppressed","5.78% ","4.47% ","1.82% ","suppressed","1.83% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","83.6% ","suppressed","suppressed","99.0% ","99.2% ","74.7% ","suppressed","85.6% ","4.50% ","suppressed","suppressed","1.16% ","0.64% ","7.73% ","suppressed","4.78% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","68.6% ","0% ","suppressed","51.5% ","69.2% ","83.8% ","31.7% ","75.2% ","4.18% ","0% ","suppressed","10.11% ","6.84% ","5.39% ","7.44% ","4.56% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","4.4%*","10.9%*","84.7% ",,,,,,"1.64%*","5.09%*","5.12% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.5% ","78.3% ","96.8% ","95.8% ","100% ","100% ","92.6% ","99.5% ","0.67% ","12.03% ","3.26% ","3.00% ","0% ","0% ","3.46% ","0.47% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","41.0% ","suppressed","suppressed","26.3% ","34.0% ","57.1% ","17.3%*","45.3% ","5.78% ","suppressed","suppressed","7.86% ","8.01% ","8.74% ","5.80%*","6.45% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","40.7% ","suppressed","1.7%*","25.1%*","34.0% ","57.1% ","15.3%*","45.3% ","5.79% ","suppressed","1.80%*","7.77%*","8.01% ","8.74% ","5.69%*","6.45% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","68.3% ","42.9% ","42.6% ","64.9% ","65.9% ","82.5% ","42.5% ","77.6% ","3.58% ","7.05% ","9.22% ","7.26% ","6.94% ","5.51% ","4.82% ","4.08% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","91.5% ","64.3% ","66.4% ","94.9% ","99.1% ","97.0% ","73.2% ","98.0% ","1.41% ","6.41% ","8.93% ","3.04% ","0.82% ","1.45% ","4.11% ","0.83% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","95.3% ","87.0% ","97.7% ","91.9% ","95.7% ","96.6% ","95.0% ","95.3% ","1.40% ","10.07% ","2.42% ","5.14% ","2.69% ","1.27% ","2.72% ","1.59% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","22.9% ","19.1% ","27.5% ","17.0% ","26.7% ","22.8% ","21.9% ","23.2% ","2.42% ","4.63% ","7.41% ","4.94% ","5.45% ","4.10% ","3.83% ","3.01% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","14.5% ","9.5% ","3.9%*","12.7%*","17.9% ","16.4% ","10.0% ","16.0% ","2.05% ","2.65% ","1.93%*","5.08%*","4.88% ","3.60% ","2.78% ","2.67% "
"II.B.3","Number of full-time employees","2,029,470 ","188,381 ","164,128 ","353,547 ","560,541 ","762,874 ","507,435 ","1,522,035 ","129,576 ","19,378 ","27,513 ","60,030 ","65,756 ","103,477 ","36,707 ","128,721 "
"II.B.3.a","Percent of number of full-time employees","2,029,470 ","9.3% ","8.1% ","17.4% ","27.6% ","37.6% ","25.0% ","75.0% ","129,576 ","1.06% ","1.41% ","2.76% ","3.02% ","3.66% ","2.21% ","2.21% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","85.3% ","29.5% ","61.6% ","92.3% ","96.6% ","92.6% ","56.1% ","95.1% ","2.48% ","7.10% ","9.39% ","3.23% ","2.55% ","5.20% ","4.96% ","2.81% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","93.1% ","89.5% ","95.7% ","93.9% ","92.5% ","93.1% ","93.7% ","93.0% ","1.55% ","5.29% ","2.49% ","2.07% ","4.04% ","1.86% ","1.71% ","1.83% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","70.8% ","71.6% ","76.3% ","67.5% ","72.6% ","70.2% ","70.0% ","71.0% ","1.96% ","10.90% ","5.63% ","3.59% ","3.17% ","3.67% ","3.66% ","2.23% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","66.0% ","64.1% ","73.0% ","63.4% ","67.1% ","65.4% ","65.5% ","66.0% ","1.96% ","9.10% ","5.51% ","3.76% ","4.37% ","2.90% ","3.42% ","2.25% "
"II.B.4","Number of part-time employees","803,549 ","85,411 ","75,445 ","97,647 ","154,264 ","390,782 ","242,772 ","560,778 ","103,567 ","14,676 ","19,001 ","18,358 ","37,300 ","93,345 ","27,966 ","99,931 "
"II.B.4.a","Percent of number of part-time employees","803,549 ","10.6% ","9.4% ","12.2% ","19.2% ","48.6% ","30.2% ","69.8% ","103,567 ","2.15% ","2.49% ","2.56% ","4.46% ","6.64% ","4.49% ","4.49% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","77.6% ","21.7%*","28.9%*","47.6% ","99.8% ","98.0% ","29.3% ","98.5% ","3.95% ","7.50%*","11.90%*","10.88% ","0.23% ","1.79% ","5.92% ","1.23% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","18.4% ","suppressed","suppressed","17.1%*","6.6%*","22.8% ","15.2%*","18.8% ","4.18% ","suppressed","suppressed","9.97%*","2.92%*","6.25% ","6.84%*","4.63% "
