"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","67.0% ","suppressed","suppressed","98.8% ","96.4% ","57.6% ","97.8% ","66.1% ","5.24% ","suppressed","suppressed","1.16% ","2.48% ","6.47% ","2.01% ","5.40% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","62.1% ","suppressed","suppressed","82.9% ","99.6% ","51.5% ","suppressed","61.4% ","5.69% ","suppressed","suppressed","11.44% ","0.25% ","6.70% ","suppressed","5.83% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","68.5% ","suppressed","suppressed","45.0% ","49.9% ","85.6% ","23.6%*","74.5% ","3.78% ","suppressed","suppressed","11.58% ","10.33% ","4.20% ","9.09%*","3.92% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.5%*","3.1%*","96.4% ",,,,,,"0.46%*","1.52%*","1.59% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.4% ","suppressed","70.6% ","92.9% ","97.5% ","100% ","74.9% ","99.3% ","1.15% ","suppressed","13.29% ","4.72% ","2.45% ","0% ","8.06% ","0.57% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","32.5% ","suppressed","suppressed","14.3%*","19.0% ","41.9% ","13.7%*","35.1% ","4.39% ","suppressed","suppressed","7.31%*","5.20% ","6.35% ","6.37%*","4.86% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","32.3% ","suppressed","suppressed","14.3%*","17.8% ","41.9% ","13.7%*","34.8% ","4.39% ","suppressed","suppressed","7.31%*","5.02% ","6.35% ","6.37%*","4.85% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","71.4% ","28.3% ","47.3% ","49.0% ","74.6% ","90.4% ","35.8% ","83.8% ","2.92% ","6.61% ","8.96% ","9.07% ","7.20% ","3.63% ","5.03% ","3.26% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","87.1% ","49.2% ","65.9% ","84.1% ","97.6% ","96.6% ","63.0% ","95.5% ","1.88% ","7.05% ","8.54% ","6.25% ","1.66% ","1.95% ","4.92% ","1.63% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","81.6% ","100% ","72.8% ","93.0% ","92.6% ","75.8% ","89.4% ","80.5% ","2.53% ","0% ","13.67% ","3.92% ","4.97% ","3.60% ","5.95% ","2.77% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","14.6% ","19.9% ","6.9%*","9.1%*","20.2% ","14.6% ","13.6% ","15.0% ","1.85% ","5.05% ","3.72%*","2.87%*","5.62% ","2.88% ","2.89% ","2.29% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","6.8% ","4.6%*","2.4%*","3.6%*","5.4%*","9.5% ","4.4%*","7.7% ","1.26% ","2.39%*","1.38%*","2.42%*","2.18%*","2.23% ","1.70%*","1.59% "
"II.B.3","Number of full-time employees","402,193 ","37,126 ","32,309 ","52,316 ","72,533 ","207,909 ","92,291 ","309,902 ","22,728 ","3,999 ","5,139 ","7,542 ","11,650 ","18,304 ","8,001 ","22,120 "
"II.B.3.a","Percent of number of full-time employees","402,193 ","9.2% ","8.0% ","13.0% ","18.0% ","51.7% ","22.9% ","77.1% ","22,728 ","1.06% ","1.29% ","1.86% ","2.61% ","2.86% ","2.08% ","2.08% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","84.6% ","26.1%*","51.0% ","78.8% ","97.5% ","97.1% ","47.3% ","95.7% ","1.92% ","8.04%*","10.35% ","6.46% ","1.62% ","1.79% ","5.93% ","1.50% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","91.7% ","suppressed","95.8% ","88.7% ","90.8% ","92.7% ","89.6% ","92.0% ","1.59% ","suppressed","3.12% ","4.49% ","2.54% ","2.29% ","3.62% ","1.75% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","70.5% ","86.6% ","65.3% ","62.0% ","68.9% ","72.5% ","65.1% ","71.3% ","1.92% ","8.30% ","7.75% ","6.30% ","2.83% ","2.66% ","5.58% ","2.03% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","64.6% ","suppressed","62.5% ","55.0% ","62.5% ","67.2% ","58.4% ","65.6% ","2.16% ","suppressed","6.67% ","6.99% ","2.92% ","3.07% ","5.27% ","2.33% "
"II.B.4","Number of part-time employees","136,080 ","20,982 ","16,114 ","23,611 ","17,276 ","58,098 ","46,877 ","89,203 ","12,298 ","3,839 ","3,583 ","5,591 ","3,705 ","9,383 ","5,705 ","11,201 "
"II.B.4.a","Percent of number of part-time employees","136,080 ","15.4% ","11.8% ","17.4% ","12.7% ","42.7% ","34.4% ","65.6% ","12,298 ","2.78% ","2.64% ","3.74% ","2.63% ","4.68% ","4.05% ","4.05% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","62.9% ","6.2%*","21.6%*","38.1%*","87.3% ","97.7% ","14.5% ","88.4% ","4.41% ","3.12%*","9.94%*","12.96%*","6.55% ","2.11% ","4.31% ","4.09% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","30.0% ","suppressed","suppressed","suppressed","12.1%*","35.9% ","29.5%*","30.1% ","4.91% ","suppressed","suppressed","suppressed","6.16%*","6.79% ","11.77%*","5.24% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","22.7% ","suppressed","suppressed","suppressed","suppressed","19.1% ","suppressed","20.7% ","3.93% ","suppressed","suppressed","suppressed","suppressed","3.48% ","suppressed","3.64% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","6.8% ","suppressed","0% ","suppressed","3.1%*","6.8% ","13.7%*","6.2% ","1.17% ","suppressed","0% ","suppressed","1.21%*","1.34% ","8.01%*","1.08% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,878 ","suppressed","8,997 ","8,427 ","10,163 ","8,592 ","8,763 ","8,897 ","217.44 ","suppressed","972.00 ","822.22 ","617.28 ","196.27 ","610.86 ","232.38 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,029 ","suppressed","suppressed","11,050 ","7,500 ","8,063 ","suppressed","8,087 ","261.94 ","suppressed","suppressed","697.51 ","1078.45 ","256.20 ","suppressed","252.68 "
