"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","80.0% ","suppressed","suppressed","85.5% ","84.9% ","77.9% ","suppressed","79.6% ","6.40% ","suppressed","suppressed","10.12% ","11.32% ","8.03% ","suppressed","6.50% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","79.6% ","suppressed","suppressed","78.6% ","100% ","73.9% ","suppressed","79.2% ","4.78% ","suppressed","suppressed","14.87% ","0% ","6.39% ","suppressed","4.87% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","69.0% ","suppressed","suppressed","40.3% ","48.9% ","94.3% ","19.2%*","78.6% ","3.91% ","suppressed","suppressed","10.25% ","7.75% ","2.57% ","9.66%*","3.41% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","3.8%*","3.5%*","92.7% ",,,,,,"1.64%*","1.14%*","2.00% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.1% ","suppressed","91.9% ","95.4% ","94.1% ","100% ","89.9% ","98.4% ","1.19% ","suppressed","5.83% ","4.44% ","3.97% ","0% ","5.03% ","1.06% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","65.5% ","suppressed","suppressed","24.3%*","58.2% ","81.3% ","35.5%*","71.3% ","4.43% ","suppressed","suppressed","8.38%*","8.03% ","5.45% ","12.69%*","4.52% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","64.7% ","suppressed","suppressed","24.3%*","58.2% ","79.8% ","35.5%*","70.3% ","4.51% ","suppressed","suppressed","8.38%*","8.03% ","5.77% ","12.69%*","4.65% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","78.7% ","68.3% ","63.4% ","66.9% ","92.8% ","86.7% ","64.5% ","88.0% ","2.63% ","9.84% ","9.16% ","8.16% ","3.55% ","3.74% ","6.46% ","2.68% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","84.8% ","66.7% ","71.8% ","82.3% ","96.8% ","93.7% ","70.1% ","94.4% ","2.00% ","10.37% ","7.87% ","6.21% ","2.05% ","2.31% ","5.63% ","1.64% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.9% ","100% ","80.3% ","95.9% ","100% ","99.8% ","87.8% ","99.3% ","1.22% ","0% ","13.86% ","3.22% ","0% ","0.20% ","8.96% ","0.44% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","19.1% ","11.2% ","17.3% ","17.4% ","27.2% ","20.7% ","12.6% ","23.3% ","1.91% ","2.24% ","4.45% ","4.64% ","4.24% ","3.63% ","1.97% ","2.68% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","8.3% ","7.4% ","5.7%*","5.1%*","6.0% ","11.7% ","5.7% ","10.0% ","0.97% ","1.43% ","2.31%*","2.07%*","1.59% ","1.93% ","1.11% ","1.41% "
"II.B.3","Number of full-time employees","202,874 ","30,757 ","22,429 ","25,163 ","37,546 ","86,978 ","66,777 ","136,097 ","13,619 ","8,316 ","3,801 ","3,637 ","4,295 ","9,269 ","9,323 ","10,300 "
"II.B.3.a","Percent of number of full-time employees","202,874 ","15.2% ","11.1% ","12.4% ","18.5% ","42.9% ","32.9% ","67.1% ","13,619 ","3.59% ","1.87% ","1.86% ","2.17% ","3.36% ","3.56% ","3.56% "
