"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","50.1% ","0% ","29.8%*","5.3%*","15.6%*","82.5% ","11.7%*","58.4% ","5.62% ","0% ","11.98%*","4.10%*","7.24%*","7.15% ","4.78%*","6.70% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","71.4% ","suppressed","suppressed","suppressed","96.1% ","69.9% ","suppressed","72.0% ","8.73% ","suppressed","suppressed","suppressed","3.50% ","9.68% ","suppressed","9.08% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","85.1% ","suppressed","suppressed","suppressed","93.2% ","85.7% ","suppressed","86.2% ","4.68% ","suppressed","suppressed","suppressed","6.82% ","5.13% ","suppressed","4.76% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","72.1% ","20.2%*","52.1% ","48.6% ","85.2% ","79.1% ","38.1% ","79.4% ","6.28% ","9.08%*","12.17% ","9.58% ","5.82% ","12.00% ","6.90% ","7.81% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","suppressed","11.1%*","84.0% ",,,,,,"suppressed","4.54%*","5.47% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","99.1% ","88.0% ","95.6% ","100% ","100% ","100% ","95.0% ","100% ","0.48% ","7.32% ","4.35% ","0% ","0% ","0% ","2.66% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","44.1% ","24.6%*","25.1%*","28.0% ","77.5% ","36.5% ","22.6% ","48.7% ","5.34% ","10.23%*","9.98%*","7.85% ","6.47% ","8.06% ","5.69% ","6.59% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","44.3% ","24.6%*","25.1%*","31.8% ","77.0% ","36.2% ","22.6% ","49.0% ","5.35% ","10.23%*","9.98%*","8.36% ","6.49% ","8.03% ","5.69% ","6.61% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","95.3% ","68.8% ","88.9% ","98.4% ","98.6% ","98.9% ","83.6% ","98.9% ","0.90% ","6.54% ","4.59% ","1.59% ","1.40% ","0.68% ","3.09% ","0.58% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","95.8% ","80.8% ","83.3% ","95.7% ","100% ","98.9% ","85.9% ","98.8% ","0.90% ","5.09% ","6.16% ","3.16% ","0% ","0.68% ","3.12% ","0.63% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","95.9% ","63.0% ","92.8% ","96.6% ","98.1% ","98.3% ","86.1% ","98.0% ","1.32% ","14.47% ","6.99% ","2.51% ","1.63% ","1.04% ","5.63% ","0.90% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","32.1% ","25.0% ","11.2%*","16.9% ","31.1% ","41.5% ","17.5% ","36.5% ","3.74% ","5.83% ","4.47%*","4.11% ","7.77% ","7.14% ","3.14% ","4.91% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","22.9% ","10.9%*","4.6%*","10.9%*","23.0%*","31.4% ","8.3% ","27.3% ","3.52% ","3.69%*","2.22%*","3.63%*","7.80%*","6.57% ","2.09% ","4.63% "
"II.B.3","Number of full-time employees","2,645,684 ","209,174 ","194,346 ","364,082 ","564,459 ","1,313,623 ","572,943 ","2,072,741 ","215,919 ","28,907 ","29,073 ","46,691 ","94,231 ","189,737 ","46,621 ","214,239 "
"II.B.3.a","Percent of number of full-time employees","2,645,684 ","7.9% ","7.3% ","13.8% ","21.3% ","49.7% ","21.7% ","78.3% ","215,919 ","1.21% ","1.23% ","1.94% ","3.25% ","4.13% ","2.31% ","2.31% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","89.5% ","61.3% ","71.9% ","90.3% ","100% ","91.8% ","74.6% ","93.6% ","2.86% ","7.81% ","7.90% ","4.63% ","0% ","5.32% ","4.19% ","3.46% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","93.6% ","89.3% ","92.2% ","97.0% ","87.7% ","96.1% ","93.9% ","93.6% ","1.26% ","4.74% ","2.46% ","2.57% ","4.10% ","1.26% ","1.72% ","1.49% "
