"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","64.0% ","84.7% ","60.0% ","59.6% ","70.6% ","60.9% ","68.1% ","63.4% ","2.56% ","4.98% ","5.64% ","5.00% ","4.03% ","3.93% ","4.29% ","2.87% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","61.2% ","82.6% ","56.7% ","58.7% ","69.5% ","57.1% ","65.5% ","60.5% ","2.58% ","5.70% ","5.52% ","4.61% ","4.07% ","3.93% ","4.11% ","2.90% "
"II.B.4","Number of part-time employees","239,633 ","24,919 ","36,557 ","35,848*","45,830 ","96,479 ","75,332 ","164,301 ","28,035 ","4,650 ","10,694 ","11,881*","11,346 ","20,291 ","11,809 ","25,752 "
"II.B.4.a","Percent of number of part-time employees","239,633 ","10.4% ","15.3% ","15.0%*","19.1% ","40.3% ","31.4% ","68.6% ","28,035 ","2.16% ","4.19% ","4.53%*","4.39% ","6.07% ","4.84% ","4.84% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","69.3% ","7.9%*","23.5%*","67.5% ","77.1% ","99.5% ","18.2%*","92.8% ","5.23% ","6.13%*","14.29%*","14.13% ","14.79% ","0.49% ","7.78%*","4.70% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","26.8% ","suppressed","suppressed","1.6%*","11.9%*","40.2% ","suppressed","28.1% ","7.75% ","suppressed","suppressed","1.77%*","7.79%*","11.40% ","suppressed","8.32% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","26.6%*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","26.3%*","8.45%*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","8.68%*"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","7.1%*","suppressed","suppressed","0% ","10.4%*","7.9%*","suppressed","7.4%*","2.40%*","suppressed","suppressed","0% ","7.65%*","2.88%*","suppressed","2.58%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","7,804 ","7,630 ","suppressed","7,130 ","7,555 ","7,989 ","7,691 ","7,823 ","212.60 ","280.12 ","suppressed","756.13 ","352.60 ","320.43 ","422.05 ","237.36 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","7,388 ","6,202 ","suppressed","7,744 ","suppressed","9,470 ","6,787 ","7,647 ","503.82 ","478.94 ","suppressed","394.92 ","suppressed","1717.43 ","266.18 ","698.48 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","7,826 ","7,800 ","11,685 ","6,806 ","7,590 ","7,945 ","7,968 ","7,808 ","240.38 ","220.18 ","907.17 ","1134.93 ","366.40 ","343.45 ","597.49 ","259.60 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,266 ","suppressed","suppressed","suppressed","12,769 ","7,748 ","suppressed","8,310 ","939.15 ","suppressed","suppressed","suppressed","353.73 ","1120.18 ","suppressed","1152.07 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","7,523 ","7,630 ","suppressed","7,452 ","7,234 ","7,403 ","7,855 ","7,387 ","280.03 ","280.12 ","suppressed","860.67 ","471.46 ","481.49 ","391.81 ","353.29 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,007 ","suppressed","suppressed","suppressed","7,827 ","8,154 ","suppressed","8,053 ","294.05 ","suppressed","suppressed","suppressed","464.47 ","377.32 ","suppressed","298.38 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,795 ","suppressed","suppressed","2,344 ","1,407 ","2,018 ","1,404 ","1,859 ","143.23 ","suppressed","suppressed","568.95 ","259.04 ","181.24 ","291.77 ","159.78 "
