"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","52.8% ","suppressed","suppressed","65.4% ","77.2% ","44.8% ","42.9%*","53.1% ","6.17% ","suppressed","suppressed","14.84% ","11.07% ","7.19% ","16.65%*","6.36% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","78.2% ","35.0%*","35.6% ","76.4% ","78.0% ","88.5% ","49.2% ","84.3% ","2.67% ","11.00%*","8.96% ","5.69% ","4.85% ","3.61% ","5.83% ","2.79% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","2.7%*","12.9%*","84.4% ",,,,,,"0.84%*","4.46%*","4.45% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.1% ","84.4% ","81.5% ","94.5% ","95.8% ","99.7% ","87.4% ","97.9% ","1.09% ","6.99% ","8.27% ","2.77% ","2.78% ","0.32% ","3.72% ","1.03% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","64.1% ","43.3% ","50.6% ","55.7% ","59.3% ","73.1% ","50.9% ","66.9% ","3.56% ","11.59% ","9.22% ","7.40% ","6.70% ","5.12% ","5.88% ","4.05% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","63.7% ","41.5% ","50.6% ","52.8% ","59.3% ","73.1% ","48.2% ","66.9% ","3.58% ","11.53% ","9.22% ","7.44% ","6.70% ","5.12% ","5.88% ","4.05% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","92.9% ","71.9% ","79.3% ","96.0% ","96.1% ","97.8% ","80.5% ","97.2% ","0.93% ","4.28% ","5.09% ","1.83% ","1.79% ","0.95% ","2.45% ","0.85% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.7% ","73.1% ","78.6% ","90.8% ","96.7% ","98.3% ","78.9% ","97.4% ","0.95% ","4.24% ","5.17% ","2.84% ","1.73% ","0.85% ","2.61% ","0.84% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.0% ","93.4% ","92.9% ","99.7% ","93.7% ","98.5% ","95.1% ","97.3% ","1.23% ","2.98% ","3.63% ","0.32% ","4.77% ","0.80% ","1.58% ","1.41% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","28.4% ","27.0% ","19.1% ","22.8% ","30.1% ","31.4% ","20.2% ","31.3% ","2.94% ","4.81% ","5.57% ","5.45% ","4.78% ","5.71% ","2.85% ","3.79% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","17.4% ","14.1% ","7.5%*","16.8% ","17.0% ","20.6% ","10.4% ","19.9% ","1.87% ","3.31% ","2.82%*","4.73% ","3.40% ","3.41% ","1.82% ","2.42% "
"II.B.3","Number of full-time employees","6,447,491 ","637,110 ","453,200 ","858,550 ","1,581,433 ","2,917,198 ","1,546,237 ","4,901,254 ","369,488 ","67,346 ","56,870 ","101,456 ","144,411 ","330,618 ","105,531 ","358,695 "
"II.B.3.a","Percent of number of full-time employees","6,447,491 ","9.9% ","7.0% ","13.3% ","24.5% ","45.2% ","24.0% ","76.0% ","369,488 ","1.11% ","0.94% ","1.58% ","2.25% ","3.16% ","1.86% ","1.86% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","89.5% ","50.1% ","70.9% ","94.4% ","94.0% ","97.2% ","67.8% ","96.4% ","1.26% ","6.42% ","6.23% ","1.81% ","2.81% ","1.38% ","3.38% ","1.23% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","93.4% ","92.7% ","89.7% ","85.0% ","94.9% ","95.4% ","86.1% ","95.0% ","1.15% ","3.30% ","3.45% ","5.68% ","1.76% ","1.08% ","4.43% ","0.91% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.6% ","71.0% ","63.1% ","58.7% ","62.2% ","76.7% ","63.4% ","70.8% ","1.65% ","6.44% ","5.61% ","4.71% ","3.31% ","1.91% ","3.54% ","1.81% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","64.9% ","65.8% ","56.6% ","49.9% ","59.1% ","73.2% ","54.6% ","67.2% ","1.83% ","5.83% ","5.59% ","5.28% ","3.35% ","2.23% ","3.99% ","1.95% "
"II.B.4","Number of part-time employees","2,163,073 ","248,130 ","273,546 ","244,430 ","602,912 ","794,056 ","655,266 ","1,507,807 ","185,394 ","37,505 ","42,659 ","39,133 ","110,471 ","140,479 ","57,824 ","177,061 "
"II.B.4.a","Percent of number of part-time employees","2,163,073 ","11.5% ","12.6% ","11.3% ","27.9% ","36.7% ","30.3% ","69.7% ","185,394 ","1.83% ","2.05% ","1.89% ","4.28% ","4.74% ","3.13% ","3.13% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","80.0% ","33.2% ","38.1% ","76.6% ","94.8% ","99.0% ","40.3% ","97.3% ","2.62% ","9.01% ","8.74% ","7.06% ","3.54% ","0.96% ","5.35% ","1.50% "
