"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","55.9% ","6.0%*","13.8%*","11.6%*","54.4% ","75.2% ","7.9%*","63.5% ","4.37% ","3.85%*","8.13%*","5.49%*","9.39% ","6.34% ","3.68%*","4.86% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","86.4% ","suppressed","suppressed","suppressed","73.4% ","94.5% ","suppressed","87.6% ","4.13% ","suppressed","suppressed","suppressed","12.10% ","2.00% ","suppressed","4.14% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","70.1% ","suppressed","suppressed","suppressed","96.3% ","59.1% ","suppressed","70.8% ","6.00% ","suppressed","suppressed","suppressed","2.27% ","7.61% ","suppressed","6.08% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","81.1% ","24.0%*","54.9% ","63.7% ","83.8% ","91.5% ","51.8% ","85.7% ","2.63% ","8.52%*","9.72% ","6.99% ","5.65% ","2.71% ","5.86% ","2.76% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","4.7%*","7.7%*","87.6% ",,,,,,"1.51%*","2.97%*","3.17% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.7% ","89.8% ","89.4% ","87.1% ","98.6% ","99.5% ","89.0% ","98.0% ","0.89% ","6.23% ","5.30% ","5.17% ","0.96% ","0.48% ","3.36% ","0.88% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","44.9% ","17.0%*","35.5% ","43.8% ","38.7% ","52.6% ","34.6% ","46.6% ","4.52% ","6.61%*","9.64% ","7.36% ","9.13% ","6.85% ","5.59% ","5.12% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","44.4% ","20.0%*","37.2% ","42.9% ","36.7% ","52.6% ","35.2% ","45.9% ","4.50% ","7.05%*","9.64% ","7.36% ","9.08% ","6.85% ","5.61% ","5.11% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","84.9% ","49.8% ","65.0% ","79.8% ","88.3% ","95.6% ","63.7% ","91.2% ","2.37% ","5.87% ","7.08% ","5.52% ","5.70% ","2.86% ","3.85% ","2.77% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","93.2% ","59.3% ","82.2% ","91.2% ","99.2% ","98.8% ","75.9% ","98.3% ","1.07% ","5.64% ","5.42% ","4.56% ","0.65% ","0.85% ","3.15% ","0.94% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","91.9% ","98.0% ","95.8% ","91.0% ","91.1% ","91.7% ","94.3% ","91.5% ","2.37% ","1.44% ","4.20% ","3.08% ","6.20% ","2.64% ","2.23% ","2.71% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","27.4% ","29.1% ","32.9% ","18.5% ","29.5% ","27.5% ","28.6% ","27.0% ","2.69% ","5.15% ","6.43% ","4.29% ","5.74% ","4.76% ","3.48% ","3.33% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","18.0% ","17.7% ","23.8% ","12.7%*","17.2% ","19.2% ","19.6% ","17.6% ","2.26% ","3.98% ","5.24% ","3.93%*","4.51% ","4.11% ","2.87% ","2.79% "
"II.B.3","Number of full-time employees","4,374,953 ","278,693 ","326,358 ","566,217 ","1,254,041 ","1,949,644 ","836,508 ","3,538,444 ","277,493 ","23,888 ","42,134 ","62,371 ","180,358 ","220,079 ","49,370 ","276,350 "
"II.B.3.a","Percent of number of full-time employees","4,374,953 ","6.4% ","7.5% ","12.9% ","28.7% ","44.6% ","19.1% ","80.9% ","277,493 ","0.66% ","1.03% ","1.53% ","3.44% ","3.54% ","1.56% ","1.56% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","91.6% ","43.1% ","70.2% ","83.3% ","99.2% ","99.7% ","62.5% ","98.5% ","1.18% ","6.14% ","7.20% ","5.93% ","0.80% ","0.32% ","3.98% ","1.02% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","91.4% ","97.4% ","93.8% ","92.2% ","90.9% ","91.0% ","94.6% ","91.0% ","1.61% ","1.91% ","2.33% ","2.49% ","3.72% ","2.24% ","1.53% ","1.84% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","70.6% ","74.4% ","68.1% ","65.2% ","71.8% ","71.3% ","70.5% ","70.7% ","2.45% ","5.70% ","4.76% ","4.57% ","3.81% ","4.30% ","3.09% ","2.80% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","64.6% ","72.4% ","63.9% ","60.1% ","65.3% ","64.8% ","66.7% ","64.3% ","2.47% ","5.69% ","4.44% ","4.57% ","4.01% ","4.25% ","3.00% ","2.80% "
"II.B.4","Number of part-time employees","1,187,081 ","175,458 ","165,635 ","207,631 ","297,973 ","340,384 ","434,364 ","752,717 ","116,599 ","24,580 ","27,977 ","31,883 ","87,139 ","64,804 ","40,690 ","110,877 "
"II.B.4.a","Percent of number of part-time employees","1,187,081 ","14.8% ","14.0% ","17.5% ","25.1% ","28.7% ","36.6% ","63.4% ","116,599 ","2.28% ","2.47% ","2.86% ","5.79% ","4.57% ","4.12% ","4.12% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","71.5% ","28.7% ","27.1% ","75.1% ","86.2% ","100% ","33.0% ","93.7% ","4.24% ","8.41% ","7.83% ","6.95% ","12.37% ","0% ","5.45% ","5.22% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","21.5% ","suppressed","suppressed","18.9%*","14.1%*","28.8% ","21.2%*","21.5% ","3.98% ","suppressed","suppressed","7.50%*","6.40%*","7.28% ","7.62%*","4.54% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","42.8% ","suppressed","suppressed","suppressed","suppressed","49.9% ","suppressed","43.0% ","7.11% ","suppressed","suppressed","suppressed","suppressed","10.76% ","suppressed","8.32% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","9.2% ","suppressed","suppressed","6.4%*","3.5%*","14.4%*","8.8%*","9.2% ","2.32% ","suppressed","suppressed","3.28%*","1.83%*","5.05%*","3.11%*","2.72% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,724 ","9,708 ","10,388 ","8,748 ","10,545 ","9,323 ","9,865 ","9,703 ","240.73 ","650.73 ","958.57 ","466.41 ","600.54 ","241.64 ","526.62 ","265.61 "
