"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","10,004 ","11,181 ","11,910 ","10,548 ","9,956 ","9,084 ","11,460 ","9,452 ","369.39 ","1085.30 ","1312.39 ","474.60 ","595.52 ","599.37 ","604.45 ","402.36 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","10,177 ","suppressed","suppressed","10,058 ","8,636 ","10,663 ","12,167 ","9,476 ","560.11 ","suppressed","suppressed","699.33 ","912.28 ","977.24 ","1145.47 ","536.98 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,822 ","10,712 ","11,437 ","10,709 ","10,803 ","8,107 ","11,176 ","9,336 ","480.76 ","873.92 ","1250.55 ","758.67 ","608.47 ","578.68 ","728.94 ","535.28 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,438 ","suppressed","14,180 ","11,200 ","suppressed","11,063 ","11,559 ","9,882 ","669.24 ","suppressed","132.43 ","547.92 ","suppressed","448.62 ","609.53 ","959.50 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","10,411 ","11,261 ","12,599 ","10,184 ","9,043 ","8,858 ","11,503 ","9,079 ","533.79 ","1103.08 ","1291.82 ","550.40 ","631.06 ","447.75 ","723.07 ","400.84 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,734 ","suppressed","8,963 ","11,605 ","10,358 ","9,110 ","11,291 ","9,575 ","479.59 ","suppressed","1076.84 ","844.15 ","750.13 ","663.64 ","874.49 ","512.62 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,187 ","suppressed","2,318 ","2,265 ","2,279 ","1,847 ","2,622 ","2,022 ","156.46 ","suppressed","424.27 ","320.81 ","304.15 ","255.98 ","319.94 ","183.52 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,225 ","suppressed","suppressed","2,492 ","2,281 ","1,689 ","2,823 ","2,014 ","237.61 ","suppressed","suppressed","561.89 ","226.92 ","321.63 ","364.57 ","273.95 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,284 ","suppressed","2,087 ","2,258 ","2,435 ","1,914 ","2,729 ","2,124 ","225.45 ","suppressed","422.89 ","471.68 ","404.57 ","380.33 ","457.46 ","265.72 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,788 ","suppressed","5,447 ","suppressed","suppressed","1,746 ","suppressed","1,629 ","223.93 ","suppressed","389.70 ","suppressed","suppressed","63.00 ","suppressed","203.39 "
