"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.1% ","0% ","suppressed","93.7% ","88.7% ","90.1% ","suppressed","90.0% ","3.17% ","0% ","suppressed","6.82% ","6.21% ","3.85% ","suppressed","3.17% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","70.6% ","suppressed","100% ","suppressed","93.7% ","63.7% ","suppressed","70.6% ","6.69% ","suppressed","0% ","suppressed","3.50% ","8.23% ","suppressed","6.80% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","75.2% ","suppressed","suppressed","50.3% ","75.0% ","85.7% ","35.2% ","80.9% ","3.57% ","suppressed","suppressed","13.23% ","7.36% ","4.29% ","10.28% ","3.68% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.6%*","13.4% ","85.0% ",,,,,,"0.93%*","3.70% ","3.70% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.3% ","suppressed","86.0% ","93.7% ","97.8% ","100% ","87.6% ","98.7% ","0.97% ","suppressed","9.29% ","6.22% ","1.78% ","0% ","5.20% ","0.82% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","35.4% ","suppressed","suppressed","13.2%*","47.0% ","37.2% ","10.7%*","38.9% ","5.23% ","suppressed","suppressed","5.98%*","11.93% ","6.72% ","5.05%*","5.80% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","34.2% ","suppressed","0% ","13.2%*","45.0% ","36.9% ","7.0%*","38.1% ","5.23% ","suppressed","0% ","5.98%*","12.12% ","6.71% ","3.53%*","5.80% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","79.0% ","46.7% ","45.3% ","64.7% ","85.7% ","90.2% ","54.6% ","86.6% ","2.63% ","6.80% ","9.31% ","9.85% ","4.91% ","3.50% ","5.59% ","2.88% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","93.0% ","58.3% ","82.0% ","93.8% ","99.8% ","98.3% ","75.6% ","98.4% ","1.24% ","6.65% ","7.42% ","4.38% ","0.12% ","1.22% ","4.21% ","0.94% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","90.7% ","95.7% ","100% ","94.5% ","95.7% ","87.5% ","96.3% ","89.9% ","3.83% ","4.48% ","0% ","3.05% ","2.92% ","5.93% ","2.25% ","4.30% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","25.3% ","20.3% ","11.3%*","20.7% ","21.8% ","30.5% ","19.5% ","27.1% ","2.68% ","4.66% ","3.98%*","4.90% ","5.93% ","4.41% ","3.07% ","3.36% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","14.3% ","10.2%*","5.8%*","7.9%*","6.7%*","20.5% ","8.8% ","16.0% ","2.08% ","3.23%*","2.78%*","2.74%*","3.76%*","3.50% ","1.91% ","2.65% "
"II.B.3","Number of full-time employees","1,300,111 ","109,414 ","101,810 ","124,344 ","266,916 ","697,627 ","285,137 ","1,014,974 ","83,836 ","10,939 ","13,661 ","26,015 ","49,682 ","65,491 ","28,275 ","80,604 "
"II.B.3.a","Percent of number of full-time employees","1,300,111 ","8.4% ","7.8% ","9.6% ","20.5% ","53.7% ","21.9% ","78.1% ","83,836 ","0.95% ","1.12% ","1.96% ","3.32% ","3.30% ","2.24% ","2.24% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","88.0% ","26.6% ","55.1% ","89.7% ","99.8% ","97.5% ","52.6% ","97.9% ","1.66% ","7.17% ","9.98% ","5.06% ","0.15% ","1.55% ","6.34% ","1.09% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","96.5% ","93.4% ","99.6% ","99.6% ","94.1% ","96.8% ","98.6% ","96.2% ","0.96% ","6.20% ","0.39% ","0.33% ","3.25% ","0.94% ","1.28% ","1.09% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","71.4% ","74.5% ","52.4% ","69.3% ","69.3% ","74.0% ","61.9% ","72.8% ","2.00% ","7.54% ","7.43% ","4.38% ","3.77% ","2.79% ","4.24% ","2.20% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","68.9% ","69.6% ","52.2% ","68.9% ","65.2% ","71.7% ","61.0% ","70.1% ","2.07% ","8.60% ","7.44% ","4.38% ","4.16% ","2.82% ","4.30% ","2.27% "
"II.B.4","Number of part-time employees","385,102 ","54,546 ","26,608 ","46,928 ","71,291 ","185,730 ","110,184 ","274,918 ","56,936 ","8,882 ","6,293 ","11,814 ","19,967 ","51,790 ","14,232 ","55,734 "
"II.B.4.a","Percent of number of part-time employees","385,102 ","14.2% ","6.9% ","12.2% ","18.5% ","48.2% ","28.6% ","71.4% ","56,936 ","2.89% ","1.86% ","3.30% ","5.04% ","7.60% ","5.00% ","5.00% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","75.3% ","suppressed","46.2% ","44.5%*","100% ","98.5% ","25.9% ","95.2% ","4.72% ","suppressed","13.15% ","14.37%*","0% ","1.50% ","6.47% ","2.88% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","23.1% ","suppressed","suppressed","suppressed","9.3%*","30.5%*","13.3%*","24.1%*","6.83% ","suppressed","suppressed","suppressed","4.06%*","11.28%*","7.40%*","7.60%*"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","29.3%*","suppressed","suppressed","suppressed","suppressed","27.6%*","suppressed","29.0%*","11.26%*","suppressed","suppressed","suppressed","suppressed","13.26%*","suppressed","11.83%*"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","6.8%*","suppressed","0% ","suppressed","3.5%*","8.4%*","suppressed","7.0%*","3.08%*","suppressed","0% ","suppressed","1.83%*","4.88%*","suppressed","3.40%*"
