"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","87.1% ","0% ","suppressed","79.9% ","88.8% ","91.9% ","suppressed","91.3% ","3.11% ","0% ","suppressed","12.46% ","6.30% ","3.36% ","suppressed","2.86% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","73.9% ","suppressed","suppressed","suppressed","85.8% ","76.5% ","suppressed","76.4% ","5.21% ","suppressed","suppressed","suppressed","12.77% ","5.32% ","suppressed","5.37% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","71.0% ","suppressed","suppressed","44.5% ","55.4% ","88.2% ","25.7% ","79.2% ","5.63% ","suppressed","suppressed","9.37% ","9.50% ","4.56% ","6.94% ","5.17% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.2%*","26.5%*","72.4% ",,,,,,"1.00%*","15.73%*","15.50% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.6% ","77.2% ","98.0% ","100% ","98.0% ","100% ","93.4% ","99.5% ","0.73% ","12.53% ","2.12% ","0% ","2.03% ","0% ","3.69% ","0.47% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","41.6% ","suppressed","suppressed","10.%*","29.2%*","56.1% ","13.6%*","46.6% ","9.94% ","suppressed","suppressed","5.30%*","9.26%*","12.97% ","5.62%*","10.86% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","41.7% ","suppressed","suppressed","10.%*","32.3% ","55.3% ","13.6%*","46.8% ","9.92% ","suppressed","suppressed","5.30%*","9.43% ","13.14% ","5.62%*","10.83% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","71.9% ","42.1% ","43.5% ","71.0% ","72.3% ","81.8% ","51.9% ","78.8% ","5.19% ","7.32% ","11.48% ","7.81% ","8.84% ","7.28% ","5.42% ","5.87% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","91.8% ","54.1% ","74.3% ","90.6% ","99.3% ","99.8% ","69.3% ","99.6% ","1.64% ","7.35% ","9.34% ","4.37% ","0.57% ","0.21% ","4.56% ","0.24% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","92.3% ","99.0% ","suppressed","96.0% ","86.9% ","93.4% ","92.8% ","92.3% ","2.66% ","1.10% ","suppressed","2.56% ","5.99% ","3.53% ","4.99% ","2.97% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","16.8% ","19.0% ","5.7%*","10.6% ","21.4% ","17.8% ","11.9% ","18.4% ","1.58% ","4.85% ","2.05%*","2.63% ","6.21% ","1.78% ","2.29% ","1.90% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","9.2% ","8.3%*","0.6%*","2.7%*","10.3%*","11.8% ","4.6% ","10.7% ","1.77% ","2.87%*","0.42%*","1.08%*","3.78%*","2.53% ","1.33% ","2.11% "
"II.B.3","Number of full-time employees","1,403,771 ","131,093 ","77,563 ","186,974 ","248,485 ","759,655*","309,222 ","1,094,549 ","234,677 ","14,365 ","17,871 ","22,060 ","28,405 ","232,095*","23,991 ","234,244 "
"II.B.3.a","Percent of number of full-time employees","1,403,771 ","9.3% ","5.5% ","13.3% ","17.7% ","54.1% ","22.0% ","78.0% ","234,677 ","1.83% ","1.54% ","2.64% ","3.42% ","7.74% ","3.95% ","3.95% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","89.6% ","40.4% ","59.5% ","85.8% ","99.2% ","98.9% ","58.5% ","98.4% ","2.17% ","8.65% ","12.48% ","5.93% ","0.66% ","0.94% ","5.41% ","0.97% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","96.2% ","93.2% ","94.7% ","98.1% ","98.8% ","95.3% ","96.0% ","96.3% ","1.03% ","5.81% ","2.93% ","1.01% ","0.57% ","1.85% ","1.99% ","1.15% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","71.1% ","76.7% ","suppressed","64.4% ","66.7% ","74.1% ","63.9% ","72.2% ","2.69% ","9.01% ","suppressed","6.09% ","5.28% ","3.20% ","4.63% ","2.87% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","68.4% ","71.5% ","60.6% ","63.1% ","65.9% ","70.6% ","61.4% ","69.6% ","2.98% ","9.42% ","5.40% ","6.10% ","5.17% ","3.91% ","4.48% ","3.21% "
"II.B.4","Number of part-time employees","299,692 ","52,129 ","suppressed","58,056 ","40,247*","118,065 ","125,153 ","174,539 ","41,531 ","9,961 ","suppressed","14,698 ","15,447*","33,499 ","17,808 ","37,703 "
"II.B.4.a","Percent of number of part-time employees","299,692 ","17.4% ","suppressed","19.4% ","13.4%*","39.4% ","41.8% ","58.2% ","41,531 ","3.65% ","suppressed","4.76% ","4.80%*","7.51% ","6.32% ","6.32% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","72.6% ","13.1%*","suppressed","70.2% ","99.1% ","100% ","35.7% ","99.0% ","5.15% ","6.00%*","suppressed","11.90% ","0.93% ","0% ","8.16% ","0.65% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","33.8% ","suppressed","suppressed","16.3%*","12.9%*","47.9%*","21.9%*","36.9%*","10.11% ","suppressed","suppressed","9.00%*","6.43%*","15.02%*","9.56%*","12.10%*"
