"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","86.6% ","suppressed","suppressed","suppressed","78.9% ","96.5% ","suppressed","93.0% ","4.30% ","suppressed","suppressed","suppressed","13.15% ","1.64% ","suppressed","3.12% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","71.3% ","suppressed","suppressed","suppressed","88.1% ","75.0% ","suppressed","78.0% ","6.52% ","suppressed","suppressed","suppressed","9.61% ","7.38% ","suppressed","5.99% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","62.9% ","16.3%*","suppressed","47.9% ","54.1% ","90.9% ","43.0% ","71.2% ","4.84% ","8.70%*","suppressed","9.81% ","11.70% ","4.46% ","7.85% ","5.90% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","4.5%*","7.1%*","88.4% ",,,,,,"2.13%*","2.18%*","2.99% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","95.3% ","79.0% ","93.2% ","89.6% ","99.0% ","100% ","89.9% ","97.5% ","1.49% ","9.87% ","6.64% ","4.86% ","0.99% ","0% ","3.91% ","1.39% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","60.5% ","28.3%*","suppressed","59.9% ","70.5% ","69.2% ","40.3% ","68.8% ","4.72% ","12.04%*","suppressed","9.01% ","8.14% ","9.34% ","8.30% ","5.79% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","59.2% ","37.9%*","suppressed","59.9% ","65.3% ","67.6% ","42.7% ","66.1% ","4.80% ","12.18%*","suppressed","9.01% ","9.08% ","9.30% ","8.23% ","5.92% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","73.2% ","40.5% ","49.2% ","79.7% ","78.3% ","93.5% ","57.5% ","84.8% ","2.97% ","6.02% ","8.93% ","6.06% ","7.49% ","3.86% ","4.59% ","3.84% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","88.4% ","57.2% ","74.4% ","94.7% ","99.0% ","99.5% ","75.0% ","98.5% ","1.63% ","5.63% ","7.52% ","3.67% ","0.83% ","0.48% ","3.56% ","0.98% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.7% ","96.2% ","90.5% ","93.1% ","97.5% ","100% ","92.7% ","98.6% ","1.23% ","3.74% ","9.02% ","3.70% ","1.52% ","0% ","3.47% ","0.75% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","16.1% ","16.7% ","15.6%*","22.5% ","11.7%*","14.5% ","21.1% ","12.5% ","2.06% ","3.40% ","6.69%*","6.03% ","3.76%*","3.00% ","3.66% ","2.14% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","8.2% ","8.8% ","4.4%*","9.2%*","7.1%*","9.7% ","9.1% ","7.6% ","1.31% ","1.93% ","1.65%*","3.95%*","3.16%*","2.10% ","2.15% ","1.60% "
"II.B.3","Number of full-time employees","322,843 ","48,322 ","33,294 ","70,414 ","73,220 ","97,593 ","127,972 ","194,870 ","21,568 ","5,150 ","6,344 ","11,182 ","9,890 ","15,304 ","12,093 ","18,886 "
"II.B.3.a","Percent of number of full-time employees","322,843 ","15.0% ","10.3% ","21.8% ","22.7% ","30.2% ","39.6% ","60.4% ","21,568 ","1.71% ","1.99% ","3.14% ","2.78% ","3.63% ","3.37% ","3.37% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","86.1% ","46.4% ","65.9% ","91.1% ","98.3% ","100% ","66.8% ","98.8% ","1.74% ","7.12% ","9.44% ","3.32% ","0.99% ","0% ","4.64% ","0.66% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.4% ","96.0% ","98.4% ","97.8% ","91.2% ","93.1% ","98.0% ","92.7% ","1.35% ","2.40% ","1.13% ","1.53% ","4.04% ","2.12% ","0.88% ","1.90% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","73.6% ","85.2% ","72.1% ","72.0% ","74.1% ","71.9% ","75.8% ","72.5% ","2.33% ","6.54% ","6.30% ","5.46% ","4.00% ","4.32% ","3.84% ","2.90% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","69.4% ","81.8% ","71.0% ","70.4% ","67.6% ","67.0% ","74.3% ","67.3% ","2.60% ","6.53% ","6.00% ","5.56% ","4.34% ","5.23% ","3.83% ","3.32% "
"II.B.4","Number of part-time employees","128,029 ","24,514 ","21,449 ","28,756 ","27,060 ","26,250 ","64,991 ","63,037 ","9,693 ","3,338 ","4,141 ","5,761 ","4,816 ","4,663 ","6,391 ","7,846 "
"II.B.4.a","Percent of number of part-time employees","128,029 ","19.1% ","16.8% ","22.5% ","21.1% ","20.5% ","50.8% ","49.2% ","9,693 ","2.58% ","3.10% ","3.90% ","3.30% ","3.23% ","4.12% ","4.12% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","60.2% ","14.1%*","20.6%*","66.8% ","89.8% ","97.8% ","28.2% ","93.1% ","4.24% ","5.53%*","8.38%*","10.55% ","6.95% ","2.20% ","5.63% ","3.50% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","22.9% ","suppressed","suppressed","14.9%*","20.9% ","29.3% ","21.0%*","23.5% ","3.78% ","suppressed","suppressed","5.55%*","5.31% ","8.48% ","7.56%*","4.35% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","37.1% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","40.1% ","7.09% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","8.31% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","8.5% ","suppressed","2.2%*","suppressed","6.5%*","14.3%*","5.6%*","9.4% ","1.96% ","suppressed","2.36%*","suppressed","2.60%*","4.77%*","2.99%*","2.38% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,899 ","suppressed","10,014 ","8,516 ","9,251 ","8,627 ","9,049 ","8,826 ","302.21 ","suppressed","1053.58 ","550.38 ","596.36 ","337.31 ","643.80 ","317.52 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","7,488 ","suppressed","7,459 ","7,252 ","7,811 ","8,781 ","suppressed","7,926 ","578.77 ","suppressed","138.76 ","898.69 ","770.61 ","473.44 ","suppressed","423.25 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,260 ","9,852 ","10,361 ","9,143 ","9,548 ","8,553 ","9,613 ","9,089 ","380.76 ","1582.43 ","1129.72 ","700.13 ","896.66 ","414.94 ","644.61 ","456.03 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","9,086 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","8,892 ","1174.11 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1198.57 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,509 ","suppressed","8,506 ","8,460 ","8,913 ","8,163 ","8,432 ","8,576 ","425.98 ","suppressed","931.56 ","621.41 ","719.57 ","595.48 ","680.65 ","531.76 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,425 ","suppressed","suppressed","8,850 ","9,949 ","8,694 ","11,731 ","9,038 ","460.41 ","suppressed","suppressed","885.10 ","1312.20 ","378.50 ","1182.47 ","437.79 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,493 ","suppressed","suppressed","1,529 ","1,584 ","1,187 ","1,799 ","1,343 ","175.84 ","suppressed","suppressed","269.63 ","226.35 ","113.43 ","465.40 ","124.54 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,073 ","suppressed","suppressed","suppressed","suppressed","1,101 ","suppressed","1,007 ","170.75 ","suppressed","suppressed","suppressed","suppressed","183.11 ","suppressed","161.67 "
