"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","55.3% ","12.6%*","25.6%*","31.5%*","34.0% ","79.6% ","21.3%*","62.2% ","4.16% ","8.51%*","13.20%*","12.16%*","8.95% ","6.25% ","7.05%*","4.85% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","82.5% ","suppressed","100% ","88.6% ","98.9% ","78.2% ","79.4% ","82.7% ","4.32% ","suppressed","0% ","9.82% ","0.93% ","5.60% ","12.60% ","4.53% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","79.8% ","0% ","100% ","81.0% ","94.4% ","77.0% ","suppressed","80.3% ","5.60% ","0% ","0% ","13.14% ","4.73% ","7.17% ","suppressed","5.91% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","71.1% ","20.6%*","38.9% ","51.7% ","55.7% ","90.0% ","35.5% ","78.1% ","3.68% ","9.79%*","11.23% ","9.56% ","8.53% ","3.05% ","6.61% ","3.78% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.0%*","11.0%*","88.1% ",,,,,,"0.76%*","3.45%*","3.48% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.3% ","61.9% ","87.7% ","93.8% ","97.5% ","100% ","85.8% ","98.3% ","1.14% ","10.93% ","7.21% ","4.65% ","2.49% ","0% ","4.15% ","1.03% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","44.0% ","27.6%*","40.1% ","25.5%*","33.4% ","54.9% ","31.0% ","46.6% ","5.74% ","11.73%*","10.87% ","8.61%*","8.54% ","8.46% ","6.17% ","6.56% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","43.3% ","17.5%*","35.9% ","25.5%*","33.1% ","54.9% ","26.9% ","46.5% ","5.77% ","9.40%*","10.63% ","8.61%*","8.54% ","8.46% ","5.85% ","6.57% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","80.4% ","51.7% ","72.0% ","72.1% ","80.7% ","89.9% ","63.5% ","86.0% ","2.75% ","6.97% ","7.49% ","7.77% ","5.89% ","3.57% ","4.62% ","3.09% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.1% ","61.7% ","84.4% ","91.3% ","97.9% ","97.5% ","78.2% ","96.6% ","1.47% ","6.87% ","5.70% ","4.97% ","1.84% ","1.29% ","3.82% ","1.29% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","95.4% ","100% ","100% ","100% ","89.5% ","96.0% ","100% ","94.5% ","1.59% ","0% ","0% ","0% ","5.40% ","1.79% ","0% ","1.92% "
