"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","90.6% ","suppressed","suppressed","100% ","84.8% ","90.2% ","100% ","90.0% ","3.05% ","suppressed","suppressed","0% ","10.60% ","3.58% ","0% ","3.23% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","68.3% ","suppressed","suppressed","suppressed","93.4% ","63.2% ","suppressed","67.5% ","8.74% ","suppressed","suppressed","suppressed","5.19% ","10.51% ","suppressed","9.15% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","77.8% ","suppressed","suppressed","63.4% ","64.7% ","98.9% ","32.5% ","86.8% ","3.85% ","suppressed","suppressed","8.90% ","13.25% ","0.84% ","9.01% ","3.73% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.0%*","9.0% ","90.1% ",,,,,,"0.70%*","2.06% ","2.19% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","93.4% ","suppressed","suppressed","91.1% ","100% ","100% ","67.2% ","98.6% ","2.60% ","suppressed","suppressed","5.66% ","0% ","0% ","11.20% ","1.33% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","53.3% ","suppressed","suppressed","37.0% ","47.5% ","66.8% ","27.4%*","58.5% ","5.25% ","suppressed","suppressed","8.94% ","12.49% ","8.23% ","8.64%*","6.01% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","53.1% ","suppressed","suppressed","38.6% ","44.4% ","66.8% ","29.4%*","57.8% ","5.25% ","suppressed","suppressed","9.00% ","12.47% ","8.23% ","8.82%*","6.00% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","79.2% ","44.0% ","52.8% ","82.2% ","81.8% ","90.8% ","53.1% ","89.6% ","3.24% ","10.52% ","11.08% ","5.79% ","9.97% ","3.55% ","6.45% ","3.18% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","91.8% ","53.9% ","81.4% ","94.5% ","99.8% ","99.0% ","74.4% ","98.7% ","2.05% ","11.48% ","8.11% ","3.17% ","0.21% ","0.93% ","6.13% ","0.86% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.8% ","80.5% ","98.1% ","88.6% ","97.3% ","100% ","87.3% ","98.4% ","1.16% ","15.50% ","2.13% ","5.00% ","2.68% ","0% ","6.28% ","0.83% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","25.3% ","23.3% ","11.3%*","17.2% ","28.5%*","31.4% ","19.5% ","27.6% ","2.90% ","6.51% ","5.51%*","4.79% ","9.54%*","4.96% ","3.84% ","3.77% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","15.3% ","15.2%*","8.7%*","6.5%*","19.6%*","19.3% ","11.4% ","16.9% ","2.30% ","5.13%*","5.41%*","2.91%*","8.84%*","3.71% ","3.05% ","2.99% "
"II.B.3","Number of full-time employees","352,579 ","28,821 ","28,106 ","68,055 ","49,907 ","177,690 ","84,453 ","268,127 ","20,167 ","4,146 ","6,050 ","8,393 ","8,878 ","15,970 ","8,100 ","19,698 "
"II.B.3.a","Percent of number of full-time employees","352,579 ","8.2% ","8.0% ","19.3% ","14.2% ","50.4% ","24.0% ","76.0% ","20,167 ","1.20% ","1.70% ","2.30% ","2.33% ","2.90% ","2.35% ","2.35% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","85.7% ","28.3%*","42.7% ","87.7% ","92.0% ","99.3% ","47.2% ","97.9% ","2.11% ","9.07%*","12.40% ","4.74% ","6.49% ","0.57% ","6.45% ","1.30% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","93.5% ","100% ","93.2% ","91.3% ","91.5% ","94.6% ","95.4% ","93.3% ","1.44% ","0% ","5.17% ","4.86% ","4.06% ","1.38% ","2.14% ","1.62% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","73.1% ","93.5% ","72.4% ","64.1% ","68.6% ","76.1% ","74.4% ","72.9% ","2.14% ","3.45% ","8.21% ","4.14% ","5.48% ","3.01% ","4.65% ","2.37% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","68.3% ","93.5% ","67.4% ","58.5% ","62.8% ","72.0% ","70.9% ","68.0% ","2.37% ","3.45% ","8.58% ","5.55% ","5.29% ","3.16% ","4.50% ","2.65% "
"II.B.4","Number of part-time employees","138,519 ","23,457*","suppressed","32,530 ","24,146*","41,748 ","54,781 ","83,738 ","15,324 ","8,630*","suppressed","6,207 ","7,958*","7,545 ","10,266 ","11,863 "
"II.B.4.a","Percent of number of part-time employees","138,519 ","16.9%*","suppressed","23.5% ","17.4% ","30.1% ","39.5% ","60.5% ","15,324 ","5.42%*","suppressed","4.41% ","5.12% ","4.80% ","5.74% ","5.74% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","75.7% ","57.5%*","suppressed","70.3% ","94.5% ","92.6% ","49.9% ","92.6% ","4.34% ","17.36%*","suppressed","9.56% ","5.27% ","4.28% ","10.48% ","3.32% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","20.9% ","suppressed","suppressed","16.3% ","11.8%*","34.8% ","11.5%*","24.2% ","4.57% ","suppressed","suppressed","4.35% ","4.88%*","10.08% ","5.50%*","5.57% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","28.2% ","100% ","suppressed","suppressed","suppressed","23.6% ","70.8% ","21.1% ","5.47% ","0% ","suppressed","suppressed","suppressed","5.84% ","13.54% ","4.54% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","5.9% ","suppressed","suppressed","4.2%*","0.6%*","8.2%*","8.1%*","5.1% ","1.49% ","suppressed","suppressed","1.89%*","0.53%*","2.69%*","4.24%*","1.46% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,459 ","11,046 ","7,855 ","10,165 ","10,548 ","8,958 ","10,589 ","9,247 ","336.72 ","2098.53 ","880.55 ","991.56 ","1326.43 ","249.06 ","999.13 ","354.22 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,507 ","suppressed","suppressed","suppressed","suppressed","8,568 ","suppressed","8,363 ","664.00 ","suppressed","suppressed","suppressed","suppressed","323.48 ","suppressed","306.34 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,406 ","suppressed","suppressed","10,361 ","10,759 ","8,621 ","11,639 ","9,183 ","436.21 ","suppressed","suppressed","1260.74 ","1491.24 ","271.55 ","1255.12 ","454.95 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,257 ","suppressed","suppressed","9,254 ","9,513 ","11,159 ","9,971 ","10,470 ","612.58 ","suppressed","suppressed","1079.05 ","334.15 ","467.39 ","1230.11 ","510.93 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","9,461 ","suppressed","suppressed","10,180 ","9,071 ","8,773 ","10,381 ","9,111 ","546.58 ","suppressed","suppressed","1276.20 ","1218.40 ","298.63 ","1305.80 ","545.11 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,459 ","suppressed","suppressed","10,130 ","11,603 ","9,014 ","suppressed","9,318 ","416.90 ","suppressed","suppressed","1220.82 ","1680.33 ","303.97 ","suppressed","442.08 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,120 ","suppressed","suppressed","2,720 ","2,508 ","1,961 ","1,806*","2,179 ","159.87 ","suppressed","suppressed","457.93 ","261.71 ","174.18 ","654.38*","141.63 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,739*","suppressed","suppressed","suppressed","suppressed","2,232 ","0 ","2,003 ","562.48*","suppressed","suppressed","suppressed","suppressed","643.83 ","0 ","582.47 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,131 ","suppressed","suppressed","3,031 ","2,381 ","1,800 ","2,330*","2,112 ","158.69 ","suppressed","suppressed","553.45 ","241.68 ","150.26 ","1075.53*","138.37 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,314 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","2,745 ","485.63 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","500.10 "
