"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","47.5% ","6.8%*","10.7%*","7.4%*","28.4% ","69.0% ","8.1% ","54.6% ","4.03% ","2.91%*","4.52%*","2.52%*","6.28% ","6.22% ","2.30% ","4.69% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","91.1% ","suppressed","suppressed","58.5% ","81.4% ","93.9% ","58.8% ","92.0% ","1.85% ","suppressed","suppressed","16.51% ","7.13% ","1.78% ","13.58% ","1.83% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","73.4% ","suppressed","suppressed","39.9%*","83.7% ","72.9% ","39.0%*","74.3% ","4.75% ","suppressed","suppressed","12.81%*","6.55% ","5.58% ","15.41%*","4.82% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","80.2% ","43.9% ","51.7% ","50.0% ","80.1% ","93.8% ","46.2% ","87.1% ","1.90% ","8.47% ","6.78% ","5.60% ","3.99% ","1.67% ","4.41% ","1.81% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","2.7%*","10.8% ","86.5% ",,,,,,"1.28%*","2.20% ","2.46% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.6% ","72.1% ","91.6% ","89.6% ","98.9% ","99.8% ","85.5% ","98.9% ","0.67% ","7.27% ","4.25% ","3.39% ","0.64% ","0.15% ","3.06% ","0.45% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","74.9% ","33.1% ","33.1% ","53.8% ","76.7% ","87.7% ","37.7% ","82.4% ","2.28% ","8.51% ","6.33% ","5.58% ","4.76% ","2.55% ","4.32% ","2.31% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","73.5% ","33.2% ","33.1% ","53.8% ","70.5% ","87.7% ","37.8% ","80.7% ","2.46% ","8.52% ","6.34% ","5.58% ","6.00% ","2.55% ","4.32% ","2.59% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","95.7% ","77.2% ","94.3% ","97.3% ","99.1% ","98.3% ","87.9% ","98.6% ","0.64% ","2.92% ","1.90% ","1.20% ","0.59% ","0.95% ","1.45% ","0.64% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","88.1% ","53.4% ","73.1% ","84.2% ","91.8% ","98.2% ","65.3% ","96.4% ","1.17% ","3.88% ","4.21% ","3.44% ","2.79% ","0.98% ","2.62% ","0.99% "
