"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","59.6% ","1.8%*","12.4%*","29.4% ","73.6% ","70.2% ","14.6%*","68.9% ","5.00% ","1.78%*","7.72%*","8.03% ","7.35% ","9.28% ","5.70%*","6.10% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","92.0% ","suppressed","suppressed","93.4% ","89.8% ","94.7% ","suppressed","92.7% ","1.94% ","suppressed","suppressed","4.43% ","4.34% ","1.90% ","suppressed","1.89% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","76.4% ","suppressed","suppressed","85.7% ","95.4% ","64.6% ","suppressed","75.9% ","4.70% ","suppressed","suppressed","10.04% ","3.88% ","6.92% ","suppressed","4.88% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","75.8% ","36.7%*","15.3%*","61.3% ","68.7% ","93.2% ","40.8% ","82.4% ","3.48% ","11.51%*","6.55%*","7.62% ","8.70% ","2.41% ","6.97% ","3.74% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.7%*","7.7%*","91.6% ",,,,,,"0.36%*","4.63%*","4.63% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.1% ","75.1% ","78.5% ","96.8% ","97.4% ","98.2% ","87.3% ","97.7% ","1.31% ","9.96% ","11.60% ","1.88% ","1.61% ","1.76% ","5.02% ","1.19% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","43.5% ","34.1%*","19.1%*","39.1% ","22.2%*","60.4% ","35.5% ","45.0% ","5.18% ","11.25%*","8.42%*","8.05% ","7.98%*","7.73% ","6.90% ","5.95% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","43.4% ","30.3%*","19.1%*","39.1% ","23.8%*","59.4% ","34.9% ","45.0% ","5.20% ","11.06%*","8.42%*","8.05% ","8.08%*","7.84% ","6.90% ","5.98% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","84.0% ","37.4% ","64.0% ","70.9% ","90.3% ","97.9% ","56.5% ","92.8% ","2.14% ","5.65% ","7.85% ","6.54% ","5.09% ","0.92% ","4.47% ","2.11% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","93.2% ","57.1% ","84.1% ","99.7% ","94.3% ","99.3% ","79.2% ","97.6% ","1.53% ","5.81% ","5.85% ","0.31% ","4.77% ","0.57% ","3.10% ","1.69% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.4% ","100% ","95.0% ","99.1% ","93.8% ","96.8% ","98.6% ","95.9% ","1.11% ","0% ","4.93% ","0.62% ","2.71% ","1.66% ","1.45% ","1.32% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","19.1% ","10.0% ","25.3% ","16.2% ","25.8% ","16.8% ","16.8% ","19.9% ","2.35% ","2.64% ","6.14% ","3.62% ","6.96% ","2.66% ","2.60% ","3.00% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","13.6% ","7.4% ","13.4%*","10.4%*","19.5%*","12.5% ","9.9% ","14.8% ","2.22% ","2.22% ","4.38%*","3.69%*","6.83%*","2.41% ","2.18% ","2.84% "
