"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","84.9% ","suppressed","suppressed","suppressed","78.5% ","93.8% ","suppressed","87.5% ","4.25% ","suppressed","suppressed","suppressed","9.91% ","2.17% ","suppressed","3.83% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","76.7% ","suppressed","suppressed","100% ","90.5% ","73.6% ","suppressed","80.5% ","7.19% ","suppressed","suppressed","0% ","8.90% ","10.33% ","suppressed","7.20% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","76.7% ","suppressed","suppressed","64.7% ","59.3% ","96.0% ","42.5% ","82.1% ","3.45% ","suppressed","suppressed","9.68% ","8.12% ","1.68% ","9.66% ","3.43% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.8%*","19.8%*","78.4% ",,,,,,"1.67%*","6.26%*","6.33% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.4% ","suppressed","suppressed","100% ","100% ","98.9% ","85.1% ","99.4% ","1.24% ","suppressed","suppressed","0% ","0% ","0.81% ","7.75% ","0.47% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","60.2% ","suppressed","suppressed","40.1% ","57.3% ","72.6% ","23.1%*","66.0% ","4.84% ","suppressed","suppressed","10.15% ","9.09% ","6.24% ","7.23%*","5.10% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","59.7% ","suppressed","suppressed","37.4% ","57.3% ","72.6% ","23.1%*","65.5% ","4.85% ","suppressed","suppressed","10.08% ","9.09% ","6.24% ","7.23%*","5.12% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","94.2% ","78.3% ","96.8% ","90.5% ","96.9% ","97.6% ","85.8% ","97.6% ","1.30% ","4.86% ","3.12% ","5.26% ","2.26% ","1.28% ","3.46% ","1.02% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","87.0% ","55.9% ","69.5% ","82.3% ","95.6% ","96.4% ","65.8% ","95.7% ","1.95% ","7.12% ","8.33% ","6.21% ","2.15% ","2.07% ","4.66% ","1.58% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.4% ","100% ","100% ","100% ","93.2% ","98.5% ","100% ","96.9% ","1.00% ","0% ","0% ","0% ","3.43% ","0.81% ","0% ","1.18% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","19.8% ","27.4% ","12.8%*","13.1%*","17.8% ","23.3% ","18.7% ","20.2% ","2.57% ","5.29% ","4.87%*","4.88%*","4.15% ","5.27% ","3.22% ","3.39% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","8.6% ","13.5% ","5.9%*","4.4%*","7.8%*","10.1%*","7.1% ","9.2% ","1.58% ","3.25% ","3.53%*","3.23%*","2.46%*","3.15%*","1.64% ","2.12% "
"II.B.3","Number of full-time employees","505,389 ","47,218 ","45,322 ","79,423 ","113,567 ","219,860 ","131,220 ","374,169 ","37,182 ","7,147 ","7,133 ","10,550 ","16,321 ","31,445 ","10,588 ","36,541 "
"II.B.3.a","Percent of number of full-time employees","505,389 ","9.3% ","9.0% ","15.7% ","22.5% ","43.5% ","26.0% ","74.0% ","37,182 ","1.47% ","1.51% ","2.14% ","2.95% ","3.97% ","2.53% ","2.53% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","82.9% ","38.9% ","28.0%*","77.7% ","99.9% ","96.9% ","42.0% ","97.3% ","2.09% ","10.22% ","9.23%*","6.07% ","0.14% ","2.04% ","5.89% ","1.31% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","89.8% ","89.8% ","100% ","96.5% ","84.1% ","90.2% ","93.5% ","89.2% ","2.40% ","6.31% ","0% ","1.80% ","6.48% ","3.03% ","2.81% ","2.73% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","66.3% ","85.1% ","suppressed","60.6% ","71.6% ","63.4% ","72.7% ","65.3% ","2.45% ","7.81% ","suppressed","7.82% ","3.37% ","3.35% ","7.04% ","2.58% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","59.5% ","76.5% ","suppressed","58.5% ","60.2% ","57.2% ","68.0% ","58.2% ","2.67% ","10.96% ","suppressed","7.54% ","5.82% ","3.29% ","7.20% ","2.84% "
"II.B.4","Number of part-time employees","176,531 ","24,456 ","21,516 ","33,497 ","36,470 ","60,593 ","68,079 ","108,452 ","14,573 ","4,052 ","4,330 ","7,034 ","5,652 ","10,615 ","7,786 ","12,755 "
"II.B.4.a","Percent of number of part-time employees","176,531 ","13.9% ","12.2% ","19.0% ","20.7% ","34.3% ","38.6% ","61.4% ","14,573 ","2.29% ","2.45% ","3.59% ","3.04% ","4.46% ","3.99% ","3.99% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","67.3% ","7.7%*","11.1%*","57.4% ","95.3% ","100% ","27.0% ","92.6% ","3.92% ","4.69%*","6.23%*","11.92% ","4.19% ","0% ","6.91% ","3.80% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","39.7% ","suppressed","suppressed","suppressed","47.1% ","44.2% ","19.4%*","43.4% ","5.81% ","suppressed","suppressed","suppressed","10.02% ","9.02% ","9.17%*","6.52% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","37.8% ","suppressed","suppressed","suppressed","33.8%*","38.3% ","suppressed","36.3% ","8.16% ","suppressed","suppressed","suppressed","15.14%*","10.50% ","suppressed","8.60% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","15.0% ","suppressed","suppressed","2.3%*","15.9%*","16.9%*","11.0%*","15.7% ","3.79% ","suppressed","suppressed","1.56%*","7.88%*","5.54%*","6.50%*","4.32% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,447 ","suppressed","14,092 ","8,048 ","9,478 ","9,737 ","9,459 ","9,445 ","244.93 ","suppressed","488.54 ","616.36 ","408.78 ","240.45 ","946.49 ","219.32 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,720 ","suppressed","suppressed","7,841 ","9,590 ","11,113 ","7,569 ","10,085 ","528.09 ","suppressed","suppressed","904.00 ","1111.31 ","520.20 ","1266.65 ","556.30 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,369 ","suppressed","13,857 ","8,174 ","9,308 ","9,359 ","10,821 ","9,134 ","286.53 ","suppressed","514.60 ","631.96 ","400.40 ","246.80 ","1242.57 ","228.20 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","9,424 ","suppressed","suppressed","suppressed","suppressed","9,511 ","suppressed","10,003 ","697.66 ","suppressed","suppressed","suppressed","suppressed","404.01 ","suppressed","543.75 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,984 ","suppressed","14,353 ","7,627 ","9,291 ","8,969 ","9,721 ","8,707 ","522.07 ","suppressed","418.59 ","571.58 ","843.82 ","581.68 ","1408.54 ","468.15 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,710 ","suppressed","suppressed","8,848 ","9,572 ","9,992 ","suppressed","9,789 ","253.00 ","suppressed","suppressed","1220.83 ","428.32 ","260.66 ","suppressed","239.23 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,767 ","suppressed","suppressed","1,898 ","1,832 ","1,564 ","2,171*","1,682 ","198.72 ","suppressed","suppressed","457.81 ","221.43 ","129.37 ","972.82*","123.27 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,994 ","suppressed","suppressed","suppressed","2,179 ","1,545 ","suppressed","1,987 ","243.29 ","suppressed","suppressed","suppressed","423.71 ","72.57 ","suppressed","272.41 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,864 ","suppressed","suppressed","1,732*","1,749 ","1,714 ","2,954*","1,687 ","300.57 ","suppressed","suppressed","648.32*","266.42 ","204.84 ","1901.14*","161.61 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,137 ","suppressed","suppressed","suppressed","suppressed","1,123 ","suppressed","1,196 ","169.34 ","suppressed","suppressed","suppressed","suppressed","158.22 ","suppressed","161.45 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,003 ","suppressed","suppressed","1,278*","2,146 ","1,776 ","2,743*","1,725 ","492.61 ","suppressed","suppressed","490.28*","220.81 ","480.62 ","1565.39*","262.04 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,634 ","suppressed","suppressed","3,076 ","1,673 ","1,493 ","suppressed","1,662 ","139.99 ","suppressed","suppressed","457.49 ","318.64 ","76.47 ","suppressed","133.49 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","18.7% ","suppressed","suppressed","23.6% ","19.3% ","16.1% ","22.9%*","17.8% ","1.99% ","suppressed","suppressed","4.42% ","2.54% ","1.28% ","9.51%*","1.28% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.5% ","suppressed","suppressed","suppressed","suppressed","13.9% ","26.9% ","19.7% ","2.53% ","suppressed","suppressed","suppressed","suppressed","0.50% ","2.72% ","2.75% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.9% ","suppressed","suppressed","21.2%*","18.8% ","18.3% ","27.3%*","18.5% ","3.05% ","suppressed","suppressed","6.85%*","3.13% ","2.19% ","16.34%*","1.78% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","12.1% ","suppressed","suppressed","suppressed","suppressed","11.8% ","suppressed","12.0% ","1.69% ","suppressed","suppressed","suppressed","suppressed","1.38% ","suppressed","1.23% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","22.3% ","suppressed","suppressed","16.8%*","23.1% ","19.8% ","28.2%*","19.8% ","5.02% ","suppressed","suppressed","5.63%*","2.97% ","5.58% ","14.37%*","2.97% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","16.8% ","suppressed","suppressed","34.8% ","17.5% ","14.9% ","suppressed","17.0% ","1.46% ","suppressed","suppressed","1.24% ","3.53% ","0.62% ","suppressed","1.37% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","60.1% ","82.6% ","suppressed","66.9% ","58.0% ","56.6% ","70.8% ","58.3% ","2.36% ","10.67% ","suppressed","4.82% ","4.79% ","2.59% ","7.86% ","2.28% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","14.0% ","suppressed","suppressed","30.2%*","10.1%*","2.7%*","44.0%*","7.7%*","3.66% ","suppressed","suppressed","11.63%*","4.95%*","1.81%*","14.31%*","2.59%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","63.9% ","suppressed","suppressed","34.5%*","66.4% ","75.0% ","43.3%*","68.2% ","5.34% ","suppressed","suppressed","12.73%*","10.06% ","8.25% ","15.14%*","5.92% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","59.5% ","suppressed","suppressed","69.1% ","56.7% ","54.4% ","60.9% ","58.9% ","3.91% ","suppressed","suppressed","6.13% ","5.51% ","6.13% ","8.19% ","4.35% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","60.5% ","100% ","suppressed","63.0% ","58.6% ","57.4% ","90.0% ","58.0% ","2.89% ","0% ","suppressed","7.01% ","6.83% ","2.54% ","7.49% ","2.72% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","26,482 ","suppressed","37,773 ","25,506 ","27,458 ","26,267 ","27,361 ","26,403 ","853.46 ","suppressed","2712.20 ","2757.37 ","1384.62 ","1132.02 ","3814.49 ","863.17 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","24,338 ","suppressed","suppressed","22,632 ","28,866 ","25,183 ","suppressed","25,389 ","1764.87 ","suppressed","suppressed","3260.24 ","1115.23 ","2069.17 ","suppressed","1652.77 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","26,276 ","suppressed","suppressed","22,940 ","27,341 ","26,349 ","suppressed","26,261 ","916.83 ","suppressed","suppressed","2687.13 ","1518.38 ","1272.81 ","suppressed","949.44 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","31,004 ","suppressed","suppressed","suppressed","suppressed","27,476 ","38,847 ","29,111 ","2517.63 ","suppressed","suppressed","suppressed","suppressed","1875.03 ","2132.04 ","2366.62 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","26,543 ","suppressed","38,666 ","24,632 ","26,569 ","28,002 ","27,050 ","26,407 ","1390.63 ","suppressed","2751.21 ","2473.91 ","2042.74 ","1758.94 ","4010.85 ","1391.21 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","26,446 ","suppressed","suppressed","suppressed","27,970 ","25,614 ","suppressed","26,401 ","1075.24 ","suppressed","suppressed","suppressed","1769.32 ","1385.97 ","suppressed","1082.42 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,761 ","suppressed","suppressed","6,809*","7,086 ","6,573 ","suppressed","6,586 ","543.89 ","suppressed","suppressed","2580.22*","1464.31 ","228.56 ","suppressed","499.96 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,989 ","suppressed","suppressed","suppressed","suppressed","7,200 ","suppressed","7,121 ","567.70 ","suppressed","suppressed","suppressed","suppressed","343.47 ","suppressed","426.33 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,482 ","suppressed","suppressed","suppressed","7,050 ","6,116 ","suppressed","6,402 ","666.98 ","suppressed","suppressed","suppressed","1574.36 ","250.87 ","suppressed","638.83 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","suppressed","suppressed","suppressed","suppressed","suppressed","7,955 ","suppressed","7,061 ","suppressed","suppressed","suppressed","suppressed","suppressed","1032.86 ","suppressed","1093.75 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,334 ","suppressed","suppressed","suppressed","9,295 ","7,119 ","suppressed","7,252 ","980.21 ","suppressed","suppressed","suppressed","855.33 ","868.72 ","suppressed","810.64 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,420 ","suppressed","suppressed","suppressed","5,815*","6,368 ","suppressed","6,272 ","652.93 ","suppressed","suppressed","suppressed","1946.22*","213.21 ","suppressed","632.71 "
