"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","73.4% ","suppressed","27.0%*","20.2%*","60.1% ","90.5% ","21.4%*","80.2% ","5.20% ","suppressed","17.34%*","9.67%*","12.37% ","3.36% ","9.26%*","4.70% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.3% ","suppressed","100% ","78.3% ","96.3% ","88.3% ","suppressed","89.3% ","3.81% ","suppressed","0% ","14.95% ","2.99% ","4.83% ","suppressed","3.93% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","88.1% ","suppressed","0% ","97.2% ","99.9% ","87.5% ","suppressed","89.8% ","3.25% ","suppressed","0% ","3.11% ","0.09% ","3.87% ","suppressed","2.93% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","75.3% ","suppressed","suppressed","26.2%*","54.6% ","94.8% ","30.5% ","82.0% ","4.89% ","suppressed","suppressed","9.20%*","11.99% ","2.95% ","8.82% ","5.09% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","suppressed","1.4%*","93.8% ",,,,,,"suppressed","0.64%*","4.62% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.0% ","suppressed","84.7% ","92.2% ","97.3% ","99.9% ","81.6% ","99.3% ","1.14% ","suppressed","10.82% ","6.16% ","2.22% ","0.06% ","6.99% ","0.51% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","27.3% ","suppressed","suppressed","11.7%*","37.1%*","29.1% ","11.2%*","29.8% ","5.65% ","suppressed","suppressed","6.17%*","13.88%*","7.56% ","5.08%*","6.58% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","28.7% ","suppressed","suppressed","21.9%*","39.7%*","28.7% ","11.2%*","31.3% ","5.76% ","suppressed","suppressed","10.23%*","13.43%*","7.50% ","5.08%*","6.72% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","74.6% ","57.5% ","69.2% ","64.6% ","69.2% ","81.1% ","60.4% ","78.5% ","4.53% ","7.47% ","9.21% ","9.17% ","10.11% ","6.25% ","5.61% ","5.25% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","93.8% ","70.9% ","80.4% ","98.9% ","94.2% ","97.5% ","83.0% ","96.8% ","1.34% ","6.45% ","7.63% ","1.11% ","3.05% ","1.29% ","3.57% ","1.18% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","90.7% ","suppressed","94.9% ","82.5% ","75.9% ","96.5% ","84.8% ","91.5% ","4.74% ","suppressed","4.59% ","7.23% ","17.52% ","1.77% ","5.83% ","5.30% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","22.0% ","18.3% ","29.1% ","19.6% ","23.7% ","21.4% ","23.5% ","21.6% ","2.57% ","4.26% ","8.47% ","5.83% ","6.96% ","3.57% ","4.18% ","3.06% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","9.0% ","10.4%*","9.9%*","4.6%*","6.3% ","10.4% ","8.2% ","9.2% ","1.35% ","3.30%*","3.51%*","1.87%*","1.62% ","2.34% ","1.78% ","1.67% "
"II.B.3","Number of full-time employees","2,534,384 ","157,886 ","161,492 ","280,785 ","481,611 ","1,452,610 ","497,279 ","2,037,105 ","310,890 ","20,121 ","32,388 ","46,617 ","108,164 ","292,395 ","44,890 ","308,830 "
