"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.3% ","suppressed","suppressed","suppressed","96.1% ","87.7% ","suppressed","89.5% ","3.10% ","suppressed","suppressed","suppressed","2.73% ","3.88% ","suppressed","3.18% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","90.9% ","suppressed","suppressed","suppressed","98.5% ","90.2% ","suppressed","91.8% ","3.59% ","suppressed","suppressed","suppressed","1.30% ","4.52% ","suppressed","3.61% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","82.0% ","suppressed","58.4% ","49.1% ","77.0% ","98.0% ","57.1% ","86.8% ","2.72% ","suppressed","11.34% ","9.79% ","6.62% ","1.24% ","7.20% ","2.84% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.3%*","4.1%*","95.5% ",,,,,,"0.34%*","1.53%*","1.57% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.8% ","suppressed","100% ","89.5% ","99.9% ","98.9% ","89.9% ","98.2% ","1.37% ","suppressed","0% ","7.97% ","0.10% ","1.13% ","5.12% ","1.28% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","72.6% ","suppressed","56.9% ","60.7% ","69.1% ","82.9% ","49.1% ","77.1% ","4.64% ","suppressed","11.57% ","9.69% ","8.53% ","6.97% ","6.89% ","5.31% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","72.4% ","suppressed","53.9% ","60.7% ","69.1% ","82.9% ","47.9% ","77.1% ","4.65% ","suppressed","11.58% ","9.69% ","8.53% ","6.97% ","6.92% ","5.31% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","96.4% ","86.0% ","93.0% ","95.1% ","94.9% ","99.4% ","91.3% ","97.7% ","1.01% ","5.28% ","4.87% ","2.83% ","2.97% ","0.50% ","2.71% ","1.07% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","98.0% ","77.9% ","96.3% ","96.6% ","100% ","99.8% ","91.0% ","99.6% ","0.56% ","7.49% ","3.65% ","2.41% ","0% ","0.17% ","2.72% ","0.29% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.4% ","100% ","93.3% ","93.5% ","95.2% ","100% ","96.2% ","97.7% ","1.17% ","0% ","5.36% ","3.64% ","3.60% ","0% ","2.46% ","1.32% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","56.3% ","69.2% ","77.3% ","62.7% ","66.1% ","44.8% ","69.5% ","53.2% ","3.91% ","8.55% ","7.91% ","8.09% ","7.91% ","6.66% ","5.13% ","4.70% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","48.7% ","65.4% ","67.3% ","55.9% ","53.9% ","39.4% ","62.1% ","45.6% ","3.96% ","9.29% ","9.04% ","8.10% ","7.53% ","6.82% ","5.42% ","4.74% "
"II.B.3","Number of full-time employees","481,699 ","27,068 ","34,696 ","58,359 ","129,199 ","232,377 ","92,470 ","389,229 ","29,003 ","5,161 ","6,293 ","7,461 ","14,957 ","24,115 ","8,130 ","28,784 "
"II.B.3.a","Percent of number of full-time employees","481,699 ","5.6% ","7.2% ","12.1% ","26.8% ","48.2% ","19.2% ","80.8% ","29,003 ","1.08% ","1.32% ","1.62% ","2.78% ","3.11% ","1.88% ","1.88% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","96.9% ","74.0% ","96.5% ","89.1% ","100% ","99.8% ","86.8% ","99.3% ","0.67% ","7.75% ","3.09% ","4.39% ","0% ","0.20% ","3.10% ","0.45% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.5% ","97.0% ","98.6% ","97.0% ","96.0% ","92.4% ","98.1% ","93.8% ","2.17% ","2.20% ","0.77% ","1.81% ","1.68% ","4.21% ","0.70% ","2.61% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","71.5% ","84.0% ","73.7% ","72.1% ","71.4% ","70.0% ","73.9% ","71.0% ","2.85% ","5.65% ","6.56% ","5.10% ","5.05% ","4.74% ","3.80% ","3.36% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","67.6% ","81.4% ","72.7% ","69.9% ","68.6% ","64.6% ","72.5% ","66.6% ","3.26% ","5.84% ","6.31% ","5.76% ","5.52% ","5.41% ","3.73% ","3.83% "
"II.B.4","Number of part-time employees","74,437 ","suppressed","suppressed","9,310 ","19,057 ","36,997 ","14,078 ","60,359 ","12,471 ","suppressed","suppressed","2,725 ","5,601 ","10,636 ","2,947 ","12,144 "
"II.B.4.a","Percent of number of part-time employees","74,437 ","suppressed","suppressed","12.5%*","25.6% ","49.7% ","18.9% ","81.1% ","12,471 ","suppressed","suppressed","3.82%*","6.79% ","8.40% ","4.47% ","4.47% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","88.2% ","suppressed","suppressed","71.5% ","100% ","100% ","39.6% ","99.5% ","3.43% ","suppressed","suppressed","13.79% ","0% ","0% ","11.27% ","0.51% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","23.6% ","suppressed","suppressed","25.5%*","18.2%*","25.8% ","19.9%*","24.0% ","4.69% ","suppressed","suppressed","14.37%*","6.37%*","7.23% ","9.13%*","5.08% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","44.9% ","suppressed","suppressed","suppressed","47.0% ","46.3% ","suppressed","43.9% ","7.20% ","suppressed","suppressed","suppressed","13.40% ","9.22% ","suppressed","7.64% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","10.6% ","suppressed","1.5%*","7.8%*","8.6%*","11.9%*","11.6%*","10.5%*","3.17% ","suppressed","1.53%*","4.19%*","3.96%*","5.24%*","6.26%*","3.41%*"
