"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","61.3% ","7.9%*","8.1%*","19.8%*","62.0% ","77.1% ","7.0%*","68.2% ","3.78% ","5.35%*","6.72%*","9.49%*","7.12% ","5.42% ","3.41%*","4.14% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.7% ","suppressed","suppressed","82.2% ","86.2% ","92.9% ","suppressed","90.8% ","2.60% ","suppressed","suppressed","13.80% ","5.62% ","2.85% ","suppressed","2.56% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","79.3% ","suppressed","suppressed","suppressed","90.0% ","76.4% ","suppressed","79.5% ","3.99% ","suppressed","suppressed","suppressed","4.38% ","5.22% ","suppressed","4.03% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","76.6% ","32.7%*","44.7%*","58.4% ","68.7% ","88.5% ","40.3% ","81.2% ","2.84% ","10.09%*","13.67%*","8.68% ","6.54% ","2.96% ","7.01% ","2.94% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","2.6%*","4.8%*","92.6% ",,,,,,"1.32%*","1.82%*","2.21% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.3% ","81.9% ","82.5% ","98.9% ","99.1% ","99.9% ","88.2% ","99.6% ","0.60% ","8.55% ","10.69% ","1.11% ","0.94% ","0.15% ","4.56% ","0.30% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","52.8% ","28.9%*","18.5%*","25.8% ","53.0% ","61.5% ","25.0% ","56.3% ","4.06% ","8.99%*","10.14%*","7.28% ","7.20% ","5.90% ","5.74% ","4.45% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","53.6% ","31.1%*","19.7%*","29.0% ","53.0% ","62.2% ","29.0% ","56.7% ","4.05% ","9.45%*","10.19%*","7.67% ","7.21% ","5.88% ","6.16% ","4.44% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","75.6% ","58.8% ","57.6% ","59.8% ","64.8% ","91.2% ","59.2% ","80.4% ","2.52% ","4.90% ","7.78% ","6.65% ","6.82% ","2.91% ","3.92% ","3.02% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","90.2% ","69.4% ","78.4% ","82.7% ","91.4% ","97.3% ","76.9% ","94.1% ","1.47% ","4.39% ","5.71% ","5.28% ","3.92% ","1.30% ","3.02% ","1.68% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.9% ","91.7% ","94.7% ","91.4% ","99.0% ","97.3% ","93.2% ","97.3% ","0.78% ","6.18% ","5.30% ","4.17% ","0.53% ","1.02% ","3.21% ","0.78% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","25.9% ","32.9% ","19.0% ","17.2% ","26.0% ","28.3% ","25.0% ","26.2% ","2.30% ","4.30% ","4.06% ","4.88% ","4.52% ","4.01% ","3.15% ","2.83% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","14.6% ","16.6% ","6.2% ","9.1%*","15.5% ","16.8% ","11.3% ","15.6% ","1.89% ","2.96% ","1.71% ","3.99%*","4.26% ","3.17% ","2.36% ","2.36% "
"II.B.3","Number of full-time employees","10,127,159 ","766,543 ","693,113 ","1,334,765 ","2,531,616 ","4,801,122 ","2,117,655 ","8,009,503 ","514,343 ","59,275 ","102,966 ","156,335 ","268,161 ","440,376 ","137,820 ","506,638 "
"II.B.3.a","Percent of number of full-time employees","10,127,159 ","7.6% ","6.8% ","13.2% ","25.0% ","47.4% ","20.9% ","79.1% ","514,343 ","0.68% ","1.04% ","1.52% ","2.42% ","2.84% ","1.56% ","1.56% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","85.2% ","36.5% ","48.7% ","71.2% ","97.0% ","96.0% ","46.2% ","95.6% ","1.54% ","5.69% ","8.60% ","6.49% ","1.17% ","1.68% ","4.50% ","1.16% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","95.3% ","96.5% ","96.6% ","96.0% ","98.0% ","93.6% ","97.2% ","95.1% ","0.85% ","1.89% ","2.01% ","2.64% ","0.57% ","1.45% ","0.96% ","0.95% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","68.5% ","68.0% ","74.7% ","66.9% ","68.3% ","68.5% ","66.1% ","68.8% ","2.51% ","6.60% ","7.15% ","4.94% ","3.47% ","4.21% ","4.12% ","2.79% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","65.3% ","65.6% ","72.1% ","64.2% ","66.9% ","64.1% ","64.2% ","65.4% ","2.39% ","6.54% ","6.91% ","5.24% ","3.42% ","3.87% ","4.00% ","2.65% "
"II.B.4","Number of part-time employees","2,499,894 ","263,620 ","259,168 ","397,083 ","398,564 ","1,181,459 ","742,735 ","1,757,159 ","290,528 ","37,345 ","56,053 ","70,301 ","78,957 ","265,890 ","76,393 ","281,973 "
"II.B.4.a","Percent of number of part-time employees","2,499,894 ","10.5% ","10.4% ","15.9% ","15.9% ","47.3% ","29.7% ","70.3% ","290,528 ","1.81% ","2.37% ","3.01% ","3.24% ","6.08% ","4.02% ","4.02% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","69.1% ","12.3%*","20.5%*","39.5% ","82.0% ","98.0% ","24.4% ","88.0% ","4.31% ","4.39%*","11.74%*","9.71% ","7.48% ","1.57% ","5.64% ","3.60% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","22.5% ","suppressed","suppressed","15.5%*","22.2%*","23.3% ","19.0%*","22.9% ","4.51% ","suppressed","suppressed","8.58%*","7.04%*","6.28% ","7.98%*","4.98% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","37.0% ","suppressed","suppressed","suppressed","29.3% ","36.7% ","suppressed","35.0% ","6.90% ","suppressed","suppressed","suppressed","6.82% ","9.40% ","suppressed","7.23% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","8.3% ","suppressed","suppressed","suppressed","6.5%*","8.5%*","11.0%*","8.0% ","2.07% ","suppressed","suppressed","suppressed","2.65%*","2.86%*","5.26%*","2.20% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,543 ","9,928 ","8,078 ","7,656 ","8,283 ","8,849 ","8,737 ","8,514 ","216.49 ","1078.85 ","907.08 ","501.12 ","430.43 ","296.18 ","599.05 ","232.56 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,681 ","suppressed","suppressed","9,425 ","7,611 ","9,956 ","9,330 ","8,565 ","518.11 ","suppressed","suppressed","1364.94 ","844.15 ","337.44 ","1249.09 ","563.54 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,478 ","9,671 ","8,718 ","7,363 ","8,425 ","8,651 ","8,670 ","8,453 ","248.55 ","1147.08 ","1342.76 ","611.97 ","434.84 ","353.48 ","740.00 ","264.19 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,716 ","suppressed","suppressed","7,851 ","10,084 ","8,565 ","suppressed","8,921 ","541.14 ","suppressed","suppressed","703.58 ","1131.71 ","359.78 ","suppressed","524.38 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,356 ","9,168 ","8,560 ","7,946 ","8,518 ","8,193 ","8,665 ","8,236 ","235.68 ","917.67 ","911.51 ","455.61 ","524.78 ","199.14 ","568.68 ","242.32 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,682 ","suppressed","suppressed","suppressed","8,129 ","9,063 ","suppressed","8,666 ","335.79 ","suppressed","suppressed","suppressed","618.08 ","380.12 ","suppressed","334.60 "
