"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.4% ","suppressed","suppressed","suppressed","90.1% ","93.0% ","suppressed","91.7% ","3.27% ","suppressed","suppressed","suppressed","6.80% ","2.93% ","suppressed","2.85% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","75.1% ","suppressed","suppressed","suppressed","100% ","72.5% ","suppressed","75.6% ","6.69% ","suppressed","suppressed","suppressed","0% ","8.23% ","suppressed","6.96% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","77.7% ","suppressed","suppressed","58.1% ","69.2% ","88.4% ","50.5% ","81.5% ","4.26% ","suppressed","suppressed","10.95% ","7.48% ","4.98% ","8.51% ","4.49% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.9%*","18.2%*","80.9% ",,,,,,"0.68%*","7.06%*","7.11% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.5% ","suppressed","90.1% ","100% ","100% ","100% ","87.9% ","100% ","0.60% ","suppressed","6.86% ","0% ","0% ","0% ","4.53% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","62.9% ","suppressed","suppressed","70.5% ","65.3% ","64.6% ","42.7% ","65.7% ","6.08% ","suppressed","suppressed","10.30% ","7.65% ","8.99% ","8.45% ","6.66% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","62.6% ","suppressed","suppressed","68.8% ","65.1% ","64.6% ","42.7% ","65.4% ","6.10% ","suppressed","suppressed","10.36% ","7.63% ","9.02% ","8.45% ","6.69% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","69.5% ","46.0% ","56.3% ","70.7% ","84.4% ","68.7% ","58.7% ","72.2% ","6.90% ","8.45% ","9.93% ","8.76% ","4.92% ","11.60% ","5.64% ","8.72% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.5% ","51.4% ","85.5% ","86.6% ","97.9% ","97.3% ","74.1% ","97.2% ","1.50% ","8.48% ","5.92% ","5.40% ","1.59% ","1.59% ","4.52% ","1.24% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.9% ","78.8% ","100% ","93.5% ","100% ","96.9% ","94.6% ","97.3% ","1.41% ","8.50% ","0% ","4.55% ","0% ","2.05% ","2.39% ","1.55% "
