"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.3%*","4.4%*","95.3% ",,,,,,"0.22%*","1.88%*","1.90% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","99.1% ","91.7% ","97.0% ","98.6% ","100% ","99.4% ","95.5% ","99.6% ","0.38% ","6.42% ","3.08% ","1.41% ","0.03% ","0.45% ","2.36% ","0.28% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","43.6% ","suppressed","suppressed","29.7%*","60.5% ","39.4% ","34.4% ","44.8% ","4.69% ","suppressed","suppressed","9.73%*","8.05% ","6.88% ","7.80% ","5.23% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","43.9% ","suppressed","suppressed","34.4% ","60.5% ","39.4% ","36.9% ","44.8% ","4.70% ","suppressed","suppressed","9.97% ","8.05% ","6.88% ","8.03% ","5.23% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","70.4% ","43.0% ","31.5% ","46.7% ","80.8% ","86.2% ","36.9% ","82.4% ","3.14% ","6.23% ","8.12% ","7.59% ","6.46% ","4.90% ","4.28% ","3.81% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","84.7% ","49.6% ","64.8% ","76.8% ","93.6% ","95.4% ","57.8% ","94.4% ","2.27% ","6.29% ","8.28% ","6.37% ","5.17% ","2.94% ","4.42% ","2.45% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.8% ","92.8% ","87.0% ","88.0% ","95.7% ","99.7% ","88.9% ","97.9% ","0.93% ","5.56% ","8.79% ","6.41% ","2.07% ","0.33% ","4.45% ","0.84% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","26.7% ","22.7% ","8.4%*","14.0%*","37.6% ","29.6% ","15.4% ","30.7% ","2.99% ","5.02% ","5.51%*","4.45%*","6.54% ","5.35% ","3.04% ","3.91% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","19.0% ","16.2% ","1.5%*","7.5%*","24.6% ","23.5% ","9.6% ","22.4% ","2.94% ","3.61% ","0.74%*","3.15%*","6.29% ","5.51% ","1.92% ","3.92% "
"II.B.3","Number of full-time employees","1,282,490 ","129,038 ","78,871 ","141,622 ","271,894 ","661,066 ","282,981 ","999,510 ","72,159 ","14,012 ","12,389 ","19,212 ","36,288 ","64,185 ","20,432 ","70,297 "
