"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","79.9% ","suppressed","suppressed","100% ","96.0% ","77.6% ","suppressed","80.4% ","10.01% ","suppressed","suppressed","0% ","2.24% ","12.54% ","suppressed","10.52% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","70.5% ","suppressed","100% ","suppressed","98.5% ","66.1% ","suppressed","71.1% ","10.42% ","suppressed","0% ","suppressed","1.21% ","12.33% ","suppressed","11.02% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","80.0% ","suppressed","48.7% ","59.7% ","71.8% ","96.1% ","47.8% ","87.3% ","3.74% ","suppressed","12.06% ","9.75% ","7.61% ","1.78% ","7.51% ","3.32% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.6%*","1.3%*","98.1% ",,,,,,"0.36%*","0.83%*","0.92% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.8% ","suppressed","91.9% ","89.6% ","100% ","100% ","88.7% ","98.6% ","1.54% ","suppressed","6.07% ","9.46% ","0% ","0% ","5.15% ","1.37% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","71.0% ","suppressed","45.9% ","28.3%*","61.6% ","92.3% ","33.3% ","79.5% ","5.63% ","suppressed","12.23% ","8.71%*","8.11% ","5.27% ","7.41% ","5.64% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","70.3% ","suppressed","45.9% ","31.0% ","60.6% ","91.0% ","35.0% ","78.4% ","5.73% ","suppressed","12.23% ","8.96% ","8.11% ","5.58% ","7.48% ","5.81% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","85.0% ","46.1% ","77.1% ","89.6% ","98.7% ","88.7% ","69.9% ","91.1% ","4.32% ","8.11% ","6.97% ","5.03% ","1.01% ","8.93% ","4.48% ","5.77% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.0% ","51.5% ","87.4% ","91.7% ","100% ","99.2% ","76.1% ","98.4% ","1.61% ","8.16% ","5.61% ","4.34% ","0% ","0.62% ","4.17% ","0.80% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.0% ","92.6% ","84.3% ","90.6% ","98.8% ","97.7% ","88.6% ","97.5% ","1.31% ","7.01% ","7.51% ","4.60% ","0.77% ","1.60% ","3.96% ","1.26% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","25.2% ","24.8% ","11.0%*","16.1% ","19.0% ","34.2% ","16.0% ","28.8% ","2.32% ","6.39% ","3.72%*","4.05% ","4.51% ","3.16% ","2.91% ","2.71% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","14.1% ","14.8%*","7.5%*","9.1%*","10.5% ","18.5% ","9.4% ","15.9% ","1.48% ","5.19%*","3.46%*","3.57%*","3.00% ","1.81% ","2.43% ","1.68% "
"II.B.3","Number of full-time employees","384,437 ","29,258 ","37,050 ","49,242 ","65,660 ","203,227 ","89,918 ","294,519 ","56,607 ","4,201 ","6,349 ","5,805 ","10,332 ","55,421 ","7,494 ","56,323 "
"II.B.3.a","Percent of number of full-time employees","384,437 ","7.6% ","9.6% ","12.8% ","17.1% ","52.9% ","23.4% ","76.6% ","56,607 ","1.52% ","2.09% ","2.33% ","3.40% ","7.07% ","3.78% ","3.78% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","92.1% ","54.1% ","80.1% ","84.4% ","99.9% ","99.1% ","70.5% ","98.6% ","1.68% ","9.47% ","6.97% ","5.67% ","0.12% ","0.70% ","5.06% ","0.75% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.8% ","90.1% ","89.1% ","96.2% ","94.2% ","95.8% ","91.9% ","95.4% ","1.68% ","5.83% ","6.55% ","2.52% ","2.11% ","2.59% ","3.45% ","1.89% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","66.1% ","81.4% ","58.3% ","55.0% ","70.0% ","67.1% ","63.2% ","66.7% ","3.64% ","7.90% ","6.73% ","6.38% ","6.38% ","5.84% ","4.50% ","4.37% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","62.6% ","73.3% ","51.9% ","53.0% ","66.0% ","64.3% ","58.1% ","63.6% ","3.34% ","9.08% ","7.11% ","6.03% ","5.96% ","5.45% ","4.59% ","4.03% "
"II.B.4","Number of part-time employees","118,907 ","24,075 ","19,637 ","14,106 ","36,794 ","24,294 ","53,831 ","65,076 ","11,220 ","3,859 ","4,428 ","3,321 ","8,459 ","5,547 ","5,787 ","9,744 "
"II.B.4.a","Percent of number of part-time employees","118,907 ","20.2% ","16.5% ","11.9% ","30.9% ","20.4% ","45.3% ","54.7% ","11,220 ","3.27% ","3.58% ","2.77% ","5.53% ","4.26% ","4.62% ","4.62% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","67.7% ","14.0%*","51.6% ","41.8%*","100% ","100% ","32.0% ","97.2% ","4.43% ","7.13%*","12.99% ","12.82%*","0% ","0% ","6.54% ","2.05% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","25.3% ","suppressed","suppressed","suppressed","18.2%*","31.0%*","24.4%*","25.5% ","5.79% ","suppressed","suppressed","suppressed","8.75%*","11.19%*","9.60%*","6.89% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","28.1% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","24.7%*","7.12% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","7.56%*"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","7.1% ","suppressed","suppressed","suppressed","3.5%*","9.8%*","10.1%*","6.3%*","1.94% ","suppressed","suppressed","suppressed","1.56%*","4.44%*","5.14%*","2.01%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,388 ","10,149 ","9,564 ","8,728 ","8,927 ","9,577 ","9,465 ","9,369 ","325.44 ","1538.48 ","1040.55 ","612.31 ","735.13 ","463.71 ","704.30 ","366.34 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,255 ","suppressed","suppressed","9,387 ","9,953 ","6,857 ","9,048 ","8,059 ","726.90 ","suppressed","suppressed","924.75 ","595.13 ","728.68 ","1217.85 ","801.82 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,488 ","suppressed","suppressed","7,593 ","8,216 ","9,938 ","9,221 ","9,531 ","361.50 ","suppressed","suppressed","733.07 ","1042.89 ","388.59 ","1089.85 ","382.87 "
