"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.1% ","0% ","suppressed","suppressed","86.1% ","91.8% ","suppressed","90.1% ","3.48% ","0% ","suppressed","suppressed","6.45% ","3.96% ","suppressed","3.45% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","85.5% ","0% ","suppressed","suppressed","96.4% ","86.0% ","suppressed","86.6% ","3.93% ","0% ","suppressed","suppressed","2.94% ","4.67% ","suppressed","3.92% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","71.3% ","suppressed","suppressed","63.5% ","75.3% ","79.4% ","34.7% ","78.6% ","4.04% ","suppressed","suppressed","9.65% ","5.91% ","6.28% ","6.98% ","4.47% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.6%*","3.8%*","94.6% ",,,,,,"1.11%*","1.21%*","1.66% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.2% ","90.4% ","99.4% ","85.9% ","100% ","98.5% ","88.3% ","99.0% ","1.23% ","6.67% ","0.58% ","7.47% ","0% ","1.54% ","5.13% ","1.00% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","37.0% ","suppressed","suppressed","41.7% ","32.0% ","40.1% ","27.9% ","38.8% ","4.88% ","suppressed","suppressed","10.08% ","7.06% ","7.93% ","6.76% ","5.66% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","35.6% ","suppressed","suppressed","35.2% ","32.0% ","40.1% ","24.0% ","37.9% ","4.87% ","suppressed","suppressed","9.42% ","7.06% ","7.93% ","6.45% ","5.65% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","76.0% ","39.4% ","44.9% ","73.5% ","79.5% ","91.2% ","44.7% ","88.5% ","2.68% ","6.31% ","9.28% ","7.78% ","5.43% ","2.60% ","4.96% ","2.38% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","90.9% ","54.1% ","72.5% ","93.2% ","99.5% ","99.4% ","69.2% ","99.5% ","1.52% ","6.35% ","9.30% ","4.04% ","0.54% ","0.43% ","4.56% ","0.32% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","93.5% ","75.1% ","87.5% ","93.6% ","94.0% ","95.0% ","87.9% ","94.4% ","2.85% ","10.55% ","8.51% ","3.90% ","3.33% ","4.48% ","4.67% ","3.22% "
