"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","32.7% ","13.9%*","16.9%*","11.6%*","13.6%*","55.9% ","15.2% ","38.6% ","5.62% ","6.26%*","8.31%*","4.95%*","5.11%*","9.37% ","4.30% ","7.07% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","82.5% ","suppressed","0% ","suppressed","81.6% ","91.8% ","suppressed","90.6% ","5.20% ","suppressed","0% ","suppressed","13.71% ","4.78% ","suppressed","4.44% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","80.6% ","suppressed","0% ","suppressed","97.9% ","90.5% ","suppressed","90.1% ","6.04% ","suppressed","0% ","suppressed","2.21% ","5.63% ","suppressed","5.03% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","73.1% ","33.6% ","26.0%*","53.7% ","73.8% ","95.1% ","38.1% ","84.0% ","3.34% ","8.89% ","9.78%*","9.47% ","9.48% ","2.57% ","6.66% ","3.70% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","4.7%*","9.3% ","86.0% ",,,,,,"2.45%*","2.64% ","3.49% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","90.6% ","68.4% ","62.3% ","91.8% ","89.5% ","100% ","71.1% ","96.7% ","2.38% ","8.33% ","11.53% ","3.58% ","7.80% ","0% ","5.87% ","2.50% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","34.0% ","17.1%*","suppressed","28.9% ","22.3%*","50.5% ","15.2%*","39.8% ","4.73% ","6.20%*","suppressed","8.56% ","8.19%*","8.95% ","4.88%*","6.19% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","31.7% ","13.5%*","suppressed","22.6%*","22.3%*","48.2% ","10.%*","38.5% ","4.36% ","5.74%*","suppressed","7.13%*","8.19%*","8.16% ","3.18%*","5.79% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","81.3% ","61.9% ","43.7% ","71.9% ","81.2% ","97.9% ","63.3% ","88.0% ","2.78% ","6.93% ","10.18% ","9.02% ","8.28% ","1.29% ","5.20% ","3.23% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","88.1% ","60.3% ","68.4% ","88.1% ","87.5% ","99.8% ","72.5% ","94.0% ","2.43% ","6.99% ","9.24% ","7.15% ","8.11% ","0.15% ","4.55% ","2.91% "
