"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","85.1% ","suppressed","suppressed","suppressed","89.3% ","88.8% ","suppressed","86.4% ","4.20% ","suppressed","suppressed","suppressed","5.68% ","4.95% ","suppressed","4.23% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","88.3% ","suppressed","suppressed","90.4% ","94.9% ","84.9% ","88.6% ","88.3% ","2.63% ","suppressed","suppressed","5.85% ","3.76% ","3.96% ","9.72% ","2.73% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","81.9% ","suppressed","suppressed","73.5% ","80.2% ","90.6% ","43.8% ","87.1% ","3.47% ","suppressed","suppressed","9.01% ","6.48% ","4.05% ","9.43% ","3.47% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.0%*","7.8%*","91.2% ",,,,,,"0.72%*","4.91%*","4.93% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","99.4% ","85.6% ","93.1% ","100% ","100% ","100% ","95.3% ","100% ","0.35% ","10.0% ","6.75% ","0% ","0% ","0% ","2.85% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","71.9% ","suppressed","suppressed","57.4% ","64.8% ","82.9% ","46.0% ","75.5% ","4.70% ","suppressed","suppressed","11.40% ","9.68% ","4.91% ","9.30% ","4.98% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","71.4% ","suppressed","suppressed","55.4% ","64.8% ","82.9% ","44.0% ","75.2% ","4.73% ","suppressed","suppressed","11.59% ","9.68% ","4.91% ","9.40% ","5.00% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","89.9% ","48.9% ","85.6% ","100% ","83.5% ","99.1% ","76.2% ","93.8% ","2.66% ","7.72% ","7.25% ","0% ","8.43% ","0.89% ","4.02% ","3.15% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.6% ","50.0% ","74.8% ","90.0% ","98.5% ","100% ","69.6% ","99.0% ","1.30% ","7.65% ","9.44% ","4.50% ","1.21% ","0% ","4.66% ","0.66% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","92.9% ","100% ","100% ","89.4% ","87.2% ","95.7% ","96.4% ","92.2% ","2.49% ","0% ","0% ","5.16% ","7.69% ","1.78% ","3.08% ","2.90% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","26.9% ","26.5% ","28.0%*","30.8% ","27.5% ","25.5% ","27.1% ","26.8% ","4.06% ","6.62% ","9.54%*","8.96% ","7.85% ","6.67% ","4.38% ","5.05% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","19.5% ","16.9%*","18.8%*","15.1% ","17.2%*","22.6% ","17.7% ","20.0% ","3.48% ","5.84%*","8.30%*","3.98% ","7.04%*","6.29% ","3.82% ","4.35% "
"II.B.3","Number of full-time employees","2,159,774 ","143,826 ","150,046 ","284,751 ","609,429 ","971,722 ","463,122 ","1,696,652 ","171,639 ","17,076 ","25,848 ","46,775 ","86,873 ","155,686 ","36,465 ","169,323 "
"II.B.3.a","Percent of number of full-time employees","2,159,774 ","6.7% ","6.9% ","13.2% ","28.2% ","45.0% ","21.4% ","78.6% ","171,639 ","0.93% ","1.29% ","2.22% ","3.85% ","4.66% ","2.19% ","2.19% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","90.4% ","28.7% ","62.8% ","86.7% ","99.8% ","99.1% ","58.6% ","99.1% ","1.36% ","7.87% ","9.83% ","4.81% ","0.25% ","0.70% ","5.64% ","0.49% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","91.6% ","92.5% ","97.9% ","85.2% ","90.3% ","93.4% ","92.0% ","91.6% ","2.52% ","7.08% ","1.18% ","5.44% ","4.54% ","3.98% ","3.12% ","2.88% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","63.9% ","76.1% ","63.4% ","68.1% ","58.5% ","65.7% ","69.7% ","62.9% ","2.85% ","7.25% ","6.42% ","5.77% ","5.62% ","4.25% ","4.97% ","3.21% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","58.5% ","70.4% ","62.0% ","58.0% ","52.8% ","61.4% ","64.1% ","57.6% ","3.01% ","9.69% ","6.32% ","5.52% ","5.40% ","4.84% ","4.88% ","3.41% "
"II.B.4","Number of part-time employees","628,175 ","88,457 ","suppressed","46,085 ","139,332*","318,329*","147,356 ","480,819 ","134,255 ","17,398 ","suppressed","12,904 ","62,971*","116,424*","21,331 ","132,643 "
"II.B.4.a","Percent of number of part-time employees","628,175 ","14.1% ","suppressed","7.3%*","22.2%*","50.7% ","23.5% ","76.5% ","134,255 ","3.83% ","suppressed","2.47%*","8.88%*","10.65% ","5.60% ","5.60% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","78.7% ","6.6%*","suppressed","58.4% ","100% ","98.5% ","16.8%*","97.7% ","5.30% ","3.44%*","suppressed","15.37% ","0% ","1.19% ","5.32%*","1.60% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","15.1%*","suppressed","suppressed","suppressed","11.8%*","15.2%*","suppressed","14.9%*","5.37%*","suppressed","suppressed","suppressed","6.96%*","7.58%*","suppressed","5.61%*"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","31.7%*","suppressed","suppressed","suppressed","suppressed","29.5%*","suppressed","31.2%*","9.91%*","suppressed","suppressed","suppressed","suppressed","14.88%*","suppressed","10.42%*"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","4.8%*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4.7%*","2.28%*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","2.37%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","7,734 ","suppressed","suppressed","7,036 ","7,571 ","7,750 ","8,640 ","7,578 ","385.65 ","suppressed","suppressed","595.32 ","536.88 ","602.88 ","1112.81 ","400.98 "
