"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","56.1% ","28.6%*","20.3%*","28.5%*","59.0% ","70.6% ","27.4%*","62.2% ","6.62% ","13.32%*","11.31%*","13.72%*","12.91% ","9.11% ","9.54%*","7.55% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","87.4% ","suppressed","suppressed","suppressed","96.4% ","87.4% ","suppressed","90.9% ","4.15% ","suppressed","suppressed","suppressed","2.38% ","6.59% ","suppressed","3.92% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","82.8% ","suppressed","suppressed","suppressed","98.3% ","79.9% ","suppressed","88.5% ","4.76% ","suppressed","suppressed","suppressed","1.12% ","6.51% ","suppressed","3.64% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","72.0% ","14.5%*","suppressed","59.6% ","76.2% ","86.8% ","44.5% ","79.2% ","5.84% ","10.57%*","suppressed","12.23% ","14.45% ","4.75% ","9.50% ","7.21% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.1%*","suppressed","96.0% ",,,,,,"0.09%*","suppressed","2.55% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.6% ","79.9% ","90.5% ","94.5% ","98.4% ","99.3% ","89.3% ","98.5% ","1.13% ","9.07% ","6.23% ","3.85% ","1.74% ","0.66% ","3.82% ","0.98% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","41.6% ","28.3%*","suppressed","25.8%*","24.9%*","62.5% ","38.7% ","42.4% ","5.10% ","12.47%*","suppressed","11.45%*","7.77%*","7.35% ","9.55% ","5.96% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","40.8% ","25.6%*","suppressed","25.5%*","24.9%*","62.5% ","34.8% ","42.3% ","5.07% ","12.35%*","suppressed","11.45%*","7.77%*","7.35% ","9.58% ","5.96% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","92.2% ","58.4% ","91.5% ","86.4% ","99.6% ","100% ","74.5% ","99.8% ","1.66% ","7.16% ","4.36% ","9.29% ","0.41% ","0% ","5.15% ","0.18% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.0% ","62.2% ","84.0% ","88.3% ","99.6% ","99.8% ","79.5% ","97.4% ","1.56% ","6.90% ","6.26% ","8.03% ","0.41% ","0.23% ","3.68% ","1.62% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.4% ","63.1% ","99.6% ","93.7% ","98.7% ","99.8% ","84.2% ","99.1% ","1.12% ","13.79% ","0.38% ","4.91% ","0.92% ","0.11% ","5.74% ","0.51% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","36.3% ","42.1% ","20.0%*","17.9%*","47.1% ","37.1% ","26.0% ","40.7% ","4.34% ","7.31% ","7.31%*","6.95%*","10.38% ","7.43% ","4.52% ","5.83% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","24.6% ","24.1% ","9.1%*","9.3%*","33.7%*","27.8% ","14.3% ","29.1% ","4.35% ","5.42% ","5.36%*","4.64%*","11.66%*","6.50% ","3.21% ","6.02% "
"II.B.3","Number of full-time employees","3,108,434 ","327,671 ","297,733 ","419,888 ","1,063,705 ","999,438 ","847,049 ","2,261,386 ","248,092 ","40,533 ","69,360 ","71,753 ","187,452 ","142,080 ","96,684 ","234,679 "
"II.B.3.a","Percent of number of full-time employees","3,108,434 ","10.5% ","9.6% ","13.5% ","34.2% ","32.2% ","27.3% ","72.7% ","248,092 ","1.45% ","2.19% ","2.33% ","4.49% ","3.85% ","3.15% ","3.15% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","87.4% ","47.1% ","74.6% ","78.5% ","98.2% ","96.8% ","65.4% ","95.7% ","2.19% ","8.84% ","8.89% ","9.93% ","1.49% ","2.22% ","5.93% ","2.03% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","91.5% ","86.5% ","79.5% ","93.3% ","91.3% ","94.6% ","84.2% ","93.3% ","2.03% ","4.63% ","7.20% ","3.18% ","3.93% ","2.61% ","3.95% ","2.32% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.9% ","76.6% ","56.6% ","57.4% ","74.9% ","70.4% ","64.0% ","71.2% ","2.72% ","8.23% ","7.93% ","4.54% ","5.77% ","3.07% ","4.43% ","3.17% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","63.9% ","66.3% ","suppressed","53.6% ","68.4% ","66.5% ","53.9% ","66.5% ","3.07% ","6.76% ","suppressed","3.87% ","6.71% ","3.32% ","5.05% ","3.60% "
"II.B.4","Number of part-time employees","708,208 ","120,655 ","115,333 ","suppressed","116,127 ","258,952 ","300,669 ","407,539 ","71,734 ","19,799 ","25,529 ","suppressed","32,470 ","52,535 ","36,657 ","62,911 "
