"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.8% ","suppressed","suppressed","93.5% ","99.0% ","90.9% ","suppressed","91.9% ","5.62% ","suppressed","suppressed","5.19% ","1.04% ","6.82% ","suppressed","5.73% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","63.1% ","suppressed","suppressed","suppressed","98.5% ","58.4% ","suppressed","63.7% ","6.51% ","suppressed","suppressed","suppressed","1.55% ","7.75% ","suppressed","6.74% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","76.5% ","suppressed","33.3%*","38.5% ","88.3% ","95.6% ","28.5% ","88.3% ","3.06% ","suppressed","11.53%*","9.30% ","4.39% ","2.30% ","6.57% ","2.98% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.8%*","5.9%*","92.3% ",,,,,,"1.21%*","2.17%*","2.47% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.8% ","63.5% ","87.2% ","96.1% ","100% ","100% ","83.7% ","100% ","1.09% ","12.50% ","8.35% ","3.82% ","0% ","0% ","5.28% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","69.7% ","suppressed","27.0%*","79.4% ","75.7% ","75.0% ","43.1% ","76.2% ","4.12% ","suppressed","9.28%*","7.33% ","7.08% ","6.62% ","7.14% ","4.59% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","70.7% ","suppressed","37.0%*","79.4% ","75.7% ","75.0% ","48.4% ","76.2% ","4.07% ","suppressed","11.36%*","7.33% ","7.08% ","6.62% ","7.27% ","4.59% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","82.8% ","42.2% ","76.1% ","90.6% ","78.7% ","97.0% ","64.2% ","91.6% ","2.34% ","5.98% ","6.72% ","4.10% ","7.66% ","2.01% ","4.02% ","2.84% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","91.1% ","57.4% ","94.6% ","90.4% ","96.2% ","98.5% ","77.8% ","97.3% ","1.48% ","6.05% ","3.98% ","4.46% ","3.13% ","1.44% ","3.36% ","1.40% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","94.7% ","100% ","75.9% ","99.6% ","98.6% ","93.6% ","89.8% ","95.7% ","1.75% ","0% ","9.86% ","0.38% ","1.36% ","3.17% ","4.18% ","1.93% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","24.8% ","13.6% ","12.1%*","19.6% ","26.4% ","32.8% ","14.3% ","29.8% ","2.26% ","3.24% ","4.43%*","5.70% ","5.75% ","3.91% ","2.53% ","3.07% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","16.7% ","10.0% ","7.5%*","14.3%*","12.2% ","24.4% ","9.8% ","19.9% ","1.99% ","2.87% ","3.78%*","5.34%*","3.09% ","3.95% ","2.18% ","2.73% "
"II.B.3","Number of full-time employees","436,290 ","44,953 ","44,137 ","64,242 ","100,546 ","182,412 ","123,452 ","312,838 ","21,450 ","4,278 ","6,809 ","8,789 ","12,114 ","16,197 ","8,517 ","20,796 "
"II.B.3.a","Percent of number of full-time employees","436,290 ","10.3% ","10.1% ","14.7% ","23.0% ","41.8% ","28.3% ","71.7% ","21,450 ","1.06% ","1.55% ","1.94% ","2.46% ","2.64% ","2.06% ","2.06% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","84.7% ","33.8% ","67.7% ","86.2% ","94.7% ","95.3% ","58.7% ","95.0% ","1.96% ","7.09% ","7.71% ","5.14% ","3.74% ","2.66% ","4.58% ","2.03% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.4% ","87.3% ","87.4% ","97.0% ","98.2% ","93.2% ","91.0% ","95.2% ","1.06% ","5.65% ","5.79% ","1.06% ","0.64% ","1.85% ","2.83% ","1.10% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","74.4% ","64.7% ","73.1% ","66.2% ","76.8% ","76.7% ","68.0% ","75.9% ","1.59% ","8.14% ","4.00% ","5.06% ","3.05% ","2.06% ","3.32% ","1.77% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","70.2% ","56.5% ","63.9% ","64.2% ","75.5% ","71.6% ","61.9% ","72.3% ","1.52% ","5.24% ","4.75% ","4.88% ","2.91% ","1.92% ","3.11% ","1.68% "
"II.B.4","Number of part-time employees","141,682 ","30,809 ","20,337 ","19,057 ","19,356 ","52,123 ","62,601 ","79,081 ","13,806 ","4,435 ","4,469 ","4,052 ","4,697 ","10,996 ","6,680 ","12,233 "
"II.B.4.a","Percent of number of part-time employees","141,682 ","21.7% ","14.4% ","13.5% ","13.7% ","36.8% ","44.2% ","55.8% ","13,806 ","3.21% ","3.08% ","2.83% ","3.15% ","5.38% ","4.68% ","4.68% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","60.4% ","16.4%*","31.0%*","52.7% ","96.1% ","87.4% ","27.3% ","86.6% ","5.03% ","6.09%*","10.72%*","12.28% ","2.19% ","8.22% ","5.70% ","6.01% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","34.1% ","suppressed","suppressed","14.6%*","25.7%*","43.9% ","22.3%*","37.0% ","4.77% ","suppressed","suppressed","6.85%*","10.23%*","7.68% ","7.25%*","5.72% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","41.3% ","suppressed","suppressed","suppressed","suppressed","46.5% ","suppressed","44.2% ","4.74% ","suppressed","suppressed","suppressed","suppressed","5.39% ","suppressed","5.01% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","14.1% ","suppressed","suppressed","3.1%*","9.3%*","20.4% ","suppressed","16.4% ","2.81% ","suppressed","suppressed","1.75%*","5.11%*","4.96% ","suppressed","3.46% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,803 ","9,293 ","10,159 ","7,755 ","10,097 ","10,352 ","9,062 ","9,983 ","305.50 ","1099.46 ","997.98 ","374.75 ","781.81 ","334.65 ","504.31 ","357.96 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,644 ","suppressed","8,589 ","7,920 ","12,016 ","9,347 ","8,397 ","10,142 ","521.16 ","suppressed","551.57 ","599.06 ","1504.75 ","637.20 ","536.10 ","676.06 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","10,048 ","suppressed","11,344 ","7,868 ","9,980 ","10,656 ","9,762 ","10,098 ","319.20 ","suppressed","1430.69 ","490.52 ","750.16 ","331.48 ","807.05 ","350.03 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,079 ","suppressed","suppressed","suppressed","suppressed","9,242 ","7,796 ","8,235 ","902.34 ","suppressed","suppressed","suppressed","suppressed","479.46 ","512.93 ","1380.45 "
