"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","84.1% ","suppressed","suppressed","suppressed","64.5% ","97.6% ","suppressed","86.8% ","3.85% ","suppressed","suppressed","suppressed","10.31% ","1.25% ","suppressed","3.71% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","86.1% ","suppressed","suppressed","suppressed","86.4% ","90.7% ","suppressed","88.6% ","3.82% ","suppressed","suppressed","suppressed","8.04% ","3.86% ","suppressed","3.73% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","70.1% ","15.5%*","suppressed","49.0% ","68.4% ","93.4% ","26.2% ","81.1% ","3.81% ","9.46%*","suppressed","12.46% ","7.34% ","4.79% ","6.61% ","4.02% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0% ","9.2% ","90.8% ",,,,,,"0% ","2.50% ","2.50% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.3% ","76.2% ","70.6% ","98.5% ","100% ","100% ","81.4% ","100% ","1.13% ","8.41% ","14.05% ","1.55% ","0% ","0% ","5.35% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","25.9% ","6.1%*","suppressed","33.9%*","25.7% ","27.3% ","13.6%*","29.0% ","4.58% ","3.59%*","suppressed","14.79%*","6.64% ","6.53% ","4.71%*","5.51% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","25.7% ","6.1%*","suppressed","32.9%*","25.7% ","27.3% ","12.6%*","29.0% ","4.58% ","3.59%*","suppressed","14.95%*","6.64% ","6.53% ","4.64%*","5.51% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","71.8% ","43.6% ","45.0% ","67.1% ","76.4% ","91.7% ","47.0% ","84.5% ","2.84% ","5.93% ","9.41% ","8.16% ","5.92% ","3.32% ","4.50% ","3.09% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","88.0% ","64.1% ","70.4% ","87.8% ","94.3% ","100% ","70.3% ","97.1% ","1.65% ","5.36% ","8.22% ","4.60% ","2.92% ","0% ","3.83% ","1.25% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","94.4% ","91.2% ","78.4% ","86.3% ","98.1% ","97.1% ","82.0% ","96.7% ","1.57% ","4.56% ","13.69% ","6.70% ","1.08% ","1.79% ","6.74% ","1.29% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","23.0% ","9.3% ","14.2%*","8.1% ","25.9% ","38.5% ","10.7% ","29.3% ","2.34% ","2.36% ","5.11%*","2.14% ","5.76% ","4.58% ","1.90% ","3.38% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","14.3% ","5.0%*","6.8%*","2.5%*","13.3%*","28.0% ","5.1% ","19.0% ","2.06% ","1.77%*","3.52%*","0.83%*","4.83%*","4.17% ","1.29% ","2.97% "
"II.B.3","Number of full-time employees","298,697 ","40,112 ","22,302 ","52,876 ","68,555 ","114,852 ","86,757 ","211,940 ","17,534 ","3,660 ","3,877 ","7,337 ","6,612 ","15,176 ","5,941 ","17,101 "
"II.B.3.a","Percent of number of full-time employees","298,697 ","13.4% ","7.5% ","17.7% ","23.0% ","38.5% ","29.0% ","71.0% ","17,534 ","1.33% ","1.32% ","2.31% ","2.31% ","3.50% ","2.29% ","2.29% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","86.4% ","45.1% ","58.7% ","87.3% ","98.2% ","98.6% ","56.8% ","98.4% ","1.64% ","6.79% ","9.89% ","4.83% ","1.29% ","0.98% ","4.80% ","0.72% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","95.5% ","90.7% ","88.1% ","96.0% ","97.0% ","96.0% ","90.7% ","96.6% ","0.91% ","3.60% ","6.79% ","1.88% ","1.35% ","1.42% ","2.84% ","0.88% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","72.7% ","67.2% ","64.9% ","68.2% ","74.3% ","75.3% ","64.3% ","74.6% ","1.91% ","5.76% ","7.18% ","4.68% ","3.71% ","2.83% ","4.07% ","2.08% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","69.4% ","61.0% ","57.2% ","65.5% ","72.1% ","72.3% ","58.3% ","72.1% ","1.93% ","5.57% ","6.82% ","4.82% ","3.66% ","2.88% ","3.88% ","2.08% "
"II.B.4","Number of part-time employees","105,890 ","24,174 ","14,402 ","27,544 ","15,527 ","24,242 ","50,388 ","55,503 ","10,415 ","3,146 ","3,346 ","8,123 ","3,120 ","4,497 ","4,878 ","9,518 "
"II.B.4.a","Percent of number of part-time employees","105,890 ","22.8% ","13.6% ","26.0% ","14.7% ","22.9% ","47.6% ","52.4% ","10,415 ","3.24% ","3.11% ","5.96% ","2.94% ","3.90% ","5.04% ","5.04% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","66.2% ","31.4% ","28.3%*","69.5% ","98.1% ","99.3% ","32.0% ","97.3% ","4.47% ","7.84% ","10.58%*","11.55% ","1.36% ","0.76% ","5.67% ","1.92% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","19.5% ","suppressed","0% ","7.4%*","27.0% ","32.2% ","3.4%*","24.3% ","3.60% ","suppressed","0% ","4.77%*","6.64% ","6.23% ","1.43%*","4.95% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","46.8% ","suppressed","suppressed","60.6% ","44.2% ","46.3% ","suppressed","47.7% ","5.05% ","suppressed","suppressed","10.55% ","12.41% ","5.16% ","suppressed","5.17% "
