"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","85.9% ","26.7%*","75.8% ","88.4% ","98.6% ","91.7% ","62.7% ","93.6% ","2.84% ","8.06%*","7.00% ","4.72% ","1.41% ","5.07% ","4.88% ","3.41% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","95.1% ","97.6% ","89.8% ","90.8% ","93.8% ","97.6% ","94.0% ","95.4% ","1.03% ","2.44% ","4.67% ","3.87% ","2.21% ","0.94% ","2.38% ","1.14% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.2% ","78.7% ","62.5% ","69.0% ","75.7% ","67.2% ","70.0% ","69.1% ","2.26% ","10.04% ","5.83% ","5.61% ","3.90% ","3.37% ","3.81% ","2.62% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","65.9% ","76.8% ","56.1% ","62.7% ","71.0% ","65.6% ","65.8% ","65.9% ","2.31% ","10.02% ","5.99% ","5.13% ","4.47% ","3.44% ","4.00% ","2.69% "
"II.B.4","Number of part-time employees","907,154 ","128,286 ","128,087 ","208,210*","148,552 ","294,018 ","396,159 ","510,995 ","113,919 ","23,358 ","31,766 ","85,390*","38,088 ","58,497 ","88,491 ","72,993 "
"II.B.4.a","Percent of number of part-time employees","907,154 ","14.1% ","14.1% ","23.0%*","16.4% ","32.4% ","43.7% ","56.3% ","113,919 ","2.85% ","3.62% ","7.61%*","4.03% ","5.59% ","6.56% ","6.56% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","71.9% ","20.6%*","34.6%*","79.3% ","82.3% ","100% ","46.1% ","91.8% ","5.22% ","9.37%*","11.69%*","11.51% ","14.50% ","0% ","12.58% ","4.99% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","11.9% ","suppressed","suppressed","5.2%*","6.9%*","17.8% ","5.4%*","14.4% ","2.87% ","suppressed","suppressed","3.41%*","2.58%*","5.23% ","3.49%*","3.36% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","34.8% ","suppressed","suppressed","suppressed","suppressed","31.5% ","suppressed","32.1% ","5.70% ","suppressed","suppressed","suppressed","suppressed","5.48% ","suppressed","5.01% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","4.1%*","suppressed","suppressed","1.5%*","2.5%*","5.6%*","suppressed","4.6%*","1.28%*","suppressed","suppressed","1.13%*","1.41%*","2.18%*","suppressed","1.41%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,230 ","suppressed","8,262 ","8,369 ","7,747 ","8,384 ","8,384 ","8,193 ","208.31 ","suppressed","757.74 ","526.55 ","495.24 ","271.49 ","486.34 ","230.07 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","7,428 ","suppressed","suppressed","7,043 ","6,775 ","9,131 ","6,405 ","7,957 ","304.06 ","suppressed","suppressed","387.32 ","299.64 ","594.78 ","531.28 ","333.82 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,425 ","7,596 ","8,586 ","8,821 ","8,005 ","8,527 ","8,709 ","8,378 ","232.99 ","0.00 ","872.60 ","919.01 ","613.46 ","223.64 ","704.52 ","244.84 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,125 ","suppressed","11,506 ","suppressed","7,199 ","7,048 ","10,480 ","7,137 ","839.72 ","suppressed","361.16 ","suppressed","811.91 ","1143.85 ","1035.63 ","915.61 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","7,868 ","suppressed","8,052 ","8,034 ","7,915 ","7,337 ","8,320 ","7,629 ","318.28 ","suppressed","921.23 ","570.76 ","578.48 ","564.32 ","542.28 ","397.62 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,565 ","suppressed","suppressed","9,931 ","7,383 ","8,682 ","8,791 ","8,553 ","281.50 ","suppressed","suppressed","797.64 ","898.45 ","309.30 ","869.78 ","292.20 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,970 ","suppressed","1,803 ","1,961 ","1,933 ","1,980 ","2,075 ","1,945 ","125.28 ","suppressed","339.64 ","333.97 ","323.47 ","150.28 ","286.31 ","138.53 "
