"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","84.6% ","suppressed","suppressed","90.2% ","89.8% ","82.1% ","100% ","84.0% ","6.79% ","suppressed","suppressed","9.89% ","7.95% ","9.29% ","0% ","7.01% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","67.7% ","suppressed","suppressed","suppressed","81.1% ","64.6% ","suppressed","67.9% ","6.09% ","suppressed","suppressed","suppressed","10.32% ","7.76% ","suppressed","6.27% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","73.1% ","suppressed","0% ","45.1% ","67.1% ","86.4% ","27.8%*","77.8% ","4.37% ","suppressed","0% ","10.79% ","8.54% ","4.59% ","8.86%*","4.44% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","4.2%*","12.3%*","83.4% ",,,,,,"2.30%*","4.99%*","5.27% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.8% ","suppressed","suppressed","96.4% ","100% ","100% ","87.3% ","100% ","0.52% ","suppressed","suppressed","2.68% ","0% ","0% ","5.37% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","44.6% ","suppressed","suppressed","26.4%*","19.3%*","60.0% ","24.9%*","46.6% ","6.50% ","suppressed","suppressed","9.87%*","7.57%*","8.51% ","10.06%*","6.99% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","44.3% ","suppressed","suppressed","26.4%*","19.3%*","59.6% ","24.9%*","46.3% ","6.53% ","suppressed","suppressed","9.87%*","7.57%*","8.56% ","10.06%*","7.02% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","78.0% ","45.9% ","41.7% ","69.7% ","69.8% ","94.7% ","46.0% ","87.5% ","2.97% ","6.58% ","9.32% ","6.73% ","9.17% ","2.40% ","4.89% ","3.08% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.6% ","68.3% ","80.4% ","93.4% ","95.1% ","97.2% ","77.9% ","97.0% ","1.59% ","5.65% ","7.43% ","3.08% ","3.63% ","2.10% ","3.66% ","1.62% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","98.4% ","100% ","100% ","98.7% ","98.4% ","98.3% ","99.2% ","98.3% ","0.75% ","0% ","0% ","0.97% ","1.58% ","1.10% ","0.83% ","0.83% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","17.4% ","25.0% ","11.7%*","13.0%*","21.1% ","17.0% ","17.9% ","17.3% ","2.28% ","5.55% ","5.44%*","4.07%*","5.53% ","3.65% ","3.51% ","2.75% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","10.0% ","15.1% ","8.6%*","7.7%*","9.9%*","10.2% ","11.1% ","9.7% ","1.66% ","4.19% ","5.14%*","3.75%*","3.77%*","2.59% ","3.13% ","1.92% "
"II.B.3","Number of full-time employees","2,078,661 ","148,367 ","119,080 ","329,856 ","436,804 ","1,044,554 ","414,453 ","1,664,208 ","150,130 ","16,587 ","19,402 ","47,340 ","51,009 ","135,501 ","31,944 ","150,232 "
"II.B.3.a","Percent of number of full-time employees","2,078,661 ","7.1% ","5.7% ","15.9% ","21.0% ","50.3% ","19.9% ","80.1% ","150,130 ","0.91% ","1.00% ","2.26% ","2.49% ","3.68% ","1.99% ","1.99% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","86.1% ","26.2%*","28.3%*","78.7% ","97.0% ","98.9% ","43.2% ","96.7% ","1.68% ","7.92%*","9.44%*","5.97% ","2.09% ","0.75% ","5.36% ","1.12% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","95.1% ","91.3% ","100% ","94.3% ","99.0% ","93.7% ","92.9% ","95.3% ","1.40% ","6.11% ","0% ","2.82% ","0.47% ","2.28% ","3.88% ","1.49% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","68.7% ","85.6% ","suppressed","69.5% ","64.2% ","70.3% ","67.4% ","68.8% ","2.35% ","7.62% ","suppressed","4.65% ","5.20% ","3.11% ","4.85% ","2.55% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","65.3% ","suppressed","suppressed","65.5% ","63.6% ","65.8% ","62.6% ","65.6% ","2.30% ","suppressed","suppressed","5.00% ","5.08% ","3.08% ","5.32% ","2.48% "
"II.B.4","Number of part-time employees","746,493 ","76,328 ","92,257 ","116,435 ","118,159*","343,314*","229,759 ","516,734 ","120,285 ","12,385 ","21,193 ","22,507 ","43,752*","108,287*","26,282 ","117,761 "
"II.B.4.a","Percent of number of part-time employees","746,493 ","10.2% ","12.4% ","15.6% ","15.8%*","46.0% ","30.8% ","69.2% ","120,285 ","2.23% ","3.23% ","3.61% ","5.50%*","8.51% ","5.46% ","5.46% "
