"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","58.3% ","suppressed","suppressed","19.6%*","61.3% ","73.9% ","23.1%*","65.6% ","5.13% ","suppressed","suppressed","8.33%*","8.76% ","9.19% ","9.03%*","6.09% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.9% ","100% ","suppressed","81.6% ","96.0% ","88.1% ","81.8% ","90.5% ","3.01% ","0% ","suppressed","12.16% ","2.61% ","4.38% ","11.53% ","3.13% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","82.6% ","100% ","suppressed","83.4% ","97.3% ","76.1% ","82.0% ","82.7% ","3.20% ","0% ","suppressed","13.13% ","1.56% ","4.89% ","12.04% ","3.32% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","73.2% ","suppressed","suppressed","49.5% ","65.3% ","95.5% ","43.7% ","79.7% ","4.55% ","suppressed","suppressed","9.19% ","11.73% ","1.78% ","8.07% ","5.09% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.0%*","11.3%*","88.7% ",,,,,,"0.01%*","4.80%*","4.80% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.3% ","82.5% ","84.3% ","93.9% ","100% ","100% ","87.6% ","99.5% ","1.03% ","10.14% ","9.91% ","4.22% ","0% ","0% ","4.92% ","0.54% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","41.9% ","suppressed","suppressed","23.1%*","27.1%*","64.2% ","18.5%*","47.1% ","5.41% ","suppressed","suppressed","7.20%*","8.24%*","7.67% ","5.88%*","6.25% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","41.2% ","suppressed","suppressed","19.1%*","26.2%*","63.8% ","19.7%*","46.0% ","5.43% ","suppressed","suppressed","6.69%*","8.24%*","7.70% ","6.23%*","6.28% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","79.6% ","61.9% ","62.4% ","80.9% ","74.8% ","91.1% ","65.6% ","84.8% ","3.97% ","7.15% ","10.27% ","6.00% ","11.62% ","4.41% ","5.04% ","5.11% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","93.3% ","67.4% ","80.5% ","97.5% ","98.8% ","98.1% ","80.4% ","98.1% ","1.43% ","6.78% ","8.54% ","2.18% ","1.22% ","1.71% ","4.01% ","1.11% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.1% ","100% ","84.6% ","97.2% ","99.8% ","96.4% ","95.3% ","97.4% ","1.04% ","0% ","11.88% ","2.06% ","0.18% ","1.64% ","3.21% ","1.06% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","26.6% ","23.4% ","13.3%*","26.2% ","9.9% ","41.7% ","19.9% ","29.1% ","3.89% ","5.38% ","6.61%*","6.56% ","2.89% ","8.15% ","3.45% ","5.13% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","14.2% ","9.0% ","5.8%*","12.0%*","3.6%*","25.3% ","7.7% ","16.6% ","2.56% ","2.45% ","3.43%*","5.31%*","1.78%*","6.06% ","1.81% ","3.46% "
"II.B.3","Number of full-time employees","1,048,950 ","99,979 ","73,525 ","135,222 ","272,669 ","467,556 ","244,288 ","804,663 ","86,475 ","15,120 ","16,768 ","15,922 ","33,575 ","77,605 ","22,950 ","84,445 "
"II.B.3.a","Percent of number of full-time employees","1,048,950 ","9.5% ","7.0% ","12.9% ","26.0% ","44.6% ","23.3% ","76.7% ","86,475 ","1.53% ","1.63% ","1.74% ","3.18% ","4.51% ","2.57% ","2.57% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","90.1% ","42.7% ","70.1% ","92.9% ","98.4% ","97.7% ","64.6% ","97.8% ","1.67% ","9.99% ","10.55% ","3.46% ","1.53% ","1.89% ","5.26% ","1.25% "
