"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","73.4% ","suppressed","suppressed","79.8% ","87.6% ","68.8% ","suppressed","75.6% ","4.16% ","suppressed","suppressed","13.83% ","6.08% ","5.75% ","suppressed","4.04% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","78.7% ","suppressed","97.2% ","suppressed","90.9% ","80.5% ","suppressed","83.6% ","4.49% ","suppressed","3.15% ","suppressed","5.76% ","5.88% ","suppressed","4.30% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","55.4% ","12.6%*","suppressed","30.9%*","55.3% ","87.1% ","10.9%*","74.8% ","4.61% ","7.24%*","suppressed","10.26%*","9.02% ","5.66% ","4.35%*","4.93% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.9%*","14.3% ","83.9% ",,,,,,"1.02%*","3.79% ","3.84% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.9% ","71.3% ","100% ","96.2% ","100% ","100% ","89.9% ","100% ","1.45% ","13.05% ","0% ","2.82% ","0% ","0% ","4.62% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","41.0% ","suppressed","22.6%*","20.6%*","39.1% ","63.3% ","16.7%*","51.6% ","4.16% ","suppressed","9.26%*","9.56%*","8.61% ","5.93% ","6.00%*","4.87% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","41.5% ","suppressed","28.5%*","20.6%*","39.1% ","63.3% ","18.4%*","51.6% ","4.16% ","suppressed","10.30%*","9.56%*","8.61% ","5.93% ","6.15%*","4.87% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","66.7% ","40.8% ","50.3% ","53.4% ","79.6% ","95.9% ","44.8% ","87.0% ","3.05% ","5.95% ","8.27% ","9.09% ","7.09% ","2.17% ","4.63% ","3.26% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","83.9% ","56.3% ","70.2% ","88.4% ","97.5% ","100% ","67.5% ","99.1% ","2.08% ","5.99% ","7.62% ","4.89% ","2.38% ","0% ","4.15% ","0.82% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","91.4% ","75.5% ","70.3% ","95.7% ","84.8% ","99.8% ","82.6% ","95.1% ","2.43% ","10.32% ","11.48% ","3.66% ","8.48% ","0.17% ","5.35% ","2.67% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","14.3% ","15.6% ","15.8% ","8.7%*","13.8% ","16.8% ","13.9% ","14.6% ","1.63% ","3.24% ","4.08% ","3.79%*","4.02% ","3.29% ","2.34% ","2.28% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","7.1% ","7.1% ","3.7%*","6.7%*","4.2% ","10.9% ","6.4% ","7.7% ","1.19% ","2.04% ","1.42%*","3.78%*","1.21% ","2.70% ","1.84% ","1.53% "
"II.B.3","Number of full-time employees","167,168 ","30,530 ","18,647 ","34,404 ","31,454 ","52,133 ","72,954 ","94,214 ","8,610 ","2,864 ","2,851 ","5,476 ","2,521 ","5,863 ","6,095 ","6,743 "
"II.B.3.a","Percent of number of full-time employees","167,168 ","18.3% ","11.2% ","20.6% ","18.8% ","31.2% ","43.6% ","56.4% ","8,610 ","1.73% ","1.72% ","2.83% ","1.61% ","2.72% ","2.84% ","2.84% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","76.8% ","33.7% ","61.4% ","70.0% ","96.9% ","100% ","54.4% ","94.2% ","2.44% ","6.87% ","8.83% ","8.18% ","2.90% ","0% ","5.22% ","2.36% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.0% ","84.4% ","94.3% ","95.4% ","89.7% ","97.7% ","93.2% ","94.4% ","1.52% ","6.73% ","2.39% ","1.98% ","5.37% ","0.82% ","2.24% ","1.96% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","75.3% ","71.3% ","77.5% ","68.1% ","73.0% ","80.0% ","71.2% ","77.1% ","1.91% ","9.37% ","6.90% ","4.71% ","4.01% ","2.15% ","4.18% ","1.92% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","70.8% ","60.2% ","73.1% ","65.0% ","65.6% ","78.1% ","66.3% ","72.8% ","2.15% ","8.31% ","6.74% ","4.38% ","5.81% ","2.17% ","3.94% ","2.49% "
"II.B.4","Number of part-time employees","49,881 ","16,624 ","9,341 ","8,518 ","7,232*","8,166 ","31,310 ","18,571 ","4,399 ","2,287 ","1,919 ","1,800 ","2,370*","1,754 ","3,132 ","3,199 "
"II.B.4.a","Percent of number of part-time employees","49,881 ","33.3% ","18.7% ","17.1% ","14.5% ","16.4% ","62.8% ","37.2% ","4,399 ","4.04% ","3.61% ","3.39% ","4.21% ","3.23% ","4.72% ","4.72% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","46.2% ","14.1%*","21.8%*","38.5%*","100% ","100% ","20.9% ","89.0% ","4.89% ","5.37%*","8.44%*","11.58%*","0% ","0% ","4.58% ","5.71% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","21.3% ","suppressed","suppressed","suppressed","3.8%*","32.2%*","29.4%*","18.1%*","5.79% ","suppressed","suppressed","suppressed","2.25%*","12.19%*","10.32%*","6.81%*"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","57.4% ","suppressed","suppressed","suppressed","suppressed","suppressed","63.3% ","suppressed","12.60% ","suppressed","suppressed","suppressed","suppressed","suppressed","11.11% ","suppressed"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","12.2%*","suppressed","suppressed","suppressed","2.4%*","17.5%*","18.6%*","9.7%*","4.65%*","suppressed","suppressed","suppressed","1.90%*","10.60%*","7.75%*","5.66%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,997 ","7,363 ","10,610 ","8,590 ","9,840 ","8,739 ","8,691 ","9,155 ","333.43 ","1107.29 ","1921.44 ","585.03 ","468.71 ","359.86 ","785.53 ","300.96 "
