"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","57.7% ","11.7% ","14.4% ","20.4% ","50.9% ","75.6% ","15.1% ","65.0% ","1.00% ","1.43% ","1.62% ","1.57% ","1.96% ","1.60% ","0.98% ","1.16% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","88.3% ","36.0% ","53.5% ","77.9% ","84.9% ","91.1% ","57.7% ","89.5% ","0.68% ","5.80% ","5.90% ","2.95% ","1.78% ","0.73% ","3.33% ","0.68% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","74.7% ","27.3% ","53.8% ","67.7% ","90.9% ","71.4% ","50.5% ","75.6% ","1.14% ","5.34% ","5.77% ","4.21% ","1.43% ","1.46% ","3.41% ","1.18% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","75.6% ","26.9% ","40.3% ","54.8% ","72.4% ","89.0% ","40.3% ","82.0% ","0.70% ","2.30% ","2.21% ","1.72% ","1.63% ","0.80% ","1.34% ","0.75% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","2.2% ","8.9% ","88.9% ",,,,,,"0.30% ","0.75% ","0.79% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.1% ","77.5% ","87.9% ","94.4% ","98.4% ","99.4% ","87.2% ","98.9% ","0.26% ","1.95% ","1.47% ","0.88% ","0.31% ","0.35% ","0.94% ","0.25% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","51.3% ","25.1% ","30.3% ","36.2% ","46.8% ","60.8% ","31.3% ","54.9% ","0.95% ","2.27% ","2.08% ","1.61% ","1.69% ","1.41% ","1.27% ","1.07% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","50.8% ","25.1% ","29.7% ","35.9% ","45.8% ","60.6% ","30.9% ","54.4% ","0.95% ","2.28% ","2.07% ","1.61% ","1.70% ","1.41% ","1.28% ","1.07% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","83.7% ","56.7% ","69.9% ","77.8% ","83.9% ","93.5% ","66.4% ","89.6% ","0.46% ","1.09% ","1.37% ","1.17% ","1.25% ","0.57% ","0.75% ","0.54% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","91.0% ","62.1% ","78.1% ","88.5% ","95.4% ","97.9% ","74.1% ","96.7% ","0.31% ","1.07% ","1.25% ","1.00% ","0.69% ","0.31% ","0.71% ","0.30% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","95.4% ","88.6% ","91.1% ","92.6% ","94.5% ","97.2% ","91.3% ","96.1% ","0.31% ","1.54% ","1.32% ","0.81% ","0.87% ","0.33% ","0.73% ","0.34% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","25.3% ","24.8% ","18.8% ","17.5% ","26.2% ","28.4% ","20.4% ","27.0% ","0.58% ","0.90% ","1.07% ","0.94% ","1.24% ","1.02% ","0.60% ","0.74% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","16.2% ","14.7% ","10.% ","9.5% ","15.7% ","19.8% ","11.4% ","17.9% ","0.51% ","0.70% ","0.81% ","0.73% ","1.10% ","0.91% ","0.46% ","0.66% "
"II.B.3","Number of full-time employees","109,141,411 ","9,201,849 ","8,621,582 ","14,124,945 ","23,898,639 ","53,294,396 ","25,099,697 ","84,041,714 ","1,517,874 ","174,564 ","249,708 ","337,047 ","633,489 ","1,372,908 ","346,730 ","1,496,254 "
"II.B.3.a","Percent of number of full-time employees","109,141,411 ","8.4% ","7.9% ","12.9% ","21.9% ","48.8% ","23.0% ","77.0% ","1,517,874 ","0.19% ","0.24% ","0.33% ","0.55% ","0.74% ","0.41% ","0.41% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","87.3% ","37.5% ","63.7% ","84.5% ","96.9% ","96.1% ","58.1% ","96.0% ","0.43% ","1.34% ","1.62% ","1.03% ","0.58% ","0.70% ","0.89% ","0.48% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","93.5% ","92.7% ","93.0% ","92.6% ","93.6% ","93.7% ","92.7% ","93.6% ","0.32% ","0.89% ","0.73% ","0.72% ","0.58% ","0.49% ","0.56% ","0.36% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","70.0% ","75.6% ","66.4% ","65.6% ","68.6% ","71.7% ","67.9% ","70.4% ","0.51% ","1.48% ","1.32% ","0.95% ","0.93% ","0.80% ","0.80% ","0.58% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","65.4% ","70.0% ","61.7% ","60.7% ","64.2% ","67.2% ","62.9% ","65.9% ","0.53% ","1.48% ","1.34% ","1.00% ","0.96% ","0.84% ","0.82% ","0.60% "
"II.B.4","Number of part-time employees","31,910,081 ","4,310,146 ","3,693,019 ","4,946,318 ","6,002,990 ","12,957,609 ","10,654,193 ","21,255,888 ","712,211 ","124,135 ","146,478 ","234,626 ","317,805 ","574,924 ","230,958 ","678,560 "
"II.B.4.a","Percent of number of part-time employees","31,910,081 ","13.5% ","11.6% ","15.5% ","18.8% ","40.6% ","33.4% ","66.6% ","712,211 ","0.45% ","0.49% ","0.71% ","0.90% ","1.21% ","0.87% ","0.87% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","73.5% ","16.7% ","34.7% ","64.6% ","94.6% ","97.2% ","32.2% ","94.3% ","0.79% ","1.28% ","2.10% ","2.22% ","1.12% ","0.65% ","1.26% ","0.61% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","23.4% ","30.8% ","15.7% ","14.4% ","17.0% ","28.9% ","19.0% ","24.1% ","1.00% ","3.43% ","2.10% ","1.71% ","1.95% ","1.60% ","1.55% ","1.15% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","39.4% ","48.0% ","38.8% ","31.8% ","29.0% ","42.6% ","36.5% ","39.8% ","1.64% ","5.57% ","6.30% ","3.87% ","3.36% ","2.03% ","3.25% ","1.81% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","9.2% ","14.8% ","6.1% ","4.6% ","4.9% ","12.3% ","6.9% ","9.6% ","0.55% ","2.22% ","1.10% ","0.71% ","0.50% ","0.97% ","0.71% ","0.63% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,025 ","9,390 ","8,982 ","8,640 ","9,016 ","9,098 ","9,034 ","9,024 ","54.60 ","310.92 ","218.22 ","131.44 ","116.16 ","75.16 ","137.37 ","59.57 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,103 ","8,951 ","9,152 ","8,771 ","8,719 ","9,446 ","9,151 ","9,091 ","128.87 ","651.62 ","566.57 ","311.12 ","222.06 ","193.72 ","335.35 ","138.06 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,003 ","9,482 ","9,067 ","8,648 ","9,154 ","8,984 ","9,026 ","8,999 ","59.54 ","422.05 ","225.39 ","152.86 ","127.30 ","79.58 ","153.67 ","64.57 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,993 ","9,813 ","8,357 ","8,296 ","8,980 ","9,245 ","8,844 ","9,038 ","175.75 ","600.13 ","474.06 ","261.97 ","427.52 ","229.48 ","306.83 ","209.07 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,795 ","9,336 ","9,081 ","8,688 ","8,790 ","8,623 ","9,090 ","8,667 ","74.62 ","335.06 ","243.16 ","140.78 ","148.38 ","118.59 ","153.47 ","83.15 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,213 ","9,843 ","8,382 ","8,432 ","9,258 ","9,258 ","8,701 ","9,235 ","76.36 ","815.48 ","454.43 ","333.41 ","178.91 ","88.61 ","279.67 ","78.76 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,817 ","1,737 ","2,005 ","1,949 ","1,797 ","1,779 ","1,924 ","1,796 ","26.40 ","165.72 ","115.16 ","70.71 ","65.16 ","31.19 ","70.65 ","28.42 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,716 ","2,150 ","2,447 ","2,033 ","1,690 ","1,465 ","2,179 ","1,605 ","57.01 ","381.03 ","277.88 ","137.04 ","89.12 ","75.75 ","168.39 ","55.96 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,843 ","1,663 ","1,890 ","1,931 ","1,769 ","1,860 ","1,885 ","1,837 ","28.34 ","178.41 ","134.58 ","93.34 ","67.98 ","33.74 ","79.79 ","30.34 "
