"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","64.3% ","suppressed","suppressed","22.0%*","62.4% ","79.5% ","30.7% ","69.4% ","4.11% ","suppressed","suppressed","7.83%*","7.97% ","5.89% ","8.44% ","4.57% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","88.6% ","suppressed","93.7% ","suppressed","91.2% ","91.3% ","suppressed","90.6% ","3.36% ","suppressed","7.00% ","suppressed","4.65% ","3.93% ","suppressed","3.33% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","60.3% ","0% ","suppressed","82.4% ","99.2% ","51.2% ","suppressed","60.7% ","6.75% ","0% ","suppressed","14.69% ","0.81% ","7.85% ","suppressed","7.14% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","74.0% ","suppressed","suppressed","41.3% ","71.1% ","90.0% ","26.4% ","81.9% ","3.09% ","suppressed","suppressed","7.99% ","6.93% ","2.97% ","7.15% ","3.04% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.9%*","8.5%*","89.6% ",,,,,,"0.97%*","3.20%*","3.30% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.5% ","74.2% ","96.5% ","95.7% ","100% ","100% ","89.7% ","100% ","0.56% ","10.85% ","3.44% ","3.01% ","0% ","0% ","3.87% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","36.3% ","0% ","suppressed","11.6%*","18.1%*","49.4% ","18.8%*","39.3% ","4.95% ","0% ","suppressed","5.08%*","5.44%*","7.10% ","6.80%*","5.56% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","35.6% ","0% ","suppressed","11.6%*","18.1%*","48.2% ","18.8%*","38.4% ","4.99% ","0% ","suppressed","5.08%*","5.44%*","7.18% ","6.80%*","5.60% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","74.0% ","52.1% ","44.5% ","62.4% ","75.1% ","85.3% ","52.6% ","80.5% ","3.06% ","7.18% ","9.01% ","6.66% ","6.72% ","4.44% ","5.16% ","3.56% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.9% ","72.3% ","76.3% ","87.4% ","97.4% ","98.8% ","76.5% ","97.9% ","1.28% ","5.87% ","8.16% ","4.17% ","2.29% ","0.83% ","4.27% ","0.89% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.0% ","78.0% ","84.4% ","95.4% ","95.2% ","99.6% ","89.3% ","98.1% ","0.84% ","11.27% ","8.39% ","2.59% ","3.01% ","0.37% ","3.80% ","0.78% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","20.3% ","25.4% ","8.3%*","18.6% ","16.9% ","23.1% ","15.1% ","21.8% ","1.79% ","4.51% ","3.79%*","5.09% ","3.25% ","2.85% ","2.67% ","2.20% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","10.8% ","12.0% ","1.7%*","7.9%*","3.1% ","15.7% ","6.4% ","12.2% ","1.34% ","3.14% ","0.93%*","3.57%*","0.83% ","2.33% ","1.68% ","1.67% "
"II.B.3","Number of full-time employees","3,953,801 ","247,506 ","291,329 ","616,029 ","693,175 ","2,105,762 ","822,392 ","3,131,408 ","237,313 ","26,227 ","50,293 ","74,519 ","91,545 ","220,472 ","69,259 ","232,057 "
"II.B.3.a","Percent of number of full-time employees","3,953,801 ","6.3% ","7.4% ","15.6% ","17.5% ","53.3% ","20.8% ","79.2% ","237,313 ","0.74% ","1.29% ","1.90% ","2.33% ","3.19% ","1.91% ","1.91% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","90.8% ","35.6% ","66.2% ","91.0% ","97.6% ","98.3% ","65.2% ","97.5% ","1.25% ","7.52% ","8.76% ","3.47% ","1.54% ","1.06% ","4.79% ","0.93% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","91.9% ","90.2% ","90.3% ","86.3% ","88.7% ","94.6% ","88.3% ","92.5% ","1.34% ","5.63% ","3.80% ","3.75% ","4.82% ","1.07% ","3.13% ","1.46% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.1% ","79.6% ","58.7% ","67.6% ","68.3% ","70.2% ","65.0% ","69.8% ","2.08% ","5.46% ","11.11% ","3.52% ","3.83% ","3.01% ","5.06% ","2.28% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","63.5% ","71.8% ","53.0% ","58.4% ","60.6% ","66.4% ","57.4% ","64.5% ","2.03% ","6.40% ","10.06% ","3.86% ","4.63% ","2.86% ","4.78% ","2.23% "
"II.B.4","Number of part-time employees","1,186,608 ","132,612 ","149,436 ","189,493 ","187,550 ","527,517 ","379,492 ","807,116 ","116,687 ","25,781 ","36,092 ","30,216 ","39,911 ","99,796 ","46,958 ","108,236 "
"II.B.4.a","Percent of number of part-time employees","1,186,608 ","11.2% ","12.6% ","16.0% ","15.8% ","44.5% ","32.0% ","68.0% ","116,687 ","2.24% ","2.97% ","2.69% ","3.26% ","5.28% ","4.03% ","4.03% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","68.6% ","19.2%*","18.7%*","42.9% ","81.0% ","100% ","24.2% ","89.5% ","4.30% ","8.27%*","8.26%*","9.50% ","8.06% ","0% ","5.40% ","3.24% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","31.3% ","suppressed","suppressed","14.1%*","13.8%*","39.9% ","13.6%*","33.5% ","4.31% ","suppressed","suppressed","7.22%*","4.59%*","5.52% ","7.80%*","4.65% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","37.2% ","suppressed","suppressed","89.8% ","suppressed","33.4% ","suppressed","37.3% ","5.59% ","suppressed","suppressed","7.14% ","suppressed","5.82% ","suppressed","5.73% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","11.6% ","suppressed","0% ","12.7%*","6.5%*","13.3% ","suppressed","12.5% ","2.18% ","suppressed","0% ","7.11%*","3.47%*","2.93% ","suppressed","2.43% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,804 ","8,796 ","8,621 ","7,606 ","8,865 ","9,081 ","8,379 ","8,872 ","187.14 ","1117.79 ","696.19 ","423.93 ","448.29 ","232.28 ","489.31 ","201.01 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,881 ","suppressed","suppressed","6,963 ","9,285 ","10,619 ","8,875 ","10,016 ","633.11 ","suppressed","suppressed","713.70 ","503.97 ","912.53 ","1487.07 ","690.14 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,573 ","9,099 ","suppressed","7,864 ","9,015 ","8,638 ","8,313 ","8,615 ","189.57 ","1027.00 ","suppressed","552.16 ","551.99 ","202.18 ","541.14 ","200.69 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,237 ","suppressed","suppressed","suppressed","suppressed","9,172 ","suppressed","8,283 ","495.01 ","suppressed","suppressed","suppressed","suppressed","649.96 ","suppressed","539.97 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,213 ","8,686 ","8,388 ","7,679 ","8,423 ","8,456 ","8,485 ","8,113 ","243.68 ","1276.07 ","954.80 ","487.28 ","360.24 ","281.76 ","590.24 ","259.21 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,145 ","suppressed","9,096 ","7,287 ","9,164 ","9,242 ","8,123 ","9,215 ","251.55 ","suppressed","638.05 ","722.66 ","693.50 ","278.78 ","822.43 ","258.74 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,016 ","suppressed","suppressed","1,820 ","2,025 ","2,000 ","2,206 ","1,985 ","106.46 ","suppressed","suppressed","240.70 ","193.37 ","138.81 ","317.26 ","112.43 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,248 ","suppressed","suppressed","suppressed","1,543 ","2,127 ","suppressed","2,166 ","311.00 ","suppressed","suppressed","suppressed","210.93 ","407.81 ","suppressed","324.25 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,946 ","suppressed","suppressed","1,525 ","2,175 ","1,959 ","2,011 ","1,936 ","102.37 ","suppressed","suppressed","239.93 ","229.07 ","117.27 ","347.86 ","104.88 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,087 ","suppressed","suppressed","suppressed","suppressed","2,063 ","suppressed","1,981 ","248.19 ","suppressed","suppressed","suppressed","suppressed","343.71 ","suppressed","261.46 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,158 ","suppressed","suppressed","1,869 ","2,345 ","2,285 ","2,117 ","2,173 ","231.24 ","suppressed","suppressed","291.37 ","358.73 ","544.81 ","301.45 ","296.55 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,934 ","suppressed","suppressed","suppressed","1,808 ","1,927 ","suppressed","1,901 ","102.02 ","suppressed","suppressed","suppressed","209.56 ","106.88 ","suppressed","94.53 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","22.9% ","suppressed","suppressed","23.9% ","22.8% ","22.0% ","26.3% ","22.4% ","1.25% ","suppressed","suppressed","2.96% ","2.08% ","1.63% ","3.67% ","1.31% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.7% ","suppressed","suppressed","42.7% ","16.6% ","20.0% ","suppressed","21.6% ","3.14% ","suppressed","suppressed","7.98% ","2.21% ","3.62% ","suppressed","3.22% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.7% ","suppressed","suppressed","19.4% ","24.1% ","22.7% ","24.2% ","22.5% ","1.23% ","suppressed","suppressed","2.83% ","2.46% ","1.52% ","4.33% ","1.25% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","25.3% ","suppressed","42.0% ","suppressed","suppressed","22.5% ","suppressed","23.9% ","3.18% ","suppressed","3.78% ","suppressed","suppressed","4.39% ","suppressed","3.51% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","26.3% ","suppressed","suppressed","24.3% ","27.8% ","27.0% ","25.0% ","26.8% ","2.80% ","suppressed","suppressed","3.49% ","4.19% ","6.69% ","3.36% ","3.66% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.1% ","suppressed","suppressed","suppressed","19.7% ","20.9% ","suppressed","20.6% ","1.19% ","suppressed","suppressed","suppressed","1.90% ","1.28% ","suppressed","1.10% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","56.2% ","59.3% ","62.7% ","56.6% ","52.2% ","56.7% ","59.3% ","55.8% ","1.40% ","9.43% ","7.73% ","4.95% ","1.65% ","1.80% ","5.29% ","1.41% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","4.9% ","suppressed","suppressed","16.5%*","2.8%*","1.2%*","15.3%*","3.2%*","1.46% ","suppressed","suppressed","7.59%*","1.54%*","0.76%*","5.37%*","1.45%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","63.4% ","suppressed","suppressed","18.7%*","59.6% ","79.5% ","29.1%*","68.9% ","4.40% ","suppressed","suppressed","8.33%*","8.02% ","6.51% ","9.29%*","4.96% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","57.7% ","60.4% ","58.6% ","59.0% ","56.1% ","56.6% ","60.6% ","56.7% ","2.53% ","9.31% ","8.66% ","4.62% ","2.80% ","5.17% ","4.50% ","3.05% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","55.4% ","suppressed","suppressed","suppressed","49.8% ","56.8% ","suppressed","55.4% ","1.72% ","suppressed","suppressed","suppressed","2.11% ","1.90% ","suppressed","1.58% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","24,661 ","suppressed","21,349 ","20,989 ","23,545 ","26,680 ","20,726 ","25,377 ","552.52 ","suppressed","2567.80 ","1081.40 ","1116.06 ","634.57 ","1320.74 ","559.89 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","26,129 ","suppressed","suppressed","19,613 ","22,399 ","29,316 ","suppressed","26,411 ","1528.10 ","suppressed","suppressed","1604.77 ","2530.42 ","1904.77 ","suppressed","1568.37 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","24,354 ","suppressed","suppressed","21,624 ","24,274 ","25,942 ","19,236 ","25,362 ","636.83 ","suppressed","suppressed","1452.00 ","1262.28 ","708.91 ","1288.04 ","622.12 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","24,328 ","suppressed","suppressed","suppressed","suppressed","27,400 ","suppressed","22,747 ","1745.44 ","suppressed","suppressed","suppressed","suppressed","2365.42 ","suppressed","1880.62 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","22,144 ","suppressed","21,916 ","20,642 ","21,884 ","24,470 ","20,127 ","22,873 ","859.09 ","suppressed","3045.50 ","1231.60 ","1403.82 ","1160.89 ","1621.20 ","935.40 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","26,173 ","suppressed","suppressed","21,690 ","24,362 ","27,389 ","21,822 ","26,587 ","692.63 ","suppressed","suppressed","2106.71 ","1438.14 ","690.83 ","2374.98 ","643.66 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,453 ","suppressed","suppressed","4,292 ","5,325 ","7,749 ","4,392*","6,828 ","876.32 ","suppressed","suppressed","1261.42 ","557.36 ","1379.82 ","1325.75*","979.38 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,020 ","suppressed","suppressed","suppressed","suppressed","7,550 ","suppressed","6,184 ","1259.44 ","suppressed","suppressed","suppressed","suppressed","1639.79 ","suppressed","1329.41 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,618 ","suppressed","suppressed","4,300*","5,520 ","7,879 ","4,284*","7,078 ","958.03 ","suppressed","suppressed","1559.79*","643.22 ","1471.09 ","1525.01*","1058.75 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","5,903 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","6,049 ","1210.13 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","929.38 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,726 ","suppressed","suppressed","4,309 ","6,062 ","12,737*","4,512 ","8,887 ","2105.16 ","suppressed","suppressed","1209.85 ","1535.10 ","3882.76*","1329.54 ","2646.01 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","5,688 ","suppressed","suppressed","suppressed","4,963 ","6,149 ","suppressed","5,833 ","382.12 ","suppressed","suppressed","suppressed","377.02 ","338.44 ","suppressed","266.66 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","26.2% ","suppressed","suppressed","20.4% ","22.6% ","29.0% ","21.2% ","26.9% ","3.48% ","suppressed","suppressed","5.41% ","2.28% ","5.33% ","5.77% ","3.86% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","23.0% ","suppressed","suppressed","suppressed","suppressed","25.8% ","suppressed","23.4% ","4.48% ","suppressed","suppressed","suppressed","suppressed","5.60% ","suppressed","4.67% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","27.2% ","suppressed","suppressed","19.9%*","22.7% ","30.4% ","22.3%*","27.9% ","3.82% ","suppressed","suppressed","6.41%*","2.46% ","5.79% ","7.35%*","4.19% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","24.3% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","26.6% ","4.70% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4.57% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","34.9% ","suppressed","suppressed","20.9% ","27.7% ","52.1% ","22.4% ","38.9% ","8.76% ","suppressed","suppressed","5.41% ","6.33% ","15.29% ","5.78% ","10.73% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","21.7% ","suppressed","suppressed","suppressed","20.4% ","22.5% ","suppressed","21.9% ","1.27% ","suppressed","suppressed","suppressed","1.59% ","1.21% ","suppressed","0.98% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","24.6% ","suppressed","suppressed","27.5% ","28.5% ","22.5% ","28.7% ","23.9% ","1.45% ","suppressed","suppressed","5.26% ","2.02% ","1.84% ","5.09% ","1.47% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","12.8%*","suppressed","suppressed","43.2%*","8.8%*","1.9%*","46.7% ","6.6%*","3.86%*","suppressed","suppressed","15.22%*","5.09%*","1.14%*","13.55% ","2.91%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","62.5% ","suppressed","suppressed","33.1%*","67.0% ","75.7% ","35.3%*","67.4% ","5.26% ","suppressed","suppressed","14.75%*","8.99% ","7.98% ","14.33%*","5.88% "
