"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","56.3% ","18.4%*","9.2%*","23.3%*","29.8%*","78.2% ","18.9%*","63.5% ","7.11% ","11.69%*","6.08%*","10.66%*","9.15%*","9.62% ","6.89%*","7.98% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","92.7% ","suppressed","suppressed","suppressed","61.3% ","99.1% ","suppressed","95.3% ","2.45% ","suppressed","suppressed","suppressed","13.92% ","0.55% ","suppressed","1.94% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","87.2% ","suppressed","suppressed","92.9% ","100% ","86.8% ","suppressed","88.4% ","7.53% ","suppressed","suppressed","6.00% ","0% ","8.97% ","suppressed","7.89% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","64.3% ","suppressed","39.5%*","56.6% ","67.1% ","69.8% ","41.6% ","68.8% ","6.65% ","suppressed","12.66%*","10.42% ","8.54% ","11.38% ","7.58% ","7.96% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.6%*","6.3%*","93.1% ",,,,,,"0.61%*","3.04%*","3.10% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.7% ","suppressed","94.6% ","95.0% ","100% ","100% ","86.1% ","100% ","0.80% ","suppressed","3.97% ","3.54% ","0% ","0% ","4.50% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","58.7% ","suppressed","39.1%*","54.7% ","46.6% ","68.2% ","41.1% ","62.2% ","6.29% ","suppressed","13.72%*","10.34% ","10.53% ","9.56% ","7.93% ","7.23% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","58.8% ","suppressed","42.8%*","53.8% ","46.6% ","68.2% ","42.6% ","62.0% ","6.29% ","suppressed","13.45%*","10.31% ","10.53% ","9.56% ","7.90% ","7.24% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","91.7% ","69.6% ","76.8% ","86.1% ","91.5% ","100% ","77.3% ","96.7% ","1.81% ","6.70% ","8.24% ","6.70% ","5.09% ","0.01% ","4.46% ","1.64% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","95.7% ","74.5% ","88.1% ","97.0% ","96.8% ","100% ","86.1% ","99.0% ","1.07% ","6.33% ","5.37% ","2.28% ","3.16% ","0.01% ","3.12% ","0.81% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","98.0% ","80.2% ","94.4% ","100% ","95.7% ","100% ","92.7% ","99.0% ","0.78% ","10.02% ","3.40% ","0% ","3.30% ","0.05% ","2.93% ","0.72% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","37.4% ","35.3% ","22.1% ","29.8% ","38.8% ","42.4% ","29.4% ","40.2% ","5.18% ","7.58% ","6.59% ","7.37% ","8.07% ","9.15% ","4.73% ","6.61% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","25.3% ","21.6%*","14.3%*","20.7%*","20.3% ","31.4% ","19.5% ","27.4% ","4.60% ","7.51%*","5.30%*","6.24%*","4.92% ","8.25% ","4.16% ","5.92% "
"II.B.3","Number of full-time employees","2,058,070 ","146,043 ","172,466 ","272,323 ","392,490 ","1,074,748 ","473,745 ","1,584,325 ","215,755 ","14,708 ","25,477 ","33,472 ","71,178 ","202,167 ","34,585 ","214,932 "
"II.B.3.a","Percent of number of full-time employees","2,058,070 ","7.1% ","8.4% ","13.2% ","19.1% ","52.2% ","23.0% ","77.0% ","215,755 ","1.01% ","1.47% ","2.04% ","3.43% ","5.09% ","2.79% ","2.79% "
