"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","88.9% ","suppressed","0% ","suppressed","79.2% ","96.5% ","suppressed","91.9% ","4.14% ","suppressed","0% ","suppressed","12.46% ","1.93% ","suppressed","4.19% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","77.7% ","suppressed","suppressed","suppressed","100% ","73.8% ","suppressed","79.9% ","5.25% ","suppressed","suppressed","suppressed","0% ","7.04% ","suppressed","5.31% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","76.1% ","suppressed","10.1%*","50.0% ","87.0% ","95.6% ","22.4% ","89.1% ","3.06% ","suppressed","5.75%*","8.55% ","4.68% ","1.85% ","6.07% ","2.51% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.5%*","6.8% ","91.7% ",,,,,,"0.99%*","1.70% ","1.97% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.1% ","77.8% ","81.7% ","95.4% ","98.1% ","98.9% ","84.5% ","98.8% ","1.21% ","11.37% ","8.34% ","3.68% ","1.93% ","0.78% ","5.06% ","0.70% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","72.4% ","suppressed","39.9% ","55.4% ","86.1% ","81.6% ","40.5% ","80.1% ","3.76% ","suppressed","11.78% ","8.46% ","5.57% ","5.20% ","7.00% ","3.94% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","71.2% ","suppressed","39.9% ","55.4% ","81.2% ","81.3% ","40.5% ","78.7% ","3.86% ","suppressed","11.78% ","8.46% ","6.97% ","5.21% ","7.00% ","4.10% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","95.3% ","76.6% ","92.2% ","93.4% ","99.5% ","100% ","86.2% ","99.2% ","1.07% ","5.66% ","4.03% ","3.79% ","0.51% ","0% ","2.98% ","0.70% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","91.6% ","66.5% ","71.3% ","92.5% ","100% ","98.9% ","76.0% ","98.4% ","1.40% ","6.32% ","7.57% ","3.70% ","0% ","0.88% ","3.79% ","0.88% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.5% ","94.0% ","88.6% ","94.4% ","96.6% ","99.8% ","93.7% ","98.3% ","0.86% ","4.84% ","7.41% ","3.12% ","2.54% ","0.12% ","2.82% ","0.82% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","27.2% ","23.7% ","18.4% ","16.9% ","37.9% ","29.4% ","18.1% ","31.1% ","3.41% ","4.98% ","5.26% ","4.47% ","6.74% ","6.78% ","2.82% ","4.61% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","16.0% ","13.3%*","13.2%*","10.1%*","18.9% ","18.5%*","10.6% ","18.4% ","3.30% ","4.72%*","4.75%*","3.88%*","4.82% ","7.18%*","2.52% ","4.60% "
"II.B.3","Number of full-time employees","2,328,905 ","209,148 ","186,254 ","431,340 ","499,752 ","1,002,410 ","605,219 ","1,723,686 ","172,601 ","24,643 ","30,637 ","44,932 ","77,984 ","150,235 ","46,473 ","171,038 "
"II.B.3.a","Percent of number of full-time employees","2,328,905 ","9.0% ","8.0% ","18.5% ","21.5% ","43.0% ","26.0% ","74.0% ","172,601 ","1.19% ","1.38% ","2.13% ","3.10% ","4.12% ","2.53% ","2.53% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","86.3% ","41.1% ","68.9% ","85.1% ","86.0% ","99.7% ","62.2% ","94.8% ","3.19% ","8.39% ","8.35% ","5.23% ","12.82% ","0.33% ","4.94% ","3.97% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","97.0% ","97.5% ","91.8% ","97.1% ","95.3% ","98.3% ","95.9% ","97.2% ","0.70% ","1.43% ","4.09% ","1.34% ","2.09% ","0.74% ","1.58% ","0.76% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","79.4% ","85.6% ","80.7% ","71.4% ","73.7% ","83.9% ","81.1% ","79.0% ","2.14% ","4.83% ","5.95% ","4.15% ","4.39% ","2.95% ","2.92% ","2.55% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","77.0% ","83.5% ","74.1% ","69.3% ","70.3% ","82.5% ","77.7% ","76.8% ","2.21% ","4.78% ","5.88% ","4.00% ","4.46% ","3.12% ","2.97% ","2.64% "
"II.B.4","Number of part-time employees","730,120 ","149,853 ","99,527 ","108,703 ","96,847*","275,190 ","317,721 ","412,399 ","82,694 ","23,767 ","19,889 ","22,634 ","29,921*","69,274 ","35,151 ","75,664 "
"II.B.4.a","Percent of number of part-time employees","730,120 ","20.5% ","13.6% ","14.9% ","13.3% ","37.7% ","43.5% ","56.5% ","82,694 ","3.48% ","2.87% ","3.14% ","3.86% ","6.42% ","5.32% ","5.32% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","68.2% ","19.3%*","30.7%*","81.2% ","88.5% ","96.2% ","35.1% ","93.7% ","4.70% ","7.96%*","10.14%*","10.13% ","7.47% ","3.83% ","6.35% ","3.28% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","35.1% ","suppressed","suppressed","9.3%*","17.1%*","53.0% ","16.7% ","40.4% ","7.16% ","suppressed","suppressed","3.39%*","6.48%*","10.01% ","4.73% ","8.54% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","70.2% ","92.1% ","suppressed","suppressed","suppressed","73.1% ","suppressed","71.3% ","9.35% ","8.55% ","suppressed","suppressed","suppressed","10.69% ","suppressed","10.10% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","24.6%*","suppressed","suppressed","3.2%*","9.7%*","38.7% ","10.2%*","28.8%*","7.49%*","suppressed","suppressed","1.53%*","4.64%*","11.21% ","4.04%*","9.05%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,712 ","9,626 ","8,273 ","8,720 ","8,170 ","8,917 ","9,146 ","8,592 ","193.16 ","1154.89 ","940.98 ","656.38 ","318.85 ","156.28 ","586.43 ","181.93 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,297 ","suppressed","suppressed","8,628 ","7,989 ","8,809 ","8,808 ","8,061 ","575.88 ","suppressed","suppressed","1580.22 ","752.22 ","268.23 ","1454.20 ","490.64 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,772 ","suppressed","10,028 ","8,663 ","8,173 ","8,912 ","9,388 ","8,652 ","191.79 ","suppressed","1171.13 ","644.35 ","343.05 ","186.87 ","589.03 ","194.67 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","9,272 ","suppressed","suppressed","9,370 ","suppressed","9,376 ","suppressed","9,570 ","637.11 ","suppressed","suppressed","806.86 ","suppressed","473.20 ","suppressed","483.76 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,726 ","9,501 ","8,317 ","8,938 ","7,748 ","8,861 ","9,363 ","8,354 ","321.37 ","1216.85 ","1025.15 ","676.23 ","443.98 ","271.87 ","600.50 ","355.07 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,698 ","suppressed","suppressed","suppressed","8,381 ","8,940 ","suppressed","8,749 ","223.42 ","suppressed","suppressed","suppressed","447.89 ","188.21 ","suppressed","202.16 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,381 ","suppressed","1,661*","1,132 ","1,250 ","1,607 ","1,088 ","1,462 ","125.94 ","suppressed","588.90*","202.41 ","112.40 ","229.19 ","252.15 ","144.86 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,418 ","suppressed","suppressed","1,062 ","suppressed","1,203 ","1,879 ","1,206 ","216.41 ","suppressed","suppressed","176.29 ","suppressed","234.70 ","517.22 ","158.75 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,354 ","suppressed","suppressed","1,166 ","1,245 ","1,638 ","651*","1,491 ","149.75 ","suppressed","suppressed","331.03 ","116.35 ","263.16 ","224.61*","168.96 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,547 ","suppressed","suppressed","suppressed","suppressed","2,549 ","suppressed","1,938 ","381.76 ","suppressed","suppressed","suppressed","suppressed","183.33 ","suppressed","355.07 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,117 ","suppressed","suppressed","1,103 ","1,026 ","1,217 ","1,030 ","1,167 ","135.44 ","suppressed","suppressed","231.06 ","196.83 ","190.91 ","292.67 ","130.79 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,638 ","suppressed","suppressed","1,305 ","1,362 ","1,771 ","suppressed","1,657 ","200.59 ","suppressed","suppressed","261.05 ","144.94 ","289.54 ","suppressed","213.70 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","15.9% ","suppressed","20.1%*","13.0% ","15.3% ","18.0% ","11.9% ","17.0% ","1.52% ","suppressed","8.82%*","2.42% ","1.39% ","2.63% ","3.12% ","1.72% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.1% ","suppressed","suppressed","suppressed","suppressed","13.7% ","21.3%*","15.0% ","3.16% ","suppressed","suppressed","suppressed","suppressed","2.89% ","7.99%*","2.41% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","15.4% ","1.9%*","3.8%*","13.5% ","15.2% ","18.4% ","6.9%*","17.2% ","1.76% ","2.00%*","2.15%*","3.90% ","1.43% ","3.05% ","2.58%*","1.98% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","16.7% ","suppressed","suppressed","suppressed","suppressed","27.2% ","suppressed","20.3% ","4.61% ","suppressed","suppressed","suppressed","suppressed","2.92% ","suppressed","4.28% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","12.8% ","suppressed","suppressed","12.3% ","13.2% ","13.7% ","11.0%*","14.0% ","1.70% ","suppressed","suppressed","2.64% ","2.33% ","2.17% ","3.51%*","1.57% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.8% ","suppressed","suppressed","suppressed","16.2% ","19.8% ","suppressed","18.9% ","2.37% ","suppressed","suppressed","suppressed","1.76% ","3.38% ","suppressed","2.50% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","59.3% ","61.5% ","67.3% ","80.3% ","66.6% ","50.0% ","70.6% ","56.8% ","3.60% ","11.13% ","5.49% ","3.26% ","4.46% ","5.14% ","4.29% ","4.13% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","21.4% ","80.1% ","46.3%*","32.2% ","19.7%*","7.8%*","50.0% ","13.5% ","3.55% ","10.44% ","14.12%*","8.48% ","6.93%*","4.82%*","8.34% ","3.52% "
