"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","87.5% ","suppressed","0% ","87.1% ","97.2% ","84.8% ","suppressed","88.7% ","5.89% ","suppressed","0% ","9.25% ","1.49% ","9.12% ","suppressed","6.13% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","81.3% ","suppressed","suppressed","81.4% ","89.9% ","77.5% ","suppressed","82.1% ","5.89% ","suppressed","suppressed","11.16% ","9.72% ","8.27% ","suppressed","6.11% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","70.2% ","suppressed","53.7% ","59.7% ","64.7% ","88.5% ","42.3% ","78.1% ","4.43% ","suppressed","11.58% ","9.15% ","8.26% ","5.56% ","7.72% ","4.76% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","4.2%*","9.5%*","86.3% ",,,,,,"1.78%*","3.83%*","4.09% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","94.1% ","suppressed","86.2% ","99.2% ","91.9% ","100% ","83.5% ","97.1% ","2.10% ","suppressed","7.69% ","0.83% ","4.63% ","0% ","6.87% ","1.63% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","41.3% ","suppressed","34.7%*","32.7% ","36.2% ","52.8% ","28.7% ","44.9% ","5.56% ","suppressed","12.72%*","8.18% ","9.44% ","11.54% ","7.49% ","6.97% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","37.9% ","suppressed","34.7%*","30.2% ","36.2% ","45.8% ","29.9% ","40.2% ","5.43% ","suppressed","12.72%*","7.76% ","9.44% ","10.94% ","7.48% ","6.73% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","78.8% ","60.4% ","65.8% ","74.4% ","91.6% ","82.2% ","66.4% ","84.1% ","4.33% ","8.08% ","8.14% ","6.44% ","4.20% ","9.91% ","4.77% ","5.92% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","88.5% ","80.1% ","80.6% ","93.4% ","99.1% ","85.1% ","85.4% ","89.9% ","4.08% ","5.29% ","6.99% ","3.26% ","0.78% ","9.71% ","3.46% ","5.67% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","94.8% ","suppressed","98.4% ","96.3% ","98.3% ","99.4% ","77.8% ","98.9% ","2.91% ","suppressed","1.10% ","2.05% ","1.70% ","0.35% ","12.37% ","0.60% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","21.5% ","13.4% ","12.7%*","14.7% ","28.9% ","25.0% ","14.9% ","24.2% ","2.94% ","3.89% ","4.19%*","4.16% ","5.91% ","6.47% ","3.04% ","4.09% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","11.0% ","8.9%*","4.7%*","9.6%*","10.3%*","14.3%*","8.6% ","11.9% ","1.96% ","3.20%*","2.16%*","3.62%*","3.17%*","4.48%*","2.30% ","2.66% "
"II.B.3","Number of full-time employees","497,605 ","41,182 ","47,232 ","84,386 ","104,109 ","220,697 ","126,383 ","371,222 ","46,467 ","8,164 ","7,286 ","10,338 ","11,411 ","43,382 ","11,650 ","45,716 "
"II.B.3.a","Percent of number of full-time employees","497,605 ","8.3% ","9.5% ","17.0% ","20.9% ","44.4% ","25.4% ","74.6% ","46,467 ","1.70% ","1.65% ","2.39% ","2.67% ","5.09% ","3.00% ","3.00% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","80.6% ","53.6% ","69.3% ","84.6% ","95.6% ","79.3% ","68.6% ","84.6% ","4.88% ","10.81% ","8.82% ","4.67% ","3.18% ","10.40% ","5.05% ","6.41% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","89.1% ","97.9% ","92.8% ","93.9% ","91.2% ","84.1% ","95.0% ","87.4% ","4.32% ","1.70% ","3.24% ","2.28% ","4.89% ","8.66% ","1.94% ","5.35% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","67.9% ","71.3% ","50.4% ","61.4% ","67.4% ","74.3% ","57.4% ","71.1% ","2.22% ","12.07% ","7.38% ","4.92% ","4.74% ","2.57% ","5.82% ","2.23% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","60.5% ","69.8% ","46.8% ","57.6% ","61.5% ","62.5% ","54.5% ","62.1% ","3.30% ","12.14% ","6.82% ","4.82% ","5.52% ","6.39% ","5.80% ","3.99% "
"II.B.4","Number of part-time employees","150,620 ","17,711 ","33,355 ","29,947 ","33,526 ","36,080 ","67,805 ","82,815 ","15,507 ","3,159 ","8,113 ","6,526 ","9,188 ","7,842 ","9,708 ","12,395 "
"II.B.4.a","Percent of number of part-time employees","150,620 ","11.8% ","22.1% ","19.9% ","22.3% ","24.0% ","45.0% ","55.0% ","15,507 ","2.24% ","4.82% ","4.14% ","5.13% ","4.51% ","5.20% ","5.20% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","63.6% ","10.5%*","52.1% ","34.6% ","92.5% ","97.7% ","34.4% ","87.6% ","5.11% ","5.30%*","12.84% ","9.92% ","5.20% ","1.86% ","8.45% ","4.14% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","20.3% ","suppressed","0.7%*","12.8%*","3.9%*","45.4% ","8.9%*","23.9% ","5.04% ","suppressed","0.76%*","5.93%*","2.02%*","9.77% ","4.73%*","6.31% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","32.6% ","suppressed","suppressed","suppressed","suppressed","30.0% ","suppressed","29.9% ","5.16% ","suppressed","suppressed","suppressed","suppressed","5.48% ","suppressed","5.10% "
