"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","58.0% ","7.1%*","19.2%*","16.3%*","37.2%*","87.6% ","18.6% ","65.5% ","4.86% ","5.15%*","10.41%*","5.98%*","12.57%*","4.83% ","4.85% ","5.71% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","93.6% ","suppressed","98.1% ","suppressed","91.0% ","95.6% ","73.0% ","94.7% ","2.20% ","suppressed","1.74% ","suppressed","6.32% ","2.27% ","13.20% ","2.19% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","76.0% ","suppressed","suppressed","suppressed","95.5% ","71.5% ","72.6% ","76.2% ","5.33% ","suppressed","suppressed","suppressed","4.23% ","6.74% ","11.61% ","5.58% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","70.4% ","23.5%*","suppressed","55.4% ","58.4% ","89.8% ","34.9% ","78.1% ","3.76% ","9.51%*","suppressed","9.11% ","7.16% ","5.00% ","6.57% ","4.19% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.4%*","1.9%*","96.7% ",,,,,,"0.93%*","0.74%*","1.16% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","95.8% ","76.8% ","76.1% ","86.6% ","100% ","100% ","79.1% ","99.5% ","1.12% ","9.14% ","10.51% ","6.29% ","0% ","0% ","5.41% ","0.54% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","57.1% ","22.5%*","suppressed","59.0% ","66.0% ","58.8% ","36.1% ","61.6% ","5.08% ","9.08%*","suppressed","9.06% ","9.62% ","8.20% ","6.52% ","6.04% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","54.8% ","26.4%*","suppressed","59.0% ","58.0% ","58.8% ","35.5% ","58.9% ","5.10% ","9.51%*","suppressed","9.06% ","9.84% ","8.20% ","6.54% ","6.05% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","89.2% ","48.6% ","74.0% ","87.3% ","96.0% ","100% ","64.5% ","98.7% ","1.47% ","6.72% ","8.30% ","4.80% ","2.09% ","0% ","4.47% ","0.68% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","91.8% ","65.7% ","83.4% ","82.3% ","97.9% ","100% ","72.3% ","99.3% ","1.32% ","6.33% ","7.15% ","5.99% ","1.50% ","0% ","4.25% ","0.50% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.9% ","96.9% ","97.4% ","90.1% ","98.0% ","97.7% ","96.4% ","97.0% ","0.98% ","3.16% ","2.62% ","5.63% ","1.20% ","1.30% ","1.76% ","1.11% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","27.8% ","21.7% ","25.0%*","23.5% ","34.5% ","27.5% ","22.2% ","29.9% ","3.07% ","4.72% ","7.89%*","5.77% ","7.76% ","5.01% ","3.55% ","4.04% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","20.9% ","12.0% ","17.0%*","15.2%*","26.7%*","22.5% ","14.2% ","23.5% ","3.02% ","3.28% ","6.78%*","4.98%*","8.06%*","4.92% ","2.99% ","4.03% "
"II.B.3","Number of full-time employees","1,165,973 ","120,683 ","87,496 ","132,664 ","297,371 ","527,758 ","287,711 ","878,262 ","63,017 ","13,343 ","13,951 ","19,469 ","34,225 ","50,937 ","20,109 ","60,800 "
"II.B.3.a","Percent of number of full-time employees","1,165,973 ","10.4% ","7.5% ","11.4% ","25.5% ","45.3% ","24.7% ","75.3% ","63,017 ","1.19% ","1.22% ","1.67% ","2.60% ","2.91% ","1.88% ","1.88% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","90.7% ","53.4% ","71.0% ","85.9% ","97.2% ","100% ","65.3% ","99.0% ","1.45% ","7.58% ","9.32% ","6.24% ","1.86% ","0% ","5.05% ","0.63% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.4% ","86.2% ","89.7% ","95.6% ","94.5% ","95.7% ","90.9% ","95.2% ","1.28% ","4.86% ","6.04% ","2.29% ","2.57% ","1.85% ","2.83% ","1.43% "
