"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","88.0% ","suppressed","suppressed","suppressed","90.4% ","94.8% ","68.5% ","89.9% ","3.47% ","suppressed","suppressed","suppressed","3.92% ","2.57% ","11.13% ","3.67% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","81.0% ","suppressed","suppressed","suppressed","99.9% ","79.3% ","50.3%*","84.0% ","5.64% ","suppressed","suppressed","suppressed","0.14% ","8.10% ","15.40%*","5.95% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","75.8% ","suppressed","59.7% ","58.0% ","76.1% ","88.5% ","43.3% ","83.1% ","3.70% ","suppressed","12.24% ","10.73% ","7.09% ","4.24% ","8.71% ","3.64% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.7%*","4.9% ","93.4% ",,,,,,"0.91%*","1.46% ","1.72% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.3% ","suppressed","79.9% ","100% ","97.8% ","100% ","82.6% ","99.4% ","1.70% ","suppressed","9.90% ","0% ","2.20% ","0% ","7.97% ","0.61% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","25.2% ","suppressed","17.4%*","17.0%*","13.5%*","35.0% ","18.6%*","26.6% ","4.31% ","suppressed","7.97%*","7.10%*","5.39%*","7.70% ","6.06%*","5.09% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","25.4% ","suppressed","17.4%*","17.0%*","13.5%*","35.0% ","19.9%*","26.6% ","4.31% ","suppressed","7.97%*","7.10%*","5.39%*","7.70% ","6.17%*","5.09% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","80.7% ","46.0% ","61.2% ","77.4% ","82.2% ","95.3% ","55.2% ","91.3% ","2.58% ","7.96% ","9.07% ","7.46% ","7.47% ","2.36% ","5.28% ","2.75% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","87.6% ","52.4% ","88.3% ","87.4% ","86.3% ","98.3% ","70.2% ","94.9% ","2.39% ","7.58% ","4.90% ","6.07% ","8.68% ","1.73% ","4.46% ","2.87% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","95.2% ","100% ","99.0% ","91.6% ","94.8% ","95.4% ","94.8% ","95.3% ","2.02% ","0% ","1.07% ","5.01% ","2.71% ","3.42% ","3.27% ","2.34% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","19.9% ","17.4% ","15.8%*","5.6%*","23.5% ","25.1% ","13.5% ","22.6% ","2.28% ","4.13% ","5.85%*","2.15%*","5.18% ","4.01% ","2.64% ","2.98% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","12.7% ","10.5%*","4.6%*","1.6%*","13.6%*","18.7% ","6.1% ","15.4% ","2.11% ","3.24%*","2.29%*","0.74%*","4.11%*","4.06% ","1.54% ","2.85% "
"II.B.3","Number of full-time employees","721,483 ","77,971 ","56,302 ","99,017 ","153,028 ","335,165 ","183,240 ","538,243 ","49,325 ","13,476 ","12,108 ","17,509 ","15,584 ","41,680 ","19,225 ","46,572 "
"II.B.3.a","Percent of number of full-time employees","721,483 ","10.8% ","7.8% ","13.7% ","21.2% ","46.5% ","25.4% ","74.6% ","49,325 ","1.84% ","1.67% ","2.30% ","2.27% ","3.64% ","2.65% ","2.65% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","87.8% ","40.1% ","79.9% ","86.4% ","94.0% ","97.7% ","61.5% ","96.7% ","2.05% ","11.25% ","6.80% ","5.41% ","5.74% ","2.09% ","5.64% ","2.11% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","93.1% ","91.5% ","97.2% ","96.2% ","89.0% ","93.7% ","96.2% ","92.4% ","1.79% ","4.28% ","1.62% ","1.23% ","6.04% ","1.98% ","1.43% ","2.15% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","65.5% ","suppressed","62.3% ","60.7% ","67.4% ","66.5% ","61.7% ","66.3% ","2.63% ","suppressed","5.72% ","3.23% ","4.09% ","4.40% ","4.91% ","3.04% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","61.0% ","suppressed","60.6% ","58.4% ","59.9% ","62.3% ","59.4% ","61.3% ","2.52% ","suppressed","5.81% ","3.09% ","4.87% ","4.04% ","4.80% ","2.89% "
"II.B.4","Number of part-time employees","234,472 ","38,122 ","33,145 ","49,384 ","43,053 ","70,768 ","97,976 ","136,496 ","22,012 ","6,116 ","6,312 ","9,100 ","11,279 ","14,967 ","10,730 ","20,000 "
"II.B.4.a","Percent of number of part-time employees","234,472 ","16.3% ","14.1% ","21.1% ","18.4% ","30.2% ","41.8% ","58.2% ","22,012 ","2.68% ","2.74% ","3.63% ","4.21% ","4.94% ","4.60% ","4.60% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","68.3% ","1.6%*","52.1% ","67.4% ","89.6% ","99.7% ","32.7% ","93.9% ","4.14% ","1.14%*","11.20% ","9.75% ","7.46% ","0.35% ","6.55% ","2.79% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","21.7% ","suppressed","suppressed","16.8%*","10.8%*","34.3% ","17.6%*","22.7% ","4.30% ","suppressed","suppressed","11.18%*","4.34%*","7.68% ","11.33%*","4.62% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","28.8% ","suppressed","suppressed","suppressed","57.5% ","28.4% ","suppressed","33.4% ","5.94% ","suppressed","suppressed","suppressed","9.14% ","6.08% ","suppressed","6.19% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","6.2% ","suppressed","1.7%*","1.4%*","6.2%*","9.7% ","0.9%*","7.6% ","1.27% ","suppressed","1.24%*","1.35%*","3.20%*","2.21% ","0.66%*","1.59% "
