"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","49.9% ","suppressed","12.3%*","17.5%*","35.0% ","79.6% ","5.9%*","60.5% ","4.84% ","suppressed","7.51%*","10.55%*","8.01% ","6.09% ","3.08%*","5.45% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","88.6% ","suppressed","suppressed","100% ","82.5% ","91.3% ","suppressed","90.1% ","3.26% ","suppressed","suppressed","0% ","8.10% ","3.43% ","suppressed","3.08% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","74.1% ","suppressed","0% ","100% ","93.1% ","69.8% ","suppressed","75.7% ","5.92% ","suppressed","0% ","0% ","5.76% ","7.80% ","suppressed","5.89% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","68.0% ","18.1%*","49.1% ","63.3% ","62.8% ","81.0% ","43.0% ","74.1% ","4.61% ","9.82%*","13.46% ","9.09% ","8.47% ","6.65% ","6.82% ","5.21% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","3.3%*","5.3%*","91.4% ",,,,,,"1.31%*","1.62%*","2.03% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","95.8% ","64.9% ","86.3% ","97.8% ","99.5% ","98.2% ","84.4% ","98.6% ","1.26% ","10.53% ","7.20% ","1.58% ","0.45% ","1.85% ","4.27% ","1.10% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","72.2% ","24.2%*","52.6% ","65.8% ","77.8% ","79.3% ","43.7% ","79.1% ","4.23% ","9.33%*","13.17% ","8.60% ","6.90% ","6.67% ","7.11% ","4.61% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","68.9% ","24.2%*","52.6% ","61.2% ","70.3% ","78.0% ","40.6% ","75.8% ","4.46% ","9.33%*","13.17% ","8.86% ","7.54% ","6.80% ","7.13% ","4.89% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","91.1% ","57.0% ","92.5% ","97.4% ","98.8% ","95.4% ","78.0% ","96.9% ","1.55% ","5.81% ","3.83% ","1.88% ","1.21% ","2.69% ","3.04% ","1.64% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","87.2% ","57.4% ","82.0% ","94.7% ","98.3% ","89.4% ","73.7% ","93.1% ","2.51% ","5.81% ","6.45% ","2.62% ","1.01% ","5.38% ","3.52% ","3.22% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.0% ","96.6% ","84.0% ","93.2% ","98.5% ","99.4% ","91.2% ","98.4% ","1.02% ","2.52% ","9.82% ","3.91% ","0.87% ","0.43% ","4.19% ","0.72% "
