"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","59.2% ","suppressed","19.5%*","9.2%*","65.7% ","87.1% ","11.1%*","70.3% ","4.99% ","suppressed","10.07%*","5.20%*","10.21% ","5.33% ","3.95%*","5.60% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","86.7% ","suppressed","suppressed","suppressed","67.9% ","95.6% ","suppressed","87.6% ","6.84% ","suppressed","suppressed","suppressed","19.15% ","1.51% ","suppressed","7.09% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","49.6% ","suppressed","suppressed","suppressed","60.2%*","45.0% ","suppressed","50.3% ","8.72% ","suppressed","suppressed","suppressed","18.06%*","10.67% ","suppressed","9.07% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","76.8% ","27.4%*","39.9%*","70.6% ","72.2% ","94.5% ","40.7% ","85.1% ","3.82% ","12.09%*","12.39%*","8.59% ","10.78% ","2.13% ","7.24% ","4.07% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.5%*","2.0%*","96.5% ",,,,,,"0.70%*","0.71%*","1.01% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","95.0% ","70.8% ","92.7% ","98.0% ","91.3% ","99.5% ","89.1% ","96.4% ","1.50% ","11.15% ","5.29% ","2.01% ","4.47% ","0.51% ","3.91% ","1.59% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","32.0% ","17.2%*","18.1%*","18.7%*","25.0%*","45.9% ","17.7%*","35.2% ","5.08% ","11.03%*","9.43%*","8.55%*","11.08%*","8.43% ","5.57%*","6.13% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","30.7% ","5.2%*","18.1%*","18.7%*","23.1%*","45.6% ","14.5%*","34.5% ","5.05% ","3.75%*","9.43%*","8.55%*","11.02%*","8.43% ","4.84%*","6.11% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","71.0% ","57.0% ","63.6% ","62.8% ","46.0% ","97.0% ","59.3% ","75.6% ","4.23% ","6.89% ","9.65% ","10.03% ","11.79% ","1.52% ","4.95% ","5.64% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","85.0% ","62.6% ","82.6% ","81.2% ","76.6% ","99.5% ","75.0% ","89.0% ","3.82% ","6.73% ","6.74% ","10.05% ","12.03% ","0.50% ","4.05% ","5.23% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","93.8% ","84.4% ","83.4% ","94.9% ","93.5% ","96.2% ","89.9% ","94.7% ","1.96% ","9.52% ","8.41% ","4.50% ","4.46% ","2.41% ","4.13% ","2.20% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","16.2% ","11.9% ","15.1%*","14.8% ","18.8%*","16.7% ","15.9% ","16.3% ","2.04% ","3.12% ","5.48%*","3.76% ","6.45%*","2.51% ","2.81% ","2.62% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","7.8% ","4.3%*","6.5%*","3.7%*","8.2%*","10.8% ","5.5% ","8.7% ","1.37% ","1.53%*","3.08%*","1.78%*","4.30%*","1.88% ","1.56% ","1.80% "
"II.B.3","Number of full-time employees","1,284,157 ","138,800 ","116,275 ","238,457 ","293,157 ","497,468 ","365,163 ","918,994 ","82,346 ","13,957 ","21,212 ","35,556 ","46,542 ","58,405 ","25,762 ","81,558 "
"II.B.3.a","Percent of number of full-time employees","1,284,157 ","10.8% ","9.1% ","18.6% ","22.8% ","38.7% ","28.4% ","71.6% ","82,346 ","1.22% ","1.67% ","2.61% ","3.11% ","3.31% ","2.45% ","2.45% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","87.5% ","41.9% ","70.3% ","82.5% ","100% ","99.4% ","59.1% ","98.8% ","1.65% ","7.56% ","8.68% ","5.67% ","0% ","0.61% ","4.95% ","0.67% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","93.2% ","90.0% ","81.3% ","94.6% ","97.1% ","92.6% ","87.4% ","94.5% ","1.41% ","5.01% ","9.76% ","2.21% ","1.29% ","2.22% ","4.38% ","1.32% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.3% ","83.3% ","65.1% ","69.5% ","64.7% ","71.0% ","73.7% ","68.3% ","2.88% ","6.02% ","6.74% ","4.75% ","6.82% ","4.25% ","3.65% ","3.43% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","64.6% ","75.0% ","52.9% ","65.7% ","62.9% ","65.8% ","64.4% ","64.6% ","2.99% ","6.29% ","8.47% ","4.77% ","6.53% ","4.87% ","4.68% ","3.53% "
"II.B.4","Number of part-time employees","333,318 ","36,945 ","39,903 ","48,839*","99,671*","107,960 ","94,859 ","238,459 ","47,639 ","7,631 ","9,089 ","22,558*","32,659*","24,150 ","12,845 ","46,279 "
"II.B.4.a","Percent of number of part-time employees","333,318 ","11.1% ","12.0% ","14.7%*","29.9% ","32.4% ","28.5% ","71.5% ","47,639 ","2.58% ","2.96% ","6.09%*","7.56% ","6.32% ","4.89% ","4.89% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","80.6% ","32.3%*","62.6% ","78.9% ","89.4% ","96.3% ","47.0% ","93.9% ","4.67% ","11.46%*","11.97% ","13.23% ","10.28% ","3.63% ","7.88% ","4.63% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","36.8% ","suppressed","2.1%*","63.6%*","39.2%*","33.1%*","13.3%*","41.5% ","9.57% ","suppressed","2.14%*","23.13%*","19.27%*","11.15%*","5.30%*","10.92% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","20.8%*","suppressed","suppressed","0.2%*","suppressed","36.9%*","suppressed","20.1%*","8.38%*","suppressed","suppressed","0.26%*","suppressed","13.75%*","suppressed","8.67%*"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","7.7%*","suppressed","0% ","0.1%*","6.8%*","12.2%*","suppressed","8.4%*","2.57%*","suppressed","0% ","0.14%*","2.85%*","5.75%*","suppressed","3.04%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,806 ","10,650 ","9,002 ","9,003 ","8,472 ","8,596 ","9,429 ","8,624 ","250.92 ","711.76 ","1341.97 ","741.57 ","535.64 ","252.81 ","582.05 ","279.64 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,922 ","11,978 ","8,669 ","suppressed","8,502 ","9,013 ","9,007 ","8,894 ","486.32 ","1063.69 ","829.08 ","suppressed","742.96 ","501.56 ","1468.17 ","423.75 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,790 ","10,808 ","9,694 ","9,185 ","8,263 ","8,480 ","9,922 ","8,515 ","312.58 ","886.24 ","1925.06 ","856.65 ","604.20 ","293.07 ","769.49 ","333.82 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,765 ","suppressed","suppressed","suppressed","9,447 ","8,606 ","8,284 ","9,048 ","512.78 ","suppressed","suppressed","suppressed","742.06 ","517.77 ","741.58 ","588.05 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,923 ","10,755 ","9,395 ","9,417 ","7,844 ","7,093 ","9,591 ","8,423 ","440.60 ","730.09 ","1612.49 ","658.81 ","826.95 ","912.26 ","641.78 ","599.24 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,704 ","suppressed","suppressed","suppressed","8,931 ","8,852 ","8,193 ","8,730 ","248.77 ","suppressed","suppressed","suppressed","548.00 ","164.99 ","769.06 ","257.43 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,259 ","suppressed","2,216 ","2,954 ","2,046 ","1,879 ","2,727 ","2,123 ","163.42 ","suppressed","534.36 ","438.70 ","263.19 ","178.60 ","390.67 ","175.25 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,956 ","suppressed","suppressed","suppressed","2,844 ","suppressed","suppressed","1,577 ","329.79 ","suppressed","suppressed","suppressed","217.43 ","suppressed","suppressed","307.03 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,375 ","suppressed","suppressed","2,929 ","2,128 ","2,056 ","2,695 ","2,297 ","202.07 ","suppressed","suppressed","548.94 ","287.03 ","220.97 ","570.81 ","207.47 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,953 ","suppressed","suppressed","3,316 ","suppressed","suppressed","suppressed","1,598 ","452.58 ","suppressed","suppressed","89.32 ","suppressed","suppressed","suppressed","449.35 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,807 ","suppressed","1,744 ","3,140 ","2,590 ","2,489 ","2,656 ","2,919 ","250.28 ","suppressed","513.96 ","418.23 ","268.53 ","511.44 ","423.27 ","293.08 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,778 ","suppressed","4,070 ","suppressed","1,648 ","1,775 ","suppressed","1,701 ","167.63 ","suppressed","180.07 ","suppressed","381.27 ","168.21 ","suppressed","165.81 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","25.7% ","suppressed","24.6%*","32.8% ","24.2% ","21.9% ","28.9% ","24.6% ","1.95% ","suppressed","8.72%*","3.81% ","3.73% ","2.46% ","4.41% ","2.13% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","21.9% ","31.0% ","suppressed","suppressed","33.5% ","suppressed","suppressed","17.7% ","4.01% ","2.27% ","suppressed","suppressed","4.78% ","suppressed","suppressed","3.83% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","27.0% ","suppressed","suppressed","31.9% ","25.8% ","24.2% ","27.2% ","27.0% ","2.31% ","suppressed","suppressed","4.61% ","3.65% ","3.18% ","6.11% ","2.39% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.3% ","1.1%*","suppressed","suppressed","suppressed","24.7% ","suppressed","17.7%*","5.94% ","1.18%*","suppressed","suppressed","suppressed","4.72% ","suppressed","5.69%*"
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","31.5% ","suppressed","18.6%*","33.3% ","33.0% ","35.1% ","27.7% ","34.7% ","2.89% ","suppressed","7.84%*","3.89% ","3.62% ","10.51% ","4.71% ","3.28% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","20.4% ","suppressed","54.6% ","suppressed","18.4% ","20.1% ","suppressed","19.5% ","2.04% ","suppressed","4.01% ","suppressed","4.61% ","2.01% ","suppressed","2.00% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","56.3% ","60.9% ","71.7% ","63.0% ","59.8% ","49.1% ","67.6% ","53.7% ","2.13% ","9.84% ","3.67% ","4.94% ","5.14% ","2.39% ","3.98% ","2.28% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","9.2% ","suppressed","28.8%*","12.8%*","5.9%*","1.1%*","26.6% ","4.1%*","2.32% ","suppressed","13.89%*","6.75%*","4.14%*","0.78%*","6.91% ","2.02%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","53.2% ","suppressed","20.3%*","10.2%*","57.7% ","85.4% ","11.6%*","65.4% ","4.93% ","suppressed","11.27%*","6.03%*","10.46% ","5.48% ","4.57%*","5.81% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","64.5% ","60.7% ","70.9% ","62.3% ","73.8% ","55.4% ","67.2% ","62.6% ","2.99% ","10.26% ","3.36% ","5.33% ","4.63% ","5.88% ","4.39% ","3.91% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","50.6% ","suppressed","suppressed","70.4% ","52.5% ","48.2% ","70.6% ","49.9% ","2.45% ","suppressed","suppressed","4.71% ","5.67% ","2.56% ","6.88% ","2.47% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","25,647 ","suppressed","19,897 ","24,025 ","23,926 ","27,375 ","23,163 ","26,099 ","798.09 ","suppressed","2228.46 ","2537.21 ","1606.86 ","1008.94 ","1691.84 ","862.87 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","26,375 ","suppressed","suppressed","suppressed","suppressed","27,934 ","26,807 ","26,160 ","1147.58 ","suppressed","suppressed","suppressed","suppressed","563.38 ","2371.18 ","1254.63 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","25,590 ","suppressed","19,551 ","24,481 ","24,460 ","27,284 ","21,960 ","26,089 ","988.33 ","suppressed","2710.12 ","2577.72 ","1828.47 ","1293.98 ","1891.72 ","1040.15 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","24,874 ","suppressed","suppressed","suppressed","suppressed","27,321 ","suppressed","26,113 ","2044.56 ","suppressed","suppressed","suppressed","suppressed","1609.06 ","suppressed","1986.12 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","23,343 ","suppressed","20,416 ","25,265 ","21,585 ","20,024 ","23,953 ","22,960 ","1444.38 ","suppressed","2714.32 ","2192.72 ","2436.48 ","3223.43 ","1812.13 ","2098.46 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","26,886 ","suppressed","17,862 ","suppressed","24,801 ","28,227 ","suppressed","27,168 ","862.14 ","suppressed","499.57 ","suppressed","1819.71 ","844.32 ","suppressed","859.13 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,808 ","suppressed","12,195 ","13,092 ","7,245 ","6,014 ","11,197 ","7,191 ","641.38 ","suppressed","1677.25 ","1183.99 ","681.54 ","401.12 ","2148.01 ","625.98 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,798 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","6,273 ","2312.53 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1223.24 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,839 ","suppressed","13,061 ","13,322 ","7,183 ","5,969 ","11,412 ","7,348 ","699.43 ","suppressed","1657.94 ","1201.28 ","722.75 ","409.50 ","2144.23 ","740.41 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,506 ","suppressed","suppressed","suppressed","suppressed","7,455 ","suppressed","6,881 ","1163.21 ","suppressed","suppressed","suppressed","suppressed","1441.42 ","suppressed","1182.11 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","10,430 ","suppressed","11,582 ","13,678 ","7,527 ","suppressed","10,925 ","10,120 ","1274.86 ","suppressed","2112.81 ","922.32 ","1498.29 ","suppressed","2399.33 ","1467.63 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,397 ","suppressed","14,596 ","suppressed","7,139 ","5,966 ","suppressed","6,193 ","385.49 ","suppressed","449.44 ","suppressed","736.06 ","397.18 ","suppressed","371.39 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","30.4% ","suppressed","61.3% ","54.5% ","30.3% ","22.0% ","48.3% ","27.6% ","2.63% ","suppressed","5.59% ","3.37% ","3.40% ","1.91% ","7.17% ","2.58% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","29.6% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","24.0% ","8.29% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","5.37% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","30.6% ","suppressed","66.8% ","54.4% ","29.4% ","21.9% ","52.0% ","28.2% ","3.00% ","suppressed","3.62% ","3.49% ","3.47% ","2.15% ","7.79% ","3.06% "
