"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","64.5% ","suppressed","13.8%*","11.4%*","50.7% ","82.1% ","13.8%*","71.6% ","4.85% ","suppressed","7.46%*","5.15%*","9.66% ","7.41% ","4.75%*","5.56% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","88.2% ","suppressed","suppressed","94.3% ","80.1% ","91.3% ","suppressed","89.7% ","3.25% ","suppressed","suppressed","6.03% ","12.22% ","3.04% ","suppressed","3.23% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","61.9% ","suppressed","suppressed","suppressed","67.2% ","61.8% ","suppressed","62.7% ","6.07% ","suppressed","suppressed","suppressed","14.17% ","6.91% ","suppressed","6.23% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","80.7% ","23.9%*","63.9% ","65.6% ","76.5% ","88.0% ","49.0% ","84.7% ","4.00% ","10.26%*","10.40% ","9.61% ","12.49% ","3.70% ","7.59% ","4.29% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.6%*","9.0%*","89.4% ",,,,,,"0.89%*","4.87%*","4.87% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","99.1% ","79.2% ","92.6% ","100% ","100% ","100% ","92.4% ","100% ","0.37% ","10.18% ","5.16% ","0% ","0% ","0% ","3.23% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","53.4% ","33.8%*","27.7%*","45.9% ","39.4% ","62.3% ","40.7% ","55.0% ","5.44% ","11.52%*","10.06%*","9.83% ","9.41% ","7.03% ","7.37% ","5.95% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","53.0% ","41.8% ","27.7%*","45.9% ","39.4% ","61.3% ","42.4% ","54.3% ","5.48% ","12.03% ","10.06%*","9.83% ","9.41% ","7.15% ","7.41% ","6.01% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","78.7% ","53.5% ","57.5% ","64.4% ","65.2% ","93.7% ","58.7% ","84.6% ","2.98% ","4.94% ","7.51% ","8.10% ","10.20% ","2.59% ","4.15% ","3.42% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","89.7% ","63.3% ","68.4% ","86.6% ","95.6% ","96.0% ","69.3% ","95.6% ","1.81% ","4.64% ","7.13% ","4.81% ","3.63% ","2.36% ","3.68% ","1.89% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.0% ","100% ","94.2% ","100% ","95.7% ","97.2% ","97.4% ","97.0% ","1.03% ","0% ","5.73% ","0% ","2.17% ","1.39% ","2.59% ","1.12% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","23.9% ","32.2% ","21.4% ","14.4% ","14.4%*","27.9% ","24.6% ","23.7% ","2.12% ","4.13% ","5.17% ","4.31% ","4.63%*","3.24% ","2.91% ","2.61% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","14.6% ","19.0% ","10.9%*","5.8%*","7.1%*","18.7% ","13.1% ","15.1% ","1.89% ","3.22% ","4.22%*","2.34%*","3.64%*","3.23% ","2.13% ","2.38% "
"II.B.3","Number of full-time employees","7,647,924 ","711,135 ","657,608 ","727,754 ","1,413,488 ","4,137,939 ","1,732,830 ","5,915,094 ","585,727 ","49,326 ","79,634 ","92,883 ","191,405 ","556,375 ","107,827 ","579,754 "
"II.B.3.a","Percent of number of full-time employees","7,647,924 ","9.3% ","8.6% ","9.5% ","18.5% ","54.1% ","22.7% ","77.3% ","585,727 ","0.94% ","1.18% ","1.35% ","2.54% ","3.75% ","2.07% ","2.07% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","83.1% ","26.0% ","52.7% ","85.0% ","94.9% ","93.3% ","46.9% ","93.6% ","2.45% ","5.32% ","8.16% ","4.35% ","4.03% ","3.43% ","4.56% ","2.60% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","92.5% ","95.2% ","96.8% ","95.4% ","94.7% ","90.7% ","97.4% ","91.8% ","2.06% ","3.03% ","1.59% ","3.39% ","2.51% ","3.02% ","0.99% ","2.30% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","67.0% ","78.7% ","65.9% ","54.0% ","58.2% ","71.8% ","62.4% ","67.7% ","2.47% ","8.84% ","5.58% ","6.13% ","7.44% ","2.65% ","4.70% ","2.77% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","61.9% ","74.9% ","63.8% ","51.6% ","55.1% ","65.2% ","60.7% ","62.1% ","2.81% ","8.62% ","5.51% ","5.83% ","6.86% ","3.94% ","4.55% ","3.16% "
"II.B.4","Number of part-time employees","2,355,769 ","235,057 ","167,152 ","250,681 ","472,176*","1,230,703 ","534,706 ","1,821,063 ","279,131 ","37,476 ","40,082 ","53,221 ","159,316*","218,889 ","62,454 ","273,170 "
"II.B.4.a","Percent of number of part-time employees","2,355,769 ","10.% ","7.1% ","10.6% ","20.0% ","52.2% ","22.7% ","77.3% ","279,131 ","1.85% ","1.80% ","2.38% ","5.77% ","5.93% ","3.36% ","3.36% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","77.9% ","6.1%*","23.2%*","48.8% ","100% ","96.4% ","19.1% ","95.1% ","3.47% ","3.12%*","10.48%*","12.32% ","0% ","2.19% ","4.97% ","2.12% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","13.8% ","suppressed","suppressed","6.7%*","6.3%*","17.0% ","17.8%*","13.5% ","2.70% ","suppressed","suppressed","3.24%*","3.87%*","3.83% ","5.59%*","2.82% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","46.0% ","suppressed","suppressed","suppressed","65.2% ","44.7% ","suppressed","47.3% ","5.35% ","suppressed","suppressed","suppressed","11.05% ","6.12% ","suppressed","5.64% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","6.3% ","suppressed","suppressed","1.4%*","suppressed","7.6% ","5.1%*","6.4% ","1.47% ","suppressed","suppressed","1.11%*","suppressed","2.01% ","2.71%*","1.55% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,919 ","9,405 ","9,696 ","9,086 ","7,367 ","9,319 ","9,742 ","8,795 ","247.96 ","1377.75 ","747.06 ","615.66 ","468.22 ","327.27 ","575.65 ","270.22 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,769 ","9,224 ","suppressed","9,718 ","7,384 ","9,016 ","9,801 ","8,636 ","441.95 ","473.87 ","suppressed","1097.28 ","545.79 ","660.09 ","1205.30 ","468.16 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,013 ","suppressed","9,726 ","8,944 ","7,501 ","9,432 ","9,195 ","8,987 ","285.53 ","suppressed","837.65 ","657.39 ","640.93 ","358.65 ","558.51 ","315.61 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,705 ","suppressed","suppressed","suppressed","6,945 ","9,210 ","suppressed","7,856 ","1007.74 ","suppressed","suppressed","suppressed","1472.54 ","646.21 ","suppressed","954.58 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,506 ","9,285 ","9,484 ","9,250 ","7,499 ","8,344 ","9,737 ","7,996 ","254.96 ","1473.84 ","744.48 ","678.35 ","311.45 ","315.62 ","620.71 ","219.04 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,182 ","suppressed","suppressed","7,689 ","7,219 ","9,557 ","9,776 ","9,164 ","367.69 ","suppressed","suppressed","665.30 ","907.07 ","377.84 ","1486.33 ","375.70 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,913 ","suppressed","2,303 ","3,356 ","1,797 ","1,754 ","2,500 ","1,825 ","101.26 ","suppressed","583.65 ","462.58 ","256.74 ","96.19 ","442.80 ","95.35 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,047 ","suppressed","suppressed","suppressed","2,037 ","1,524 ","suppressed","1,757 ","209.42 ","suppressed","suppressed","suppressed","360.57 ","147.57 ","suppressed","144.80 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,896 ","suppressed","suppressed","3,067 ","1,663 ","1,807 ","2,447 ","1,819 ","118.17 ","suppressed","suppressed","458.59 ","314.39 ","121.19 ","465.92 ","117.12 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,683 ","suppressed","suppressed","suppressed","1,868*","2,115 ","suppressed","2,064 ","397.82 ","suppressed","suppressed","suppressed","908.92*","284.75 ","suppressed","505.88 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,305 ","suppressed","2,593 ","3,386 ","2,123 ","2,017 ","2,574 ","2,193 ","196.13 ","suppressed","671.37 ","512.54 ","244.57 ","279.23 ","498.85 ","180.41 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,664 ","suppressed","suppressed","suppressed","1,431 ","1,690 ","suppressed","1,654 ","107.67 ","suppressed","suppressed","suppressed","402.67 ","99.41 ","suppressed","108.29 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","21.5% ","suppressed","23.8% ","36.9% ","24.4% ","18.8% ","25.7% ","20.7% ","1.18% ","suppressed","5.42% ","4.20% ","3.00% ","1.22% ","4.32% ","1.17% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","23.3% ","suppressed","suppressed","suppressed","27.6% ","16.9% ","suppressed","20.3% ","2.27% ","suppressed","suppressed","suppressed","5.62% ","1.65% ","suppressed","1.80% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","21.0% ","suppressed","suppressed","34.3% ","22.2% ","19.2% ","26.6% ","20.2% ","1.34% ","suppressed","suppressed","4.16% ","3.69% ","1.47% ","4.16% ","1.39% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.3% ","suppressed","0.7%*","48.0% ","26.9% ","23.0% ","suppressed","26.3% ","4.22% ","suppressed","0.66%*","2.14% ","7.81% ","3.63% ","suppressed","4.10% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","27.1% ","suppressed","27.3% ","36.6% ","28.3% ","24.2% ","26.4% ","27.4% ","2.22% ","suppressed","5.71% ","4.57% ","3.29% ","3.29% ","4.78% ","2.32% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.1% ","suppressed","suppressed","suppressed","19.8% ","17.7% ","suppressed","18.0% ","1.23% ","suppressed","suppressed","suppressed","4.62% ","1.22% ","suppressed","1.23% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","61.9% ","66.5% ","65.9% ","64.5% ","68.7% ","59.1% ","65.9% ","61.4% ","1.59% ","11.20% ","5.10% ","4.60% ","6.51% ","1.21% ","4.48% ","1.69% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","9.2% ","suppressed","31.4%*","suppressed","8.4%*","4.7%*","32.2% ","5.8%*","2.05% ","suppressed","11.61%*","suppressed","4.26%*","2.15%*","8.20% ","1.85%*"
